N	2gram	Tiupa_Teor	Sovremen
1	не может	8	17
2	может быть	22	12
3	точки зрения	11	12
4	таким образом	3	11
5	в каждом	1	8
6	в этом	12	7
7	и в	24	7
8	в результате	1	6
9	как и	6	6
10	и не	17	6
11	с точки	3	5
12	прежде всего	3	5
13	все эти	3	5
14	в условиях	1	5
15	а в	15	4
16	так как	1	4
17	вопрос о	1	4
18	это не	4	4
19	не только	24	4
20	в развитии	1	4
21	с помощью	1	4
22	как бы	8	4
23	если мы	2	4
24	в зависимости	1	4
25	их в	3	4
26	жизни и	1	4
27	вместе с	2	4
28	в целом	4	4
29	в том	20	4
30	зависимости от	1	4
31	из них	1	4
32	и к	3	3
33	и потому	3	3
34	когда мы	1	3
35	то же	12	3
36	у каждого	1	3
37	при этом	20	3
38	не в	9	3
39	а не	14	3
40	в системе	2	3
41	для нас	1	3
42	все это	2	3
43	в одном	3	3
44	у нас	2	3
45	в конце	2	3
46	ведь это	1	3
47	в наших	1	3
48	и т.д	4	3
49	было бы	1	3
50	в первом	2	3
51	в этой	3	3
52	он в	1	3
53	на две	3	3
54	в себе	14	3
55	не подлежит	1	3
56	что она	2	3
57	одна из	1	3
58	все же	1	3
59	при таком	1	3
60	в области	7	3
61	может не	1	3
62	отличается от	2	3
63	между собой	3	3
64	отнюдь не	3	3
65	в нем	7	3
66	но в	12	3
67	еще не	6	3
68	с этим	1	2
69	что в	10	2
70	этих двух	2	2
71	тем не	3	2
72	в самом	7	2
73	совершенно не	1	2
74	мы видим	1	2
75	значение в	1	2
76	каждая из	2	2
77	и что	4	2
78	отличие от	7	2
79	ее на	1	2
80	и пр	1	2
81	то и	1	2
82	с одной	3	2
83	в отличие	7	2
84	такого рода	13	2
85	в свою	4	2
86	из этих	3	2
87	в его	12	2
88	не дает	1	2
89	в которую	1	2
90	можно назвать	1	2
91	то ни	2	2
92	всего только	1	2
93	с совершенно	1	2
94	что это	1	2
95	или же	1	2
96	быть и	2	2
97	из которых	2	2
98	что такое	2	2
99	может иметь	1	2
100	говорить о	4	2
101	на его	1	2
102	в третьем	1	2
103	на их	1	2
104	у него	2	2
105	не могут	2	2
106	со всеми	1	2
107	а на	3	2
108	свою очередь	3	2
109	первые два	1	2
110	и даже	2	2
111	говорим о	1	2
112	самом деле	2	2
113	в которой	3	2
114	к чему	2	2
115	же самое	1	2
116	тот или	3	2
117	как мы	1	2
118	настоящее время	1	2
119	она может	1	2
120	тем же	2	2
121	той же	1	2
122	о жизни	2	2
123	могут быть	5	2
124	и будет	1	2
125	в таком	3	2
126	развития но	1	2
127	в нашем	4	2
128	уже не	6	2
129	и есть	1	2
130	что все	1	2
131	или иной	7	2
132	говорить об	1	2
133	на этом	2	2
134	роль в	3	2
135	не менее	6	2
136	приводит к	6	2
137	и по	3	2
138	времени и	2	2
139	на котором	2	2
140	между всеми	1	2
141	форма в	1	2
142	свою собственную	1	2
143	в настоящее	1	2
144	каждого из	1	2
145	тот же	1	2
146	он должен	3	2
147	жизни но	2	1
148	во всех	3	1
149	все они	1	1
150	только одно	1	1
151	как принадлежащие	1	1
152	бы то	2	1
153	которые в	1	1
154	совершенно иными	1	1
155	к которому	3	1
156	именно к	1	1
157	это и	2	1
158	этом случае	1	1
159	в свое	1	1
160	и составляет	3	1
161	только не	3	1
162	том случае	1	1
163	во втором	3	1
164	к различным	1	1
165	но как	2	1
166	не является	5	1
167	в данном	9	1
168	только к	1	1
169	еще одним	1	1
170	эта перемена	1	1
171	ему принадлежит	1	1
172	при условии	2	1
173	и внутренний	1	1
174	он уже	1	1
175	принадлежит только	2	1
176	и более	1	1
177	осуществляется в	1	1
178	имеют место	1	1
179	по преимуществу	5	1
180	вытекает из	2	1
181	отвечающее всем	1	1
182	в действительности	1	1
183	в любом	1	1
184	от его	1	1
185	что иное	1	1
186	с жизнью	1	1
187	данном случае	5	1
188	разрешения проблемы	1	1
189	не механический	1	1
190	связи с	3	1
191	раз и	1	1
192	живое существо	1	1
193	если в	2	1
194	на язык	1	1
195	очень часто	1	1
196	должно быть	1	1
197	к области	3	1
198	заключать в	1	1
199	опыта как	1	1
200	его с	1	1
201	идет о	2	1
202	она не	1	1
203	на ее	1	1
204	ним и	1	1
205	явлений жизни	1	1
206	единства в	1	1
207	одной стороны	3	1
208	как особого	1	1
209	ничто не	1	1
210	мы имеем	7	1
211	в другом	4	1
212	совсем не	1	1
213	несмотря на	2	1
214	не быть	1	1
215	ни было	2	1
216	на второй	2	1
217	человека как	1	1
218	хотя и	4	1
219	с другой	9	1
220	подчеркнуть что	1	1
221	с ним	1	1
222	это уже	1	1
223	он не	5	1
224	себя самого	1	1
225	и т.п	7	1
226	какой бы	1	1
227	не будет	3	1
228	воспринимающего в	1	1
229	те же	1	1
230	между двумя	3	1
231	вследствие этого	2	1
232	между ним	1	1
233	а затем	2	1
234	в область	1	1
235	мы в	2	1
236	как у	1	1
237	и вся	1	1
238	эта сторона	1	1
239	только на	2	1
240	меньше и	1	1
241	и их	1	1
242	и соответственно	2	1
243	все что	1	1
244	объективным как	1	1
245	если нет	1	1
246	в известном	2	1
247	смысле можно	1	1
248	на которой	1	1
249	что каждый	2	1
250	эта система	1	1
251	определенным образом	2	1
252	можно было	1	1
253	xix века	2	1
254	и наиболее	1	1
255	ни в	5	1
256	но только	1	1
257	новое время	1	1
258	а при	1	1
259	и от	1	1
260	по отношению	10	1
261	мире можно	2	1
262	значении в	1	1
263	стороны и	1	1
264	весь мир	1	1
265	и само	1	1
266	ценность и	1	1
267	и те	1	1
268	только в	9	1
269	позиции в	1	1
270	не способна	1	1
271	в совершенно	1	1
272	которая не	1	1
273	же время	8	1
274	и может	1	1
275	не случайно	5	1
276	так же	2	1
277	его в	4	1
278	собственно и	1	1
279	то она	1	1
280	мы по	2	1
281	свободы и	1	1
282	в большинстве	2	1
283	должен был	1	1
284	с человеком	2	1
285	в конечном	6	1
286	в своих	1	1
287	не представляет	1	1
288	не было	1	1
289	с его	6	1
290	ни изменить	1	1
291	один из	2	1
292	на это	1	1
293	не более	1	1
294	если бы	3	1
295	существенно отличается	1	1
296	иного типа	1	1
297	половины и	1	1
298	не знает	4	1
299	или в	3	1
300	заключает в	1	1
301	на которые	1	1
302	а о	1	1
303	становится его	1	1
304	можно говорить	1	1
305	к одному	2	1
306	без остатка	3	1
307	что его	1	1
308	в пьесе	1	1
309	же природы	1	1
310	так называемый	1	1
311	выбора не	1	1
312	мы говорим	1	1
313	но эта	1	1
314	дело в	2	1
315	крайней мере	1	1
316	известном смысле	2	1
317	одного из	1	1
318	о каком	1	1
319	окружающих его	1	1
320	же как	1	1
321	по существу	1	1
322	сказать что	4	1
323	такой фактор	1	1
324	при одном	1	1
325	развернуть в	1	1
326	жизни как	5	1
327	xviii века	1	1
328	именно в	3	1
329	и действительно	1	1
330	такое же	1	1
331	и до	1	1
332	конечном счете	6	1
333	именно таковы	1	1
334	это делает	2	1
335	обратимся к	1	1
336	иметь место	1	1
337	отношению к	10	1
338	одной из	2	1
339	действительную роль	1	1
340	случае не	2	1
341	в своем	7	1
342	мы конечно	1	1
343	она и	1	1
344	этом смысле	3	1
345	может оказаться	2	1
346	в связи	3	1
347	в какой	2	1
348	означало бы	1	1
349	между ними	6	1
350	необходимо для	1	1
351	одном случае	1	1
352	во всей	3	1
353	части на	1	1
354	у читателя	1	1
355	же в	1	1
356	том что	11	1
357	характерное для	1	1
358	рядом с	1	1
359	в мире	26	1
360	и прежде	2	1
361	дома и	2	1
362	жизни в	2	1
363	но не	13	1
364	так в	4	1
365	она по	1	1
366	но этим	1	1
367	но если	1	1
368	здесь и	1	1
369	они не	1	1
370	по себе	2	1
371	явления жизни	1	1
372	в следующих	1	1
373	не имеет	1	1
374	на какой	1	1
375	в такой	1	1
376	эту сторону	1	1
377	в то	9	1
378	и только	1	1
379	по своим	1	1
380	по его	1	1
381	в отдельных	1	1
382	просто не	1	1
383	две половины	1	1
384	только и	2	1
385	именно эта	1	1
386	как целого	1	1
387	пусть это	1	1
388	нет никаких	1	1
389	независимо от	1	1
390	и для	3	1
391	нас на	1	1
392	природой и	1	1
393	с ее	4	1
394	таким же	1	1
395	не что	1	1
396	и это	2	1
397	того же	4	1
398	неуверенности в	1	1
399	начало нового	1	1
400	нет в	1	1
401	и развития	1	1
402	только о	2	1
403	должен быть	2	1
404	и его	11	1
405	жизни не	1	1
406	и особенно	2	1
407	и становится	1	1
408	вовсе не	3	1
409	целого и	1	1
410	мере в	1	1
411	и свою	1	1
412	о том	2	1
413	есть не	1	1
414	все перечисленные	1	1
415	по крайней	1	1
416	иное как	1	1
417	жизненной практике	1	1
418	в новое	1	1
419	зрения и	2	1
420	к другому	2	1
421	своего развития	1	1
422	человека и	2	1
423	к нему	2	1
424	никогда не	4	1
425	той или	3	1
426	на них	1	1
427	могли быть	1	1
428	свое время	1	1
