N	4gram	Tiupa_Anal	Problemy
1	в то же время	7	26
2	но в то же	2	11
3	бы то ни было	3	6
4	в том что он	2	5
5	в той или иной	3	5
6	большей или меньшей степени	1	3
7	а в то же	2	3
8	и в этом смысле	1	3
9	одно и то же	2	3
10	в большей или меньшей	1	3
11	одна и та же	1	2
12	и к тому же	2	2
13	той или иной форме	1	2
14	то же время оно	1	2
15	чего бы то ни	1	2
16	в пределы одного сознания	1	2
17	какой бы то ни	2	2
18	к тому же и	1	1
19	то же время он	1	1
20	на самом же деле	1	1
21	точке соприкосновения разных сознаний	1	1
22	так как если бы	1	1
23	в таком случае это	1	1
24	но не может быть	1	1
25	и не может быть	4	1
26	одного и того же	2	1
27	и вместе с тем	1	1
28	в собственном смысле слова	1	1
29	тем не менее в	1	1
30	один и тот же	1	1
31	и в самом деле	1	1
32	он в то же	1	1
33	в самом деле не	1	1
34	заключается в том что	1	1
35	оно и не может	1	1
36	в том числе и	1	1
37	бы оно ни было	1	1
38	же время оно и	1	1
39	или во всяком случае	1	1
40	произведения неизбежно оказывается в	1	1
41	как более или менее	1	1
42	в самом деле в	1	1
43	в точке соприкосновения разных	1	1
44	но в таком случае	1	1
45	мы имеем в виду	1	1
46	несмотря на то что	1	1
47	с точки зрения художественного	1	1
48	рождается в точке соприкосновения	1	1
49	событийна и рождается в	1	1
50	во всей своей полноте	1	1
51	и рождается в точке	1	1
52	в том или ином	3	1
