N	3gram	Savitsky_E	VeschiIm
1	и т д	1	38
2	это значит что	1	25
3	не может быть	2	24
4	бы то ни	4	12
5	то ни было	4	12
6	в том что	6	9
7	на то что	2	7
8	по сравнению с	2	7
9	не значит ли	1	7
10	с точки зрения	16	6
11	то и другое	1	6
12	и не только	1	6
13	в свою очередь	2	5
14	значит ли это	1	5
15	в то же	15	5
16	не только в	4	5
17	т е не	1	5
18	в себе в	1	4
19	то время как	1	4
20	этой точки зрения	5	4
21	с этой точки	5	4
22	в то время	1	4
23	более или менее	1	4
24	ли это что	1	4
25	дело в том	1	4
26	само по себе	4	4
27	есть то что	1	4
28	то же время	14	4
29	мы видели что	1	3
30	можно сказать даже	1	3
31	заключается в том	2	3
32	не только это	1	3
33	ту или иную	3	3
34	и не в	1	3
35	можно сказать что	3	3
36	из того что	2	3
37	мы не можем	1	3
38	можно было бы	3	3
39	и в то	8	3
40	не может не	1	3
41	с одной стороны	8	3
42	с другой стороны	2	3
43	не есть ли	1	3
44	в данной области	2	2
45	так же как	5	2
46	в той или	3	2
47	а не к	1	2
48	в применении к	3	2
49	в данном случае	2	2
50	так как мы	1	2
51	есть не только	2	2
52	хотя бы и	3	2
53	в этом смысле	3	2
54	для того чтобы	5	2
55	не относится к	1	2
56	друг с другом	3	2
57	и в частности	2	2
58	в последние годы	3	2
59	в отношении к	12	2
60	тех или иных	1	2
61	как бы ни	3	2
62	хотя бы в	2	2
63	в связи с	1	2
64	к тому что	1	2
65	во всяком случае	3	2
66	в этом отношении	3	2
67	и в этом	4	2
68	только тогда когда	1	2
69	что же касается	1	2
70	значит что на	1	1
71	в полной мере	1	1
72	что эти две	1	1
73	на такой вопрос	1	1
74	одной стороны и	6	1
75	есть ли это	1	1
76	кроме того что	1	1
77	не переходит в	1	1
78	это может быть	1	1
79	и прежде всего	3	1
80	том смысле что	1	1
81	существует только в	1	1
82	и только в	2	1
83	качестве одного из	1	1
84	но и в	1	1
85	может быть речи	1	1
86	в том смысле	1	1
87	есть нечто абсолютно	1	1
88	но и то	1	1
89	в самом понятии	1	1
90	что оно не	1	1
91	то или иное	1	1
92	ничего иного кроме	1	1
93	оно всегда в	1	1
94	быть речи о	1	1
95	один и тот	1	1
96	себе не только	1	1
97	та и другая	1	1
98	и со стороны	2	1
99	это так но	1	1
100	в экономическом отношении	2	1
101	в ту или	1	1
102	то что в	2	1
103	т е прежде	1	1
104	но с тем	1	1
105	на то или	1	1
106	и не было	1	1
107	только в том	2	1
108	того что мы	1	1
109	и тот же	1	1
110	только и можно	1	1
111	и для всех	1	1
112	независимо от того	1	1
113	только в виде	1	1
114	между прочим и	2	1
115	но нужно помнить	1	1
116	тем более к	2	1
117	не будет уже	1	1
118	в себе не	1	1
119	и то и	1	1
120	именно потому что	1	1
121	одного и того	1	1
122	каких бы то	2	1
123	ни было только	1	1
124	того что в	2	1
125	смысле этого слова	1	1
126	прежде всего к	2	1
127	речь идет о	1	1
128	не может в	1	1
129	всем другим в	1	1
130	с но и	1	1
131	е прежде всего	1	1
132	и того же	1	1
133	но также и	1	1
134	в качестве одного	1	1
135	но в то	2	1
136	и это потому	1	1
137	что как бы	1	1
138	является в общем	1	1
139	с тем что	1	1
140	нужно помнить что	1	1
141	не входя в	1	1
142	на то чтобы	1	1
143	мы видим как	1	1
144	та или иная	1	1
145	хотя бы только	1	1
146	вместо того чтобы	1	1
147	но само по	1	1
148	он сам и	1	1
149	с в то	1	1
150	и та и	1	1
151	это потому что	1	1
152	но так как	1	1
153	но и для	1	1
154	или хотя бы	2	1
155	относится всецело к	1	1
156	вовсе не в	1	1
157	но в смысле	1	1
158	а также и	1	1
159	может быть и	1	1
