N	4gram	Ircho_Kome	FransuaR
1	в то же время	11	55
2	в том числе и	2	17
3	до сих пор еще	1	15
4	и в то же	2	12
5	и до сих пор	1	6
6	мы имеем в виду	2	5
7	с одной стороны и	2	5
8	один и тот же	3	4
9	одного и того же	1	3
10	сих пор не было	2	2
11	таким образом и здесь	1	2
12	мы можем судить о	1	2
13	бы то ни было	3	2
14	до сих пор не	2	2
15	и в том что	1	2
16	мы можем сказать что	1	2
17	усиливается еще тем что	1	2
18	только для того чтобы	2	2
19	в том что ему	1	1
20	в загробное царство и	1	1
21	до сих пор они	1	1
22	вопрос о том как	1	1
23	друг за другом без	1	1
24	это в свою очередь	1	1
25	но как раз в	1	1
26	для того чтобы не	1	1
27	в том что в	1	1
28	в тех случаях когда	1	1
29	о том что он	1	1
30	в то время как	3	1
31	нет ничего более далекого	1	1
32	и в самом деле	7	1
33	то же самое что	1	1
34	до сих пор в	1	1
35	дошедшим до нас пьесам	1	1
36	с одной стороны он	1	1
37	имеет ничего общего с	1	1
38	за то что он	1	1
39	потому что вместе с	1	1
40	в честь богини цереры	1	1
41	хотя он и не	1	1
42	состоит в том что	1	1
43	до поры до времени	1	1
44	в том что она	1	1
45	только после того как	1	1
46	путешествие в загробное царство	1	1
47	ни в чем не	2	1
48	мы не найдем в	1	1
49	все это черты характерные	1	1
50	ничего более далекого от	1	1
51	сказать несколько слов о	1	1
52	в пределах того же	1	1
53	не имеет ничего общего	1	1
54	но вместе с тем	1	1
55	к тому же в	1	1
56	который в свою очередь	1	1
57	вместе с тем он	1	1
