N	3gram	Bakhtin_Fr	Tragedij
1	то же время	13	5
2	в то же	13	5
3	так и в	1	3
4	в том что	2	2
5	и в частности	1	2
6	но в то	7	2
7	между этими двумя	1	2
8	в данном случае	3	2
9	и в дальнейшем	1	2
10	о том что	3	2
11	и в самом	1	2
12	но все же	2	2
13	в отличие от	3	2
14	это пародия на	1	1
15	был так сказать	1	1
16	как своего рода	1	1
17	в одном из	1	1
18	это тот самый	1	1
19	имеет в виду	2	1
20	бы и не	1	1
21	все эти образы	1	1
22	за то что	2	1
23	смысле этого слова	2	1
24	в конце концов	3	1
25	это может быть	1	1
26	это как бы	1	1
27	в основном на	1	1
28	в последней главе	1	1
29	он заявляет что	1	1
30	но несмотря на	1	1
31	как и его	1	1
32	вместо того чтобы	1	1
33	в применении к	1	1
34	в той же	5	1
35	и вместе с	1	1
36	что в ней	1	1
37	то что он	1	1
38	не может быть	2	1
39	в году и	1	1
40	же время он	1	1
41	в этом случае	1	1
42	и здесь есть	1	1
43	по сравнению с	2	1
44	в чем же	1	1
45	с самого начала	1	1
46	xx века в	1	1
47	и то что	1	1
48	как и все	5	1
49	с начала и	7	1
50	в xix веке	3	1
51	можно было слышать	1	1
52	в высшей степени	1	1
53	хотя бы и	1	1
54	об этом свидетельствует	1	1
55	как и в	2	1
56	в связи с	5	1
57	может быть в	2	1
58	во всяком случае	2	1
59	и до конца	8	1
60	к этой теме	2	1
61	в своей книге	3	1
62	вместе с ними	1	1
63	возвращается к этой	1	1
64	относится еще к	1	1
65	о нем по	1	1
66	и даже некоторые	1	1
67	прежде всего необходимо	3	1
68	это и есть	2	1
69	начала и до	7	1
70	связан и с	2	1
71	в дальнейшем он	1	1
72	после того как	1	1
73	все же не	1	1
74	и не может	1	1
75	и в этом	1	1
