N	3gram	Nazirov_Tv	Formalny
1	не может быть	2	29
2	на самом деле	2	21
3	то же время	18	20
4	в то же	19	20
5	и т д	10	19
6	и т п	4	18
7	в связи с	2	16
8	во всяком случае	2	16
9	в настоящее время	1	13
10	по отношению к	3	12
11	в самом деле	2	11
12	так и в	2	11
13	бы то ни	1	10
14	с другой стороны	2	9
15	и не может	2	9
16	до сих пор	1	8
17	вместе с тем	1	8
18	с одной стороны	1	8
19	в применении к	1	7
20	того или иного	1	7
21	сами по себе	2	7
22	то ни было	1	7
23	в свою очередь	2	7
24	и в этом	1	7
25	в том что	8	6
26	и в то	3	6
27	в данном случае	2	6
28	в отличие от	2	5
29	к тому что	1	5
30	в этом романе	2	5
31	тем не менее	2	4
32	все более и	1	4
33	в конце концов	1	4
34	в этом пункте	1	4
35	более и более	1	4
36	не могут быть	2	4
37	с самого начала	3	4
38	в нем и	1	4
39	нет и не	1	4
40	так сказать в	1	3
41	то или иное	1	3
42	так и от	1	3
43	в том числе	1	3
44	не сводится к	1	3
45	том числе и	1	3
46	то же самое	1	3
47	самом же деле	1	3
48	только то что	1	3
49	на самом же	1	3
50	равно как и	1	3
51	и в дальнейшем	1	3
52	то и другое	1	3
53	но в то	5	3
54	можно только в	1	3
55	у нас не	1	3
56	с установкой на	1	3
57	в предисловии к	1	3
58	что же касается	1	3
59	нам кажется что	1	3
60	по себе а	1	2
61	о том как	1	2
62	и наконец в	1	2
63	художественных форм и	1	2
64	такое представление о	1	2
65	мы говорим о	1	2
66	хотя бы и	1	2
67	но при этом	1	2
68	именно потому что	1	2
69	в отношении к	1	2
70	совершенно естественно что	1	2
71	в его художественной	1	2
72	как и всякая	1	2
73	и прежде всего	1	2
74	внешнего и внутреннего	1	2
75	и в других	1	2
76	на первом плане	2	2
77	нужно сказать что	1	2
78	в таком случае	2	2
79	в своей книге	1	2
80	и в том	1	2
81	на то чтобы	1	2
82	в своем творчестве	1	2
83	и все же	3	2
84	именно в этом	1	2
85	в основе этой	1	2
86	в процессе художественного	1	2
87	один из возможных	1	2
88	имеем в виду	1	2
89	не может и	1	2
90	как и в	2	2
91	в целом ряде	1	2
92	и др однако	1	2
93	как один из	1	2
94	ничего общего с	1	2
95	можно говорить лишь	1	2
96	особое место в	2	2
97	на этот вопрос	2	2
98	со всех сторон	1	2
99	в одной из	4	2
100	но уже в	1	2
101	и в их	1	2
102	дело в том	4	2
103	в роман и	1	2
104	в отрыве от	1	2
105	не только в	2	2
106	так же как	1	2
107	мы имеем в	1	2
108	но отнюдь не	1	2
109	и между ними	1	2
110	в виду что	1	2
111	так как и	1	2
112	и в истории	1	2
113	дело не в	1	2
114	ни в чем	1	2
115	что он не	1	1
116	уже говорили что	1	1
117	в этот период	1	1
118	художественного произведения как	1	1
119	и как бы	1	1
120	во всей ее	1	1
121	героя и его	1	1
122	отнюдь не сводится	1	1
123	может быть определен	1	1
124	таким образом сюжет	1	1
125	быть понята как	1	1
126	его участие в	1	1
127	что оно не	1	1
128	reductio ad absurdum	1	1
129	влечет за собой	2	1
130	он не может	1	1
131	не значит что	2	1
132	в том же	3	1
133	этом романе и	1	1
134	не был понят	1	1
135	но в таком	1	1
136	так например в	1	1
137	гоголь и достоевский	1	1
138	резко отличен от	1	1
139	прежде всего возникает	1	1
140	в частности в	1	1
141	друг на друга	1	1
142	она отнюдь не	1	1
143	одного и того	1	1
144	это не значит	2	1
145	что он был	1	1
146	и психологии и	1	1
147	идет уже не	1	1
148	мы знаем что	1	1
149	а так сказать	1	1
150	л н толстого	1	1
151	в этом плане	1	1
152	могут быть поняты	2	1
153	она дана в	1	1
154	это не просто	1	1
155	в конце жизни	1	1
156	могут быть названы	1	1
157	в этой области	1	1
158	может быть понята	2	1
159	том что этот	1	1
160	мы все время	1	1
161	в чем не	1	1
162	положение нуждается в	1	1
163	по себе не	1	1
164	а с другой	1	1
165	что как бы	1	1
166	и того же	1	1
167	в первой главе	1	1
168	потому что не	1	1
169	не может не	1	1
170	в целом и	1	1
171	не только с	1	1
172	к вопросу о	1	1
173	к которому стремится	1	1
174	это значит что	1	1
175	связанные с ними	1	1
176	полном согласии с	1	1
177	или во всяком	1	1
178	таким образом чтобы	1	1
179	его место в	1	1
180	которые сами по	1	1
181	и тем не	1	1
182	и в романе	1	1
183	за то что	1	1
184	чуть ли не	1	1
185	только что он	1	1
186	той или иной	1	1
187	их мышления и	1	1
188	прежде всего на	1	1
189	а вместе с	1	1
190	события но и	1	1
191	в чем же	1	1
192	о том что	6	1
193	переход от одной	1	1
194	по крайней мере	4	1
195	это связано с	1	1
196	и в самом	1	1
197	ту или иную	1	1
198	в более широком	1	1
199	только в качестве	1	1
200	это объясняется тем	1	1
201	можно сказать что	2	1
202	в основе всех	1	1
203	форму и содержание	1	1
204	с ним на	1	1
205	место в творчестве	2	1
206	никогда не является	1	1
207	в мире идеологических	1	1
208	без всякой иронии	1	1
209	все же не	1	1
210	но даже в	1	1
211	хотя и не	1	1
212	в литературу как	1	1
213	каких бы то	1	1
214	не что иное	1	1
215	отметить что в	1	1
216	уже не о	1	1
217	что иное как	1	1
218	рассказе и в	1	1
219	же именно в	1	1
220	литературы с другой	1	1
221	заключается в том	1	1
222	в самом конце	1	1
223	в полном согласии	1	1
224	только потому что	1	1
225	я и не	1	1
226	еще далеко не	1	1
227	в современном искусстве	1	1
228	и в свою	1	1
229	и что в	1	1
230	же как и	1	1
231	друг для друга	1	1
232	и в литературе	1	1
233	объясняется тем что	1	1
234	другой стороны и	1	1
235	он говорит о	1	1
236	все это в	1	1
237	мы уже говорили	2	1
238	не менее важна	1	1
239	является одним из	3	1
240	это и есть	1	1
241	чем же выразится	1	1
242	можно было бы	1	1
