N	2gram	Vygotskiy_	FransuaR
1	и в	55	367
2	то есть	44	209
3	в этом	21	112
4	и не	24	101
5	таким образом	38	100
6	и его	14	99
7	в его	8	98
8	прежде всего	5	92
9	не только	25	87
10	но и	12	84
11	как бы	11	82
12	все эти	7	79
13	вовсе не	7	77
14	в романе	1	77
15	как и	25	76
16	в нем	5	75
17	но в	5	75
18	в эпоху	1	75
19	и на	6	72
20	и др	1	72
21	в том	55	71
22	как мы	2	71
23	то же	17	66
24	и все	8	66
25	в них	4	65
26	в этой	5	65
27	так и	6	65
28	и с	5	64
29	в сущности	15	64
30	в то	8	63
31	во всех	4	62
32	все это	11	62
33	же время	2	55
34	что в	39	52
35	в своем	3	51
36	только в	18	48
37	так как	28	46
38	и до	2	46
39	том что	30	45
40	то что	47	41
41	здесь в	1	41
42	у него	4	40
43	жизни и	5	40
44	в самом	18	38
45	точки зрения	32	37
46	в ней	3	37
47	с его	3	36
48	о том	11	35
49	может быть	35	35
50	мы видим	8	35
51	сказать что	12	34
52	и даже	11	34
53	в себе	6	34
54	мы видели	2	32
55	в конце	6	32
56	он не	8	32
57	для него	1	32
58	до конца	9	31
59	в литературе	1	31
60	связаны с	1	31
61	в своей	6	31
62	так же	29	30
63	но он	3	30
64	один из	6	30
65	потому что	27	30
66	той же	9	30
67	и потому	2	30
68	никогда не	13	30
69	в духе	1	29
70	в одном	4	29
71	еще не	2	29
72	связи с	2	29
73	в этих	6	29
74	что он	17	29
75	не может	30	29
76	в особенности	3	29
77	при этом	28	29
78	его в	3	29
79	не в	19	29
80	и к	5	28
81	из них	4	28
82	также и	2	28
83	в той	2	28
84	в основе	13	28
85	и другие	5	27
86	сих пор	8	27
87	до сих	8	27
88	том числе	1	27
89	все же	9	27
90	по своему	2	27
91	роль в	4	27
92	и их	4	27
93	в условиях	1	26
94	на самом	6	25
95	в области	12	25
96	с помощью	1	25
97	но это	3	25
98	мира и	1	25
99	он и	1	24
100	но не	5	24
101	например в	5	24
102	в ее	7	24
103	и у	6	24
104	и от	4	24
105	как в	17	24
106	того чтобы	13	24
107	времени и	2	24
108	в частности	6	24
109	в большинстве	1	24
110	отношение к	3	24
111	своего рода	1	23
112	и здесь	3	23
113	с ним	2	23
114	и для	9	23
115	в их	4	23
116	к нему	3	23
117	это не	1	23
118	еще и	1	23
119	даже в	2	22
120	не было	5	22
121	а в	10	22
122	границы между	1	22
123	тем что	7	22
124	что и	27	22
125	и других	4	22
126	там где	5	22
127	вместе с	10	22
128	и во	3	22
129	форм и	3	22
130	и о	4	22
131	в своих	12	21
132	именно в	1	21
133	культуры и	1	21
134	в отношении	3	21
135	уже в	3	21
136	и как	9	21
137	есть в	7	21
138	в качестве	3	21
139	в себя	3	21
140	что это	12	21
141	ни в	9	21
142	и наконец	2	21
143	в виду	6	20
144	в связи	3	20
145	и это	6	20
146	в значительной	1	20
147	одной из	1	20
148	этом отношении	7	20
149	с точки	12	20
150	как раз	4	20
151	а также	1	20
152	самом деле	19	20
153	во всем	5	19
154	их в	4	19
155	к этому	5	19
156	в эту	1	19
157	того же	3	19
158	за пределы	2	19
159	было бы	14	19
160	с ее	3	19
161	с другой	7	19
162	хотя и	3	19
163	в ту	1	19
164	далеко не	7	19
165	существенную роль	1	18
166	мы находим	2	18
167	со всеми	5	18
168	это и	3	18
169	одна из	5	18
170	на этом	3	18
171	перед нами	1	18
172	это в	4	18
173	в большей	1	17
174	образы в	1	17
175	для того	12	17
176	конечно не	2	17
177	в результате	4	17
178	можно было	4	17
179	человеческого тела	2	17
180	связанных с	1	17
181	на его	3	17
182	числе и	1	17
183	в плане	1	17
184	такой же	9	17
185	еще более	2	17
186	но все	1	17
187	связана с	1	17
188	и вот	5	17
189	того что	15	17
190	века и	1	17
191	а не	18	17
192	в другом	1	16
193	с одной	6	16
194	между ними	2	16
195	между тем	6	16
196	нужно сказать	1	16
197	почти вовсе	1	16
198	тот же	8	16
199	начала и	2	16
200	в свете	3	16
201	он дает	3	16
202	ничего не	4	16
203	они не	1	16
204	дело в	2	16
205	мысли и	2	15
206	а затем	1	15
207	в которой	6	15
208	никто не	1	15
209	из этих	6	15
210	мы еще	1	15
211	с их	1	15
212	от всех	3	15
213	особенно в	1	15
214	и вообще	3	15
215	одно из	2	15
216	почти все	3	15
217	как на	6	15
218	в нашем	1	15
219	в первой	1	15
220	еще в	1	15
221	в самой	2	15
222	в котором	5	14
223	характер и	1	14
224	в чем	5	14
225	образом в	3	14
226	и по	7	14
227	мы не	15	14
228	все что	4	14
229	в данном	1	14
230	несмотря на	8	14
231	земли и	1	14
232	слов и	1	14
233	в более	1	14
234	по существу	6	14
235	и сам	3	13
236	с этим	7	13
237	во все	2	13
238	и еще	1	13
239	что все	10	13
240	его к	2	13
241	на все	6	13
242	в одной	3	13
243	о чем	2	13
244	в жизни	5	13
245	одновременно и	1	13
246	одной стороны	7	13
247	здесь нет	1	13
248	отличие от	6	13
249	в мире	1	13
250	в других	3	13
251	бы в	3	13
252	и есть	5	13
253	они и	2	13
254	только на	7	13
255	не на	2	13
256	мир и	1	13
257	этот процесс	1	13
258	или в	2	13
259	и эта	1	13
260	так в	1	13
261	это было	1	13
262	жизнь и	3	13
263	как он	4	13
264	в книге	2	13
265	в известной	1	13
266	другой стороны	7	12
267	во всей	1	12
268	те же	9	12
269	вещей и	2	12
270	главным образом	3	12
271	и ее	4	12
272	та же	4	12
273	жизни в	1	12
274	в новой	2	12
275	о нем	2	12
276	у нас	4	12
277	место в	1	12
278	из всех	4	12
279	можно сказать	2	12
280	в творчестве	5	12
281	здесь с	1	12
282	не могут	6	12
283	литературы и	1	12
284	он в	2	12
285	образы и	2	12
286	эпохи в	3	12
287	все то	4	12
288	благодаря этому	1	12
289	об этом	3	12
290	в пределах	1	12
291	зрения на	2	11
292	из самых	2	11
293	на эту	1	11
294	так например	1	11
295	уже не	3	11
296	отметить что	2	11
297	что они	7	11
298	и что	28	11
299	она была	1	11
300	в общем	2	11
301	и самый	1	11
302	того как	5	11
303	наконец в	2	11
304	в отличие	4	11
305	из этого	5	11
306	в свое	1	11
307	и т.д	1	11
308	все время	6	11
309	время в	2	11
310	очень часто	4	11
311	в системе	1	11
312	и так	7	11
313	с ними	2	11
314	и более	3	11
315	слова и	1	11
316	формы и	11	11
317	между собою	1	11
318	он говорит	4	11
319	в узком	2	11
320	целый ряд	12	10
321	на котором	2	10
322	все его	1	10
323	что для	5	10
324	его как	1	10
325	до наших	1	10
326	поэтому в	1	10
327	в таких	2	10
328	данном случае	1	10
329	наших дней	1	10
330	человека и	3	10
331	конце концов	6	10
332	новое и	1	10
333	для всех	5	10
334	нас в	2	10
335	где они	1	10
336	там же	2	10
337	к тому	8	10
338	на этот	2	10
339	для понимания	2	10
340	по преимуществу	2	10
341	к которому	1	10
342	здесь как	1	10
343	выражение в	1	10
344	ту же	6	10
345	образом и	4	10
346	в процессе	7	10
347	им в	4	10
348	выходит за	2	10
349	хотя он	1	10
350	в целом	8	10
351	еще раз	1	9
352	здесь же	1	9
353	в разных	1	9
354	связано с	1	9
355	в основу	3	9
356	для этой	1	9
357	этой же	1	9
358	как это	8	9
359	в тех	2	9
360	значение и	3	9
361	роль играет	1	9
362	в которых	5	9
363	именно на	1	9
364	не понимает	2	9
365	как к	2	9
366	ведь это	1	9
367	и со	1	9
368	же в	1	9
369	что на	4	9
370	вплоть до	3	9
371	говорит о	4	9
372	своем романе	1	9
373	к жизни	2	9
374	но как	4	9
375	мы можем	6	9
376	что образ	2	9
377	не имеет	3	9
378	свое время	1	9
379	чем же	2	9
380	видим что	5	9
381	относится к	4	9
382	между людьми	1	9
383	их с	2	9
384	том же	4	9
385	и то	4	9
386	для нас	5	9
