N	4gram	Bakhtin_Fr	TeoriaLi
1	в то же время	12	8
2	одного и того же	1	4
3	мы имеем в виду	2	3
4	в том числе и	2	2
5	но в то же	3	2
6	и те и другие	2	1
7	в более или менее	2	1
8	не что иное как	1	1
9	заключается в том что	1	1
10	и по отношению к	2	1
11	с одной стороны и	1	1
12	он не говорит что	1	1
13	той или иной мере	1	1
14	как бы в точке	1	1
15	в узком и специфическом	1	1
16	дело в том что	2	1
17	в той или иной	1	1
18	одним и тем же	1	1
19	то же время они	1	1
20	в том или ином	2	1
21	есть не что иное	1	1
