N	3gram	Ircho_Kome	UchenyiS
1	то ни было	4	3
2	с другой стороны	6	3
3	в этой области	2	3
4	бы то ни	4	3
5	в то же	5	3
6	то же время	5	3
7	в том что	13	2
8	до сих пор	3	2
9	а между тем	1	2
10	в конце концов	4	2
11	то же самое	2	2
12	в этом отношении	3	2
13	в этом смысле	2	2
14	он может быть	1	1
15	иначе связанные с	1	1
16	когда бы то	2	1
17	в первую очередь	5	1
18	или иначе связанные	1	1
19	у нас в	2	1
20	сам по себе	1	1
21	и в конце	1	1
22	так или иначе	4	1
23	содержания и формы	1	1
24	по меньшей мере	2	1
25	другой стороны в	1	1
26	и в их	1	1
27	в этой же	2	1
28	может быть в	1	1
29	большей или меньшей	1	1
30	и независимо от	1	1
31	с одной стороны	5	1
32	но прежде всего	1	1
33	на первый план	1	1
34	оно все же	1	1
35	в той же	2	1
36	и не только	1	1
37	на то что	2	1
38	не только в	1	1
39	и прежде всего	1	1
40	более или менее	1	1
41	в данном случае	1	1
42	само по себе	1	1
43	и у других	1	1
