N	2gram	Medvedev_B	Psycholo
1	и в	1	190
2	что в	1	123
3	таким образом	1	102
4	не только	1	75
5	и не	2	73
6	было бы	1	56
7	а не	1	50
8	все же	1	33
9	что все	1	33
10	все это	2	32
11	художественного произведения	1	32
12	в ней	2	31
13	как будто	1	30
14	никак не	1	30
15	и на	1	27
16	с другой	1	27
17	совершенно не	1	26
18	до конца	1	24
19	в своей	1	21
20	другой стороны	1	20
21	можно было	2	18
22	на самом	1	18
23	во всяком	1	17
24	у нас	3	17
25	и о	1	17
26	так и	1	16
27	и потому	1	15
28	далеко не	1	15
29	еще не	1	15
30	прежде всего	1	14
31	не то	2	14
32	должна быть	1	14
33	всяком случае	1	14
34	в области	1	14
35	отнюдь не	1	13
36	художественном произведении	1	12
37	об этом	1	12
38	не было	1	11
39	в данном	1	10
40	вопрос о	1	9
41	и ее	1	9
42	то как	1	9
43	будто бы	1	8
44	больше чем	2	8
45	точно и	1	8
46	и более	1	8
47	и во	1	8
48	не все	1	6
49	к ней	1	6
50	остановиться на	1	6
51	говорить о	1	6
52	за пределы	1	6
53	между ними	1	5
54	не следует	1	5
55	его не	1	5
56	из ее	1	4
57	в речи	1	4
58	одной из	1	4
59	в пределах	1	4
60	со всем	1	3
61	кроме того	1	3
62	о них	1	3
63	тем более	1	3
64	но автор	1	3
65	и нет	1	3
66	не о	1	3
67	нельзя не	1	3
68	творчества и	1	3
69	свести к	1	3
70	же не	1	3
71	из своей	1	3
72	следовало бы	1	2
73	точке зрения	1	2
74	крайней мере	1	2
75	всего в	1	2
76	в значительной	1	2
77	было и	1	2
78	является только	1	2
79	почти совершенно	1	2
80	не вполне	1	2
81	формализма и	1	2
82	чем на	1	2
83	иначе не	1	2
84	по крайней	1	2
85	как всякий	1	2
86	выходит за	1	2
87	лучше и	2	2
88	на которой	1	2
89	а о	1	2
90	этих приемов	1	2
91	в книге	1	2
92	по этим	1	1
93	материала по	1	1
94	включать в	1	1
95	бы только	1	1
96	нет но	1	1
97	систематизации и	1	1
98	заставляет думать	1	1
99	также что	1	1
100	произведении что	1	1
101	как часть	1	1
102	области методологии	1	1
103	случае очень	1	1
104	стих и	1	1
105	стоит на	1	1
106	и правильнее	1	1
107	говорить не	1	1
108	теоретической и	1	1
109	вольный стих	1	1
110	в эпоху	1	1
111	от значения	1	1
112	не воспринималось	1	1
113	только ли	1	1
114	о художественной	1	1
115	как работу	1	1
116	склонен видеть	1	1
117	ясного и	1	1
118	сейчас в	1	1
119	теории литературы	1	1
120	в научном	1	1
121	меньше чем	1	1
122	достаточно точно	1	1
123	и меньше	1	1
124	основное значение	1	1
125	такое определение	1	1
126	создает впечатление	1	1
127	литературных произведений	2	1
128	не выясняется	1	1
129	забывать что	1	1
130	стиля и	1	1
131	что формалисты	1	1
132	когда начинает	1	1
133	говорить об	1	1
134	следует конечно	1	1
135	не уничтожается	1	1
136	художественной функции	2	1
137	скромную роль	1	1
138	значение слова	1	1
139	нас по	1	1
