N	2gram	Nazirov_Tr	Komedia
1	и в	18	77
2	и не	7	47
3	в том	2	44
4	том что	4	42
5	о том	2	33
6	т е	1	33
7	но и	4	32
8	может быть	7	30
9	таким образом	1	29
10	в то	5	28
11	и его	6	28
12	в этом	9	27
13	потому что	2	27
14	что он	6	26
15	к тому	2	26
16	не только	8	25
17	вместе с	1	25
18	как и	5	23
19	ни в	2	23
20	что в	4	23
21	в самом	2	22
22	что и	2	22
23	то же	5	21
24	в конце	3	21
25	так и	5	21
26	в его	3	20
27	в этой	4	18
28	тем что	2	17
29	же время	6	17
30	в нем	4	17
31	и здесь	2	17
32	и т	1	17
33	еще не	4	17
34	при этом	3	16
35	все же	5	16
36	не менее	1	16
37	у него	6	16
38	он не	2	16
39	и сам	3	16
40	не в	2	15
41	в своем	3	15
42	его в	2	15
43	в которой	1	15
44	на себя	1	15
45	между тем	1	15
46	один из	3	15
47	и на	7	15
48	прежде всего	4	15
49	и с	7	14
50	столь же	2	14
51	к нему	3	14
52	iii в	3	14
53	все это	4	14
54	об этом	4	14
55	только что	1	13
56	самом деле	1	13
57	о чем	3	13
58	в них	1	13
59	в одном	2	13
60	что она	2	13
61	в двух	1	13
62	так что	2	13
63	то что	4	13
64	того чтобы	1	13
65	но в	6	13
66	в котором	1	12
67	так же	4	12
68	несмотря на	5	12
69	как это	3	12
70	т п	1	12
71	как в	3	12
72	уже в	3	12
73	в истории	1	12
74	не может	5	12
75	но не	1	12
76	и даже	4	11
77	с тем	2	11
78	наряду с	1	11
79	с ним	3	11
80	должны были	1	11
81	как мы	1	11
82	на этот	1	11
83	в частности	2	11
84	к ней	1	11
85	он был	2	10
86	тут же	2	10
87	с одной	1	10
88	к себе	1	10
89	в чем	1	10
90	как бы	7	10
91	и что	4	10
92	и все	4	10
93	более чем	1	10
94	в глазах	2	10
95	с его	2	10
96	ничего не	2	10
97	из дома	1	10
98	еще в	2	10
99	отношение к	2	10
100	в целом	4	10
101	но все	2	9
102	в своей	1	9
103	и еще	1	9
104	тому что	1	9
105	только в	1	9
106	друг друга	2	9
107	даже не	1	9
108	о его	2	9
109	судя по	1	9
110	и по	1	9
111	в образе	6	9
112	того как	1	9
113	а также	1	9
114	отличие от	2	9
115	в ней	1	9
116	и особенно	1	9
117	с этой	1	8
118	а затем	1	8
119	по поводу	2	8
120	не было	1	8
121	бы в	1	8
122	во всех	1	8
123	можно было	1	8
124	связи с	1	8
125	с самого	1	8
126	как он	1	8
127	и ее	2	8
128	дело с	1	7
129	в результате	1	7
130	во всяком	1	7
131	вопрос о	2	7
132	хотя бы	1	7
133	в другом	1	7
134	самого начала	1	7
135	х годов	1	7
136	в связи	1	7
137	и это	2	7
138	и хотя	1	7
139	в себе	4	7
140	до начала	1	7
141	не имеет	2	7
142	не является	1	7
143	до конца	2	7
144	но если	1	7
145	всяком случае	1	7
146	и вот	1	7
147	для нас	1	7
148	отнюдь не	3	7
149	и о	1	7
150	конце концов	1	7
151	в виду	1	6
152	с собой	1	6
153	в дальнейшем	5	6
154	представляет собой	1	6
155	не мог	2	6
156	и он	3	6
157	после того	1	6
158	за то	1	6
159	что не	1	6
160	на этом	1	6
161	могут быть	1	6
162	в оригинале	1	6
163	мы встречаем	1	6
164	никто не	3	6
165	а не	1	6
166	в отличие	2	6
167	в и	1	6
