N	2gram	Losev_Dial	Istorich
1	и в	34	181
2	и т	41	160
3	т д	38	142
4	т е	72	133
5	может быть	30	115
6	не только	35	114
7	что он	18	111
8	мы имеем	3	102
9	что в	12	90
10	но и	14	85
11	в этом	14	81
12	так как	12	75
13	то что	25	73
14	таким образом	14	72
15	вместе с	3	71
16	в лесу	1	68
17	и не	50	67
18	мы видим	4	65
19	все же	4	65
20	в этих	3	64
21	еще не	7	63
22	не может	29	61
23	так же	7	57
24	то же	9	56
25	никогда не	9	56
26	в том	17	53
27	том что	18	53
28	а в	3	52
29	с другой	5	52
30	потому что	21	52
31	и что	21	51
32	и здесь	3	51
33	что и	8	51
34	а не	39	48
35	о том	11	48
36	связь с	1	47
37	его в	2	47
38	не в	11	47
39	другой стороны	4	46
40	превращается в	6	45
41	и пр	16	44
42	мы должны	1	44
43	но в	3	44
44	это не	13	43
45	и его	8	43
46	мы знаем	3	42
47	в нем	7	42
48	только в	10	42
49	показывает что	4	42
50	как в	2	42
51	представление о	3	41
52	или в	4	39
53	тем что	5	38
54	и на	6	38
55	в его	6	38
56	для нас	2	38
57	как и	14	37
58	уже не	9	37
59	мы уже	6	37
60	он не	8	37
61	что здесь	3	37
62	так и	11	37
63	знаем что	1	36
64	мы можем	3	36
65	что они	2	35
66	с тем	4	35
67	мы не	11	35
68	все эти	4	35
69	не всегда	3	34
70	связи с	3	34
71	но не	3	34
72	а именно	7	34
73	у него	2	34
74	во время	1	34
75	что это	20	34
76	видим что	3	34
77	представления о	1	33
78	же как	4	33
79	там где	1	33
80	об этом	8	33
81	сих пор	1	32
82	в качестве	1	32
83	прежде всего	20	31
84	то это	9	31
85	так в	2	31
86	ничего не	29	31
87	с этим	4	30
88	с одной	4	30
89	до сих	1	30
90	к нему	4	30
91	при помощи	6	30
92	но все	1	29
93	одной стороны	3	29
94	как мы	4	29
95	но это	10	29
96	что она	13	28
97	и с	10	28
98	например в	3	28
99	так что	11	27
100	могут быть	5	27
101	в образе	1	27
102	того что	22	27
103	в ином	1	27
104	как он	4	27
105	как это	8	26
106	иной мир	1	26
107	на него	1	26
108	в ней	4	26
109	вопрос о	9	25
110	и он	3	25
111	не менее	11	24
112	видно что	1	24
113	к этому	3	24
114	было бы	13	24
115	того как	2	24
116	в виде	11	24
117	если бы	10	24
118	что мы	10	24
119	на небо	2	24
120	представлений о	1	23
121	их в	2	23
122	как бы	19	23
123	точно так	3	23
124	и это	12	23
125	тем не	10	23
126	в этой	3	23
127	имеем в	1	23
128	все это	13	23
129	когда он	3	23
130	в частности	3	23
131	и по	2	22
132	с ним	3	22
133	при этом	7	22
134	в некоторых	3	22
135	в одном	3	21
136	сказать что	7	21
137	совершенно ясно	2	21
138	о смерти	1	21
139	в связи	3	21
140	здесь не	2	21
141	к тому	4	21
142	они не	3	21
143	ее в	3	21
144	в мифе	18	20
145	из них	4	20
146	из этих	5	20
147	она не	10	20
148	эта связь	1	20
149	наряду с	1	20
150	одна из	4	20
151	в свете	3	20
152	в других	1	20
153	очень часто	1	20
154	в силу	5	20
155	другими словами	8	20
156	что у	2	19
157	на том	1	19
158	но он	3	19
159	в другой	2	19
160	есть и	14	19
161	все еще	2	19
162	на то	5	19
163	и как	13	19
164	после этого	2	18
165	и говорит	1	18
166	в то	9	18
167	что этот	3	18
168	в данном	6	18
169	вовсе не	18	18
170	в них	6	17
171	нас к	2	17
172	очень много	3	17
173	и этим	3	17
174	выше мы	1	17
175	том как	2	17
176	то и	5	17
177	по существу	2	17
178	дело не	2	17
179	и только	6	17
180	или он	1	16
181	и она	4	16
182	во всех	2	16
183	этот вопрос	1	16
184	возможно что	1	16
185	всех этих	3	16
186	и они	3	16
187	то мы	3	16
188	в котором	2	16
189	не вполне	2	16
190	и все	17	16
191	со стороны	5	16
192	перед нами	5	16
193	связана с	1	16
194	даже в	1	15
195	в пределах	1	15
196	но есть	1	15
197	в особенности	9	15
198	и то	7	15
199	в своей	4	15
200	в которых	1	15
201	данном случае	3	15
202	в одной	4	15
203	и эти	2	15
204	как будто	3	15
205	и даже	21	15
206	на его	1	15
207	некоторых случаях	1	15
208	и тем	3	15
209	он в	1	15
210	друг друга	3	15
211	тот кто	1	15
212	с этой	7	14
213	от него	2	14
214	находится в	2	14
215	мы еще	2	14
216	в него	2	14
217	и ее	8	14
