N	2gram	Vygotskiy_	Vvedenie
1	и т	1	45
2	в том	38	38
3	в этом	47	35
4	и в	47	35
5	может быть	20	30
6	том что	28	30
7	не только	36	26
8	для того	24	23
9	того чтобы	26	22
10	таким образом	38	21
11	также и	2	20
12	не может	23	19
13	то что	40	19
14	потому что	26	18
15	но также	3	16
16	только в	24	16
17	о том	5	16
18	так как	25	15
19	языка и	6	15
20	представляет собой	23	14
21	что в	23	13
22	в самом	15	13
23	и именно	1	13
24	и не	27	13
25	в нем	6	13
26	в его	7	12
27	того что	27	12
28	в их	4	12
29	точки зрения	39	12
30	что такое	2	12
31	как на	8	12
32	то же	16	11
33	в ее	7	11
34	по себе	5	11
35	в данном	7	11
36	этом смысле	2	11
37	ясно что	4	11
38	как мы	24	11
39	прежде всего	9	10
40	не в	7	10
41	вопрос о	9	10
42	между тем	2	10
43	в той	7	10
44	но в	9	10
45	дело с	3	9
46	представляют собой	2	9
47	тем не	4	9
48	смысле этого	4	9
49	все же	7	9
50	из этих	6	9
51	но не	13	9
52	и как	7	9
53	не менее	6	9
54	в истории	1	9
55	это не	6	8
56	в качестве	9	8
57	как нечто	1	8
58	именно в	9	8
59	о котором	1	8
60	а только	2	8
61	можно было	7	8
62	с другой	7	8
63	представить себе	5	7
64	и то	10	7
65	до сих	6	7
66	смысле слова	1	7
67	в большей	2	7
68	к выводу	4	7
69	как и	19	7
70	самом деле	6	7
71	но и	19	7
72	выводу что	3	7
73	сих пор	6	7
74	в разных	6	7
75	было бы	12	7
76	о природе	9	7
77	только как	2	7
78	этот вопрос	2	7
79	как бы	13	7
80	той мере	2	6
81	один из	3	6
82	на вопрос	6	6
83	об этом	4	6
84	этом случае	15	6
85	все это	5	6
86	не могут	9	6
87	его в	7	6
88	на этот	2	6
89	тем что	14	6
90	с тем	8	6
91	в какой	6	6
92	а именно	1	6
93	вместе с	19	6
94	в которых	3	6
95	же время	1	6
96	и это	2	6
97	так например	1	6
98	вовсе не	3	6
99	уже не	1	6
100	мере в	2	6
101	и даже	3	6
102	в руки	1	6
103	нельзя не	2	6
104	каждой из	5	6
105	и что	14	6
106	как он	1	6
107	как например	1	6
108	о языке	1	6
109	сказать что	18	6
110	могут быть	7	6
111	том чтобы	1	6
112	но если	5	6
113	и его	14	6
114	в то	10	6
115	а в	3	6
116	иное как	1	6
117	связь между	10	5
118	а потому	1	5
119	этого понятия	3	5
120	уже в	3	5
121	внимание на	4	5
122	с этой	5	5
123	хотя и	4	5
124	язык как	1	5
