N	4gram	Vinokur_St	Mirosoze
1	и вместе с тем	1	5
2	в то время как	1	4
3	в том что он	3	3
4	так же как и	1	3
5	не может быть и	1	2
6	о том что в	1	2
7	в начале xix века	1	2
8	той мере в какой	2	1
9	в том смысле что	2	1
10	и в самом деле	2	1
11	одни и те же	1	1
12	к тому что у	1	1
13	сомневаться в том что	2	1
14	в то же время	5	1
15	не может не быть	1	1
16	после того как он	1	1
17	но это не значит	1	1
18	что в то время	1	1
19	это не значит что	3	1
20	том что он не	2	1
21	может быть и речи	1	1
22	и по отношению к	1	1
23	в той мере в	2	1
24	не может быть никакого	1	1
25	всякий раз когда в	1	1
26	до сих пор не	1	1
27	но нужно сказать что	1	1
