N	4gram	Voloshinov	Freidism
1	в то же время	1	6
2	не может быть и	1	4
3	может быть и речи	1	3
4	один и тот же	1	3
5	но в то же	1	3
6	и не может быть	1	3
7	не чем иным как	2	2
8	в узком смысле слова	1	2
9	нет и не может	1	2
10	на этом мы закончим	1	2
11	но тем не менее	1	1
12	само собою разумеется что	1	1
13	одно и то же	2	1
14	ничего общего не имеет	1	1
15	но что же является	1	1
16	в том что в	1	1
17	не что иное как	2	1
18	нигде и никогда не	1	1
19	в собственном смысле слова	1	1
20	есть не что иное	2	1
