N	2gram	Trubetskoy	UchenyiS
1	и в	26	14
2	не только	10	10
3	а не	5	10
4	и не	8	8
5	прежде всего	2	8
6	то что	7	7
7	в этом	15	7
8	не может	4	7
9	может быть	10	6
10	перестает быть	2	5
11	хотя бы	3	5
12	то же	4	5
13	и только	4	5
14	все это	6	5
15	с другой	8	4
16	в этой	4	4
17	в россии	2	4
18	конечно не	2	4
19	что такое	1	4
20	но и	9	4
21	в их	1	4
22	к сожалению	3	3
23	бы то	2	3
24	было бы	1	3
25	и т.д	6	3
26	этой области	1	3
27	для этого	2	3
28	это не	1	3
29	как и	1	3
30	то ни	2	3
31	вряд ли	1	3
32	для него	3	3
33	формы в	1	3
34	в своей	1	3
35	все же	6	3
36	ни было	2	3
37	в области	9	3
38	в то	4	3
39	не как	2	3
40	у нас	1	3
41	пришлось бы	1	3
42	другой стороны	1	3
43	не следует	1	3
44	но в	7	3
45	же время	2	3
46	все они	1	2
47	таким образом	22	2
48	в самом	4	2
49	если не	2	2
50	не приходится	1	2
51	должна была	2	2
52	могли бы	1	2
53	если бы	3	2
54	самом деле	1	2
55	могут быть	1	2
56	не в	2	2
57	это было	1	2
58	бы и	1	2
59	для всех	2	2
60	и с	10	2
61	до сих	5	2
62	их и	1	2
63	же самое	2	2
64	художественном творчестве	1	2
65	одним из	2	2
66	крайней мере	5	2
67	но не	8	2
68	по существу	2	2
69	мы и	1	2
70	тем что	1	2
71	в себе	6	2
72	в его	5	2
73	в конце	6	2
74	мы не	1	2
75	ничего не	1	2
76	всех этих	1	2
77	между тем	2	2
78	что она	1	2
79	не есть	1	2
80	что он	4	2
81	на каждом	1	2
82	в широком	1	2
83	конце концов	3	2
84	на эту	1	2
85	при таком	2	2
86	этом отношении	2	2
87	о чем	1	2
88	как раз	1	2
89	каждом шагу	1	2
90	не могут	2	2
91	а как	1	2
92	что мы	2	2
93	в том	11	2
94	это уже	1	2
95	том что	7	2
96	и через	1	2
97	надо было	2	2
98	но это	1	2
99	но даже	1	2
100	и для	5	2
101	и является	2	2
102	что и	6	2
103	к области	1	2
104	в сторону	1	2
105	а между	1	2
106	конечно нет	1	2
107	смысле этого	1	2
108	с его	2	2
109	и у	8	2
110	превращается в	2	2
111	сих пор	5	2
112	по крайней	5	2
113	только в	4	2
114	по себе	1	2
115	что все	4	2
116	этот путь	2	1
117	как основной	1	1
118	без труда	1	1
119	в той	1	1
120	мировоззрением и	1	1
121	признать что	2	1
122	все в	1	1
123	что в	9	1
124	к лицу	1	1
125	не было	2	1
126	так или	3	1
127	и даже	3	1
128	связанных с	2	1
129	этого и	1	1
130	более или	5	1
131	т.д в	1	1
132	всего что	1	1
133	первую очередь	1	1
134	и потому	6	1
135	в свое	1	1
136	в которой	3	1
137	все и	1	1
138	имеем в	1	1
139	можно сказать	3	1
140	такая система	1	1
141	эти тенденции	1	1
142	мы можем	2	1
143	или иначе	3	1
144	в данном	1	1
145	иначе связанные	1	1
146	больше чем	2	1
147	быть по	1	1
148	как на	8	1
149	с момента	1	1
150	он в	2	1
151	и все	2	1
152	которые могли	1	1
153	научного анализа	1	1
154	состоит из	1	1
155	же как	3	1
156	сказать что	2	1
157	в сфере	1	1
158	в процессе	2	1
159	данном случае	1	1
160	но для	1	1
161	то есть	4	1
162	шагу и	1	1
163	ролью в	1	1
164	и действительно	2	1
165	сдвиг в	1	1
166	того как	1	1
167	он знает	1	1
168	в таком	3	1
169	которое мы	1	1
170	и предопределил	1	1
171	о сущности	1	1
172	быть в	1	1
173	в течение	4	1
174	но именно	1	1
175	в своем	3	1
176	говорить не	1	1
177	тогда когда	2	1
178	с тем	18	1
179	в значительной	3	1
180	входит в	1	1
181	для себя	1	1
182	только как	1	1
183	одной стороны	7	1
184	именно к	1	1
185	относится к	2	1
186	он становится	1	1
187	находит себе	1	1
188	или по	2	1
189	мы имеем	2	1
190	от слова	1	1
191	в техническом	1	1
192	не связанных	1	1
193	их в	1	1
194	же в	1	1
195	не для	1	1
196	он может	1	1
197	в ней	1	1
198	но по	3	1
199	впервые в	1	1
200	из первых	1	1
201	и так	1	1
202	это для	1	1
203	и прежде	1	1
204	много но	1	1
205	объясняется и	1	1
206	язык в	1	1
207	оно является	2	1
208	в этот	1	1
209	связанные с	7	1
210	значительной мере	2	1
211	не вполне	3	1
212	на то	2	1
213	было когда	1	1
214	но если	2	1
215	только для	2	1
216	в которых	4	1
217	к этому	3	1
218	так и	6	1
219	обе эти	1	1
220	что с	1	1
221	из которых	4	1
222	друг с	5	1
223	этих слов	1	1
224	по методу	1	1
225	ее существование	1	1
226	в качестве	3	1
227	о котором	2	1
228	в нем	4	1
229	ничего подобного	1	1
230	в пользу	2	1
231	он не	4	1
232	быть тем	1	1
233	все что	2	1
234	на его	1	1
235	есть ли	1	1
236	и что	4	1
237	они относятся	1	1
238	одно из	2	1
239	и это	2	1
240	с одной	7	1
241	с другом	5	1
242	в первую	1	1
243	и делает	1	1
244	они в	2	1
245	должно быть	1	1
246	то о	1	1
247	в виду	2	1
248	широком смысле	1	1
249	или менее	5	1
250	реакцией против	1	1
251	тот же	2	1
252	уже не	3	1
253	о том	6	1
254	далеко не	4	1
255	тем более	1	1
256	того что	3	1
257	что еще	1	1
258	у него	1	1
259	другом не	1	1
260	в котором	4	1
261	не существует	1	1
262	бы в	1	1
263	в виде	4	1
264	искусства не	1	1
265	той же	1	1
266	приводит к	2	1
267	никогда не	5	1
268	человека и	1	1
