N	2gram	Losev_Dial	Freidism
1	таким образом	14	34
2	и не	50	34
3	точки зрения	43	31
4	не может	29	30
5	– это	11	29
6	и пр	16	29
7	в этом	14	28
8	может быть	30	28
9	и в	34	28
10	прежде всего	20	26
11	в его	6	25
12	это –	39	22
13	и его	8	22
14	мы можем	3	20
15	как бы	19	19
16	как мы	4	18
17	то что	25	17
18	– в	15	17
19	к отцу	2	16
20	вовсе не	18	16
21	с точки	25	15
22	точка зрения	5	15
23	цельной личности	2	15
24	все эти	4	15
25	так как	12	15
26	с ним	3	14
27	в своей	4	14
28	так и	11	14
29	самом деле	7	14
30	в душе	1	13
31	и все	17	13
32	как и	14	13
33	но в	3	13
34	во всех	2	13
35	психической жизни	2	12
36	в самом	9	12
37	то же	9	12
38	ни в	20	12
39	что он	18	12
40	том что	18	12
41	точку зрения	1	12
42	для него	4	12
43	все это	13	12
44	– не	11	12
45	и потому	6	12
46	и наконец	2	12
47	только в	10	11
48	мы знаем	3	11
49	сказать что	7	11
50	его в	2	11
51	все что	3	10
52	не только	35	10
53	и с	10	10
54	но и	14	10
55	конечно не	6	10
56	что же	12	10
57	тот же	1	10
58	никогда не	9	10
59	в том	17	10
60	мы уже	6	10
61	он не	8	10
62	за пределы	3	10
63	не в	11	10
64	и на	6	9
65	те же	1	9
66	уже не	9	9
67	во всяком	5	9
68	совершенно не	6	9
69	мы не	11	9
70	с его	7	9
71	к этому	3	9
72	к нему	4	9
73	в чем	11	9
74	а не	39	9
75	мы должны	1	9
76	могут быть	5	9
77	при этом	7	8
78	все же	4	8
79	еще не	7	8
80	с этим	4	8
81	было бы	13	8
82	и вот	13	8
83	знаем что	1	8
84	а в	3	8
85	– все	4	8
86	с другими	1	8
87	на этом	3	8
88	в ней	4	8
89	оно и	1	8
90	– только	3	8
91	всяком случае	3	8
92	что в	12	7
93	и к	5	7
94	не могут	6	7
95	связь с	1	7
96	в жизни	4	7
97	– и	8	7
98	его жизни	1	7
99	хотя бы	9	7
100	в каком	9	7
101	если мы	5	7
102	что все	16	7
103	и для	5	7
104	из них	4	7
105	того что	22	7
106	не является	1	7
107	но не	3	7
108	я и	2	7
109	– с	1	7
110	об этом	8	7
111	человека –	1	7
112	и у	3	7
113	чувств и	1	7
114	с самого	1	7
115	в нем	7	7
116	быть и	7	7
117	в этой	3	7
118	отношение к	1	7
119	в себе	8	7
120	жизни и	8	7
121	и прежде	6	7
122	в то	9	7
123	и ее	8	7
124	в человеке	1	6
125	учение о	11	6
126	одно из	8	6
127	если он	2	6
128	в корне	1	6
129	не менее	11	6
130	к тому	4	6
131	можно сказать	5	6
132	в основе	6	6
133	для того	4	6
134	же время	5	6
135	из этих	5	6
136	высшей степени	1	6
137	мы имеем	3	6
138	ни о	8	6
139	как раз	11	6
140	что такое	25	6
141	во время	1	6
142	на самом	2	6
143	здесь в	1	6
144	сознания и	5	6
145	чем же	3	6
146	в таком	15	6
147	– как	6	6
148	она не	10	6
