N	4gram	Propp_Isto	Myshleni
1	заключается в том что	1	43
2	в то время как	2	20
3	состоит в том что	2	17
4	с этой точки зрения	1	16
5	так же как и	3	16
6	одной и той же	2	15
7	в силу того что	1	9
8	но вместе с тем	1	9
9	в том что в	1	8
10	то же самое что	1	7
11	мы уже говорили выше	1	6
12	не что иное как	6	6
13	точно так же как	2	6
14	совершенно так же как	4	5
15	в этом случае в	1	4
16	в тех случаях когда	2	4
17	что мы знаем об	1	4
18	указывает на то что	1	4
19	подобно тому как в	1	4
20	есть не что иное	2	4
21	несмотря на то что	1	4
22	указывают на то что	1	3
23	как мы видели выше	2	3
24	в связи с этим	1	3
25	не имеют ничего общего	1	3
26	частный случай более общего	1	3
27	имеют ничего общего с	1	3
28	но тем не менее	2	2
29	с нашей точки зрения	1	2
30	не только то что	1	2
31	начинается с того что	2	2
32	является то что они	1	2
33	как мы увидим ниже	2	2
34	мы должны были бы	1	2
35	на самом же деле	1	2
36	на одной и той	2	2
37	что в данном случае	2	2
38	приводят к тому что	1	2
39	и не может быть	1	2
40	отличаются друг от друга	1	2
41	но в этом случае	1	2
42	мы остановимся только на	1	2
43	мы видели что в	2	2
44	сказывается в том что	1	2
45	мы имеем дело с	1	2
46	иначе обстоит дело с	1	1
47	образом мы видим что	1	1
48	этот вопрос можно дать	1	1
49	в том отношении что	1	1
50	до сих пор рассматривали	1	1
51	когда он говорит что	1	1
52	мы знаем об этом	1	1
53	мы можем установить что	1	1
54	таким образом мы видим	1	1
55	мы знаем что в	1	1
56	в целом и его	1	1
57	мы видим не только	1	1
58	вместе с тем они	1	1
59	он делает это не	1	1
60	на том что в	1	1
61	на этот вопрос можно	1	1
62	мы увидим дальше что	1	1
63	только частный случай более	1	1
64	выражается в том что	1	1
65	это происходит потому что	1	1
66	у нас до сих	1	1
67	как это мы видим	1	1
68	чем перейти к этому	1	1
69	речи и т д	1	1
70	мы видим что в	1	1
71	все реже и реже	1	1
72	и выражается в том	1	1
73	показывает что в этом	1	1
74	составить предмет особого исследования	1	1
75	это мы видим в	1	1
76	силу того что они	1	1
77	если это так то	1	1
78	как мы сейчас увидим	1	1
79	но и то что	1	1
80	выше мы видели что	3	1
81	превращается в свою противоположность	1	1
82	то он делает это	1	1
83	в том смысле как	1	1
84	в этом случае не	1	1
85	видно из того что	1	1
86	таким образом мы можем	1	1
87	только после того как	2	1
88	а в связи с	1	1
89	в этом случае мы	1	1
90	все остальные особенности этого	1	1
91	это означало бы что	1	1
92	точно так же в	1	1
93	он никак не мог	1	1
94	на все эти вопросы	1	1
95	мы до сих пор	1	1
96	нас до сих пор	1	1
97	только в связи с	2	1
98	с одной стороны он	1	1
99	для нас важно установить	1	1
100	во всех этих случаях	1	1
101	настоящем смысле этого слова	1	1
