N	2gram	Propp_Russ	Problema
1	и в	59	182
2	то есть	3	165
3	и не	6	152
4	то что	10	144
5	не только	28	104
6	потому что	15	89
7	в этом	18	88
8	может быть	14	82
9	в том	33	81
10	том что	33	81
11	не просто	3	80
12	только в	4	73
13	сказать что	1	72
14	но и	20	70
15	в виде	10	69
16	у нас	11	68
17	также и	1	68
18	и даже	1	66
19	не менее	3	58
20	о том	14	57
21	тем не	3	56
22	а не	3	56
23	так и	8	56
24	но в	5	55
25	так что	4	52
26	ни в	1	51
27	для нас	12	50
28	в себе	1	48
29	отнюдь не	3	48
30	и вообще	1	48
31	было бы	3	46
32	прежде всего	2	45
33	в своей	1	45
34	что в	35	44
35	в его	3	44
36	не в	2	43
37	все эти	5	43
38	то же	6	42
39	а именно	2	42
40	как раз	1	42
41	таким образом	10	42
42	и что	8	40
43	и то	2	40
44	что он	2	40
45	так как	25	40
46	что мы	1	40
47	во всяком	1	39
48	не может	6	39
49	и тем	1	39
50	в этой	4	39
51	как бы	18	39
52	в данном	7	38
53	никак не	1	37
54	в нем	3	37
55	того что	6	37
56	точки зрения	3	36
57	еще не	7	36
58	и все	4	36
59	когда мы	2	35
60	и т	13	35
61	в виду	3	34
62	уже не	9	34
63	и с	12	34
64	как и	19	34
65	в таком	5	33
66	не является	2	33
67	т д	12	33
68	как символ	2	33
69	здесь не	1	32
70	в то	3	32
71	но не	7	32
72	так же	7	31
73	в своем	3	31
74	связи с	6	31
75	в конце	1	31
76	но это	5	31
77	все это	12	31
78	подобного рода	1	30
79	и для	3	30
80	с другой	1	30
81	настоящее время	3	30
82	в настоящее	3	30
83	в связи	4	29
84	все же	7	29
85	можно сказать	1	29
86	перед нами	2	29
87	как мы	11	29
88	об этом	11	29
89	данном случае	8	28
90	мы не	11	28
91	а в	16	28
92	и о	4	28
93	и это	2	27
94	и как	2	27
95	хотя и	3	27
96	ничего общего	3	27
97	ничего не	4	27
98	как будто	6	26
99	вместе с	16	26
100	еще и	1	26
101	это не	14	26
102	и его	2	26
103	мы можем	2	25
104	и на	14	25
105	с точки	3	25
106	всяком случае	1	25
107	с тем	14	24
108	на самом	3	24
109	тем более	1	24
110	в нашем	2	24
111	не имеет	9	24
112	таком случае	1	23
113	по своему	2	23
114	на то	2	23
115	при этом	11	23
116	тут же	2	23
117	в качестве	5	23
118	и притом	1	23
119	а только	1	23
120	то и	4	23
121	и к	3	22
122	только на	4	22
123	никогда не	1	22
124	всех этих	2	22
125	есть в	2	22
126	значит что	2	22
127	его в	9	22
128	и от	2	22
129	и есть	1	22
130	что и	8	22
131	мы должны	3	21
132	и ее	3	21
133	говорить о	2	21
134	разного рода	1	21
135	для себя	1	21
136	а также	6	21
137	и без	1	21
138	именно в	3	20
139	для того	6	20
140	можно было	3	20
141	и потому	3	20
142	о чем	7	20
143	тем что	7	20
144	несмотря на	4	20
145	как о	1	20
146	или в	7	20
147	кроме того	3	19
148	в них	10	19
149	с ним	2	19
150	самом деле	1	19
151	но если	2	19
152	того или	1	19
153	то это	1	19
154	уже в	2	19
155	он не	1	19
156	если не	1	19
157	если бы	1	19
158	как в	10	19
159	жизни и	1	19
160	в этих	3	18
161	того же	1	18
162	не было	3	18
163	не будет	1	18
164	мы и	1	18
165	того чтобы	6	18
166	в ней	3	18
167	без всякого	1	17
168	что они	8	17
169	во всех	6	17
170	значение и	2	17
171	и здесь	3	17
172	пока еще	1	17
173	мы уже	2	17
174	совсем не	1	17
175	ни о	1	17
176	что здесь	4	17
177	это и	1	17
178	точно так	1	16
179	что она	4	16
180	будто бы	10	16
181	как это	11	16
182	он и	1	16
183	же в	5	16
184	для этого	6	16
185	но все	3	16
186	в одно	2	16
187	к тому	4	16
188	но даже	2	16
189	случае не	1	16
190	далеко не	5	16
191	и сам	1	15
192	с этим	4	15
193	в чем	1	15
194	всякого рода	3	15
195	в той	1	15
196	у него	2	15
197	что не	1	15
198	общего с	1	15
199	и более	3	15
200	здесь в	1	15
201	в частности	2	15
202	людей и	1	14
203	что все	2	14
204	с другими	3	14
205	только о	1	14
206	не так	1	14
207	этом случае	9	14
208	нас не	3	14
209	в котором	2	14
210	говорит о	3	14
211	нас в	2	14
212	в дальнейшем	2	14
213	не что	3	14
214	из глины	1	14
215	в н	1	14
216	что иное	3	14
217	иное как	3	14
218	же и	1	13
219	на кавказе	1	13
220	из них	12	13
221	тому что	4	13
222	из этого	1	13
223	только при	1	13
224	мы имеем	7	13
225	в их	5	13
226	или даже	3	13
227	в области	3	13
228	который в	2	13
229	уже давно	1	13
230	в других	24	13
231	в целях	4	13
232	иной раз	1	13
233	те или	1	13
234	дело в	1	13
235	на земле	3	12
236	в другом	1	12
237	с одной	1	12
238	в которой	3	12
239	время как	1	12
240	для них	5	12
241	то время	3	12
242	на первый	3	12
243	в литературе	1	12
244	в начале	1	12
245	и очень	1	12
246	или по	1	12
247	не являются	1	12
248	что этот	4	12
249	значения и	2	12
250	что это	4	12
251	не будем	5	12
252	в целом	2	12
253	и следовательно	2	11
254	свидетельствует о	1	11
255	тот же	2	11
256	в таких	3	11
257	одной стороны	1	11
258	по поводу	1	11
259	к нему	3	11
260	не о	1	11
261	что его	1	11
262	без всякой	1	11
263	не могут	1	11
264	и у	5	11
