N	2gram	Bakhtin_Fr	Vladivir
1	и в	73	116
2	то что	12	71
3	и не	13	67
4	в году	12	65
5	у него	13	65
6	не только	11	65
7	в этом	21	53
8	в том	13	52
9	том что	8	51
10	что в	14	48
11	но и	15	47
12	в конце	9	41
13	в его	18	40
14	и с	17	39
15	то есть	36	37
16	и даже	4	36
17	сказать что	4	36
18	также и	6	36
19	там же	1	35
20	учение о	2	35
21	так что	2	35
22	потому что	9	33
23	что он	8	32
24	еще и	2	32
25	не может	4	31
26	о том	13	30
27	только в	7	30
28	как мы	19	29
29	никогда не	6	29
30	для него	7	29
31	вовсе не	11	27
32	а в	10	27
33	не было	4	26
34	а к	1	25
35	в себе	16	25
36	но в	12	25
37	в то	14	25
38	и то	3	25
39	и его	18	25
40	а также	8	24
41	даже и	1	24
42	точки зрения	6	23
43	между прочим	2	23
44	он не	4	23
45	может быть	5	23
46	что же	1	23
47	кроме того	6	22
48	он был	7	22
49	ни в	7	22
50	так как	9	22
51	в виде	2	22
52	об этом	2	22
53	в своей	4	21
54	вместе с	9	21
55	а именно	2	20
56	и что	5	20
57	в своем	13	20
58	для нас	2	20
59	прежде всего	18	20
60	в дальнейшем	3	19
61	и вообще	3	19
62	по поводу	1	19
63	как раз	3	19
64	таким образом	34	19
65	в течение	2	19
66	так и	13	19
67	и потому	6	19
68	как и	19	18
69	не мог	2	18
70	не в	12	18
71	не был	2	18
72	хотя и	5	18
73	как это	2	18
74	с его	5	18
75	в письме	1	17
76	то это	1	17
77	что и	6	17
78	в этой	18	17
79	едва ли	1	17
80	и если	1	17
81	а не	2	17
82	у нас	4	17
83	все же	2	16
84	уже не	2	16
85	к тому	2	16
86	не есть	2	16
87	совсем не	3	16
88	года он	2	16
89	и все	19	16
90	было бы	5	16
91	того что	5	16
92	в котором	4	16
93	и к	6	15
94	то же	16	15
95	в своих	1	15
96	под названием	1	15
97	к этому	5	15
98	в эти	2	15
99	несмотря на	3	15
100	в связи	3	15
101	иной раз	2	15
102	до конца	5	15
103	но это	3	15
104	это было	4	15
105	того же	7	14
106	все эти	24	14
107	его жизни	1	14
108	же касается	1	14
109	мы уже	25	14
110	и на	12	14
111	уже в	9	14
112	и как	5	14
113	во всем	5	13
114	в результате	7	13
115	с тем	2	13
116	так же	11	13
117	не просто	3	13
118	на этот	1	13
119	и от	10	13
120	что это	9	13
121	то время	1	13
122	да и	1	13
123	дело в	2	13
124	жизни и	6	13
125	по себе	2	12
126	только на	2	12
127	и это	6	12
128	и у	7	12
129	и по	4	12
130	в нем	18	12
131	содержит в	1	12
132	всяком случае	1	12
133	ничего не	4	12
134	во всяком	2	12
135	есть только	3	12
136	связи с	5	12
137	мы сейчас	2	12
138	при этом	5	11
139	него в	2	11
140	более или	3	11
141	всякого рода	1	11
142	в данном	3	11
143	тому же	1	11
144	в которой	3	11
145	я не	3	11
146	он уже	2	11
147	и здесь	5	11
148	в основном	2	11
149	никак не	1	11
150	в отношении	6	11
151	это есть	1	11
152	еще в	4	11
153	все это	19	11
154	то он	2	11
155	или менее	3	11
156	и о	2	11
157	конце концов	5	11
158	в самом	9	10
159	даже в	4	10
160	года в	1	10
161	что все	3	10
162	такого рода	1	10
163	с точки	4	10
164	в качестве	11	10
165	что его	2	10
166	можно было	4	10
167	что для	1	10
168	к нему	7	10
169	с ним	6	10
170	января года	1	10
171	еще не	3	10
172	в истории	3	10
173	же года	1	10
174	здесь не	2	10
175	он и	2	10
176	о нем	3	10
177	в ней	10	10
178	но не	1	10
179	о чем	2	9
180	и сам	2	9
181	именно в	4	9
182	с этим	4	9
183	с другой	3	9
184	но он	8	9
185	а только	2	9
186	а с	1	9
187	не будет	1	9
188	этом смысле	1	9
189	мы будем	1	9
190	из этого	2	9
191	в начале	4	9
192	это время	1	9
193	отношения к	1	9
194	что мы	2	9
195	что если	2	9
196	это не	7	9
197	же время	12	9
198	ни с	1	9
199	по существу	8	9
200	что касается	1	9
201	можно судить	1	9
202	в целом	1	9
203	с этой	4	8
204	в этих	6	8
205	тем что	8	8
206	в это	3	8
207	которой он	2	8
208	в этот	1	8
209	конечно не	2	8
210	все существующее	2	8
211	себя в	3	8
212	и он	4	8
213	это мы	1	8
214	в чем	3	8
215	в париже	1	8
216	никакого отношения	1	8
217	и особенно	3	8
218	как в	9	8
219	свое время	2	8
220	должно быть	4	8
221	как бы	15	8
222	и для	8	8
223	тот же	3	8
224	xix века	2	8
225	и я	1	8
226	только и	2	8
227	из этих	1	8
228	отношение к	3	8
229	к этой	1	7
230	в одном	5	7
231	в них	14	7
232	но все	5	7
233	на первый	2	7
234	но даже	1	7
235	на первом	1	7
236	в нашем	2	7
237	себе и	2	7
238	за пределы	1	7
239	в доме	2	7
240	был в	3	7
241	и есть	3	7
242	мы видели	7	7
243	эти годы	1	7
244	к его	2	7
245	не имеет	4	7
246	в каком	1	7
247	ничего общего	1	7
248	и вот	3	7
249	того чтобы	2	7
250	из его	1	7
251	в годах	1	7
252	при помощи	1	7
253	но если	1	7
254	в свое	2	7
255	не без	1	7
256	к концу	1	7
257	на его	1	7
258	первый план	2	7
259	в таком	1	7
260	другими словами	2	7
261	как он	4	7
262	или как	1	7
263	мы бы	1	7
264	по этому	4	7
265	же в	2	7
266	был и	3	6
267	и очень	2	6
268	мысли и	3	6
269	те же	3	6
270	в виду	4	6
271	другой стороны	2	6
272	его на	1	6
273	настоящее время	1	6
274	на него	2	6
275	он сам	4	6
276	если мы	2	6
277	той же	9	6
278	по мнению	1	6
279	его в	3	6
280	чем в	1	6
281	том же	1	6
282	не говорит	1	6
283	время как	1	6
284	под влиянием	1	6
285	но только	2	6
286	по своей	1	6
287	он пишет	1	6
288	не раз	1	6
289	году в	1	6
290	не с	1	6
291	и из	2	6
292	и вполне	1	6
293	должен был	1	6
294	но на	1	6
295	нельзя сказать	1	6
296	учении о	1	6
297	на основании	1	6
298	в настоящее	1	6
299	данном случае	1	6
300	свидетельствует о	3	6
301	мы не	2	6
302	которых он	1	6
303	и всегда	2	6
304	здесь в	9	6
305	было для	1	6
306	по своему	3	6
307	по его	1	6
308	жизнь и	3	6
309	ко всему	1	6
310	тем более	1	6
311	отличие от	1	6
312	само собой	1	6
313	в жизни	1	6
314	есть и	4	6
315	такой же	3	6
316	в период	1	6
317	и наконец	6	6
318	что на	1	6
319	есть не	2	6
320	тех кто	2	5
321	еще более	4	5
322	говорит о	2	5
323	весь этот	2	5
324	и до	14	5
325	на эту	1	5
326	говорит что	2	5
327	не вполне	1	5
328	как на	1	5
329	и еще	2	5
330	быть в	1	5
331	будем говорить	1	5
332	из них	6	5
333	вся эта	2	5
334	что они	2	5
335	во всех	13	5
336	что у	3	5
337	для своего	1	5
338	говорит в	1	5
339	эти три	1	5
340	того и	1	5
341	для его	2	5
342	и весьма	2	5
343	и тем	3	5
344	он в	2	5
345	во время	12	5
346	однако и	1	5
347	в частности	2	5
348	один из	5	5
349	утверждает что	1	5
350	все то	3	5
351	и так	2	5
352	нет ничего	1	5
353	в свою	3	5
354	и больше	1	5
355	подобного рода	1	5
356	мы имеем	2	5
357	им в	2	5
358	заметить что	1	5
359	начиная с	3	5
360	что я	1	5
361	это был	1	5
362	он как	2	5
363	ее в	1	5
364	где он	1	5
365	со своим	1	5
366	как нечто	2	5
