N	3gram	Vinokur_Vv	KulturaY
1	и т п	5	93
2	и т д	39	42
3	для того чтобы	22	38
4	с точки зрения	4	36
5	в том что	15	33
6	в самом деле	6	29
7	можно было бы	4	25
8	тем не менее	9	19
9	во всяком случае	5	19
10	то обстоятельство что	1	19
11	с другой стороны	5	17
12	в зависимости от	3	16
13	в русском языке	1	15
14	до сих пор	7	14
15	в том чтобы	5	14
16	по отношению к	4	13
17	по крайней мере	4	13
18	только потому что	1	13
19	в связи с	2	12
20	и в самом	3	11
21	не может быть	10	11
22	в этом отношении	4	11
23	в этом смысле	10	10
24	о том что	13	10
25	вместе с тем	3	9
26	того или иного	1	9
27	не в том	2	8
28	само по себе	4	8
29	на самом деле	1	8
30	не только в	4	8
31	в этом случае	6	8
32	тех пор пока	1	7
33	мере в какой	6	7
34	в той мере	6	7
35	той мере в	6	7
36	до тех пор	1	7
37	в свою очередь	2	7
38	и тем не	3	7
39	только в том	2	7
40	с одной стороны	4	7
41	после того как	2	7
42	хотя бы и	2	6
43	в отличие от	4	6
44	то же время	6	6
45	только тогда когда	1	6
46	той или иной	3	6
47	этой точки зрения	2	6
48	было бы сказать	1	6
49	в то же	6	6
50	не говоря уже	2	6
51	в свое время	3	6
52	то или иное	1	5
53	можно говорить о	3	5
54	говоря уже о	1	5
55	дело не в	1	5
56	с этой точки	2	5
57	потому что он	2	5
58	более или менее	1	5
59	в соответствии с	2	5
60	в данном случае	4	5
61	в данном отношении	2	5
62	сплошь да рядом	1	5
63	и в этом	4	5
64	т е в	4	5
65	но все же	4	5
66	что же касается	2	5
67	не потому что	1	5
68	на этот вопрос	5	5
69	как мы видели	3	5
70	лишь в том	1	4
71	т е на	1	4
72	мы говорим о	1	4
73	так или иначе	4	4
74	сам по себе	2	4
75	том что он	1	4
76	в первом случае	2	4
77	смысле этого слова	2	4
78	и того же	2	4
79	но также и	10	4
80	а в том	1	4
81	к тому что	1	4
82	состоит в том	2	4
83	одного и того	2	4
84	о языке как	1	4
85	того что сказано	1	4
86	т е о	1	4
87	т д и	1	4
88	и потому что	2	4
89	в силу которых	1	4
90	бы сказать что	1	4
91	заключается в том	3	4
92	только то что	1	4
93	точно так же	2	4
94	т е с	1	4
95	зависимости от того	1	4
96	так же как	1	4
97	языка т е	1	4
98	на этой почве	2	3
99	и дело что	1	3
100	смысле этого термина	1	3
101	чтобы понять что	3	3
102	и тогда когда	1	3
103	русского языка и	1	3
104	в таком случае	1	3
105	совершенно ясно что	1	3
106	нужно было бы	1	3
107	в конце концов	2	3
108	не трудно видеть	6	3
109	история языка в	1	3
110	о котором идет	1	3
111	тех или иных	3	3
112	к языку как	1	3
113	в общем случае	4	3
114	того что в	1	3
115	с тем что	3	3
116	в известном смысле	3	3
117	точки зрения на	1	3
118	не то что	1	3
119	уже о том	1	3
120	или меньшей степени	1	3
121	сама по себе	3	3
122	большей или меньшей	3	3
123	хотя бы на	1	3
124	от того что	1	3
125	в том смысле	1	3
126	все это не	1	3
127	и не в	1	3
128	в настоящее время	1	3
129	в большей или	1	3
130	в лучшем случае	1	3
131	широком смысле этого	2	3
132	от этого не	1	3
133	не только как	4	3
134	принять во внимание	2	3
135	не могут быть	2	3
136	тем что она	1	3
137	в таких случаях	1	3
138	обратить внимание на	2	3
139	уже не только	2	3
140	уже само по	1	3
141	том что не	1	3
142	но с другой	1	3
143	должен быть в	1	2
144	в ряде случаев	1	2
145	в той или	1	2
146	со стороны ее	1	2
147	свое выражение в	1	2
148	и прежде всего	1	2
149	в применении к	6	2
150	том смысле что	1	2
151	что в ней	1	2
152	эта установка на	1	2
153	в каждом из	1	2
154	имеется в виду	1	2
155	для каждой из	1	2
156	внимание на то	1	2
157	в собственном смысле	3	2
158	в том-то и	1	2
159	отсюда следует что	1	2
160	по себе не	1	2
161	вовсе не в	2	2
162	ответить на этот	1	2
163	когда мы говорим	1	2
164	язык как на	1	2
165	в том числе	1	2
166	потому что она	1	2
167	потому что в	1	2
168	в строгом смысле	3	2
169	занятия по языку	1	2
170	в европе и	1	2
171	и то же	2	2
172	но в том-то	1	2
173	может быть только	1	2
174	уже потому что	1	2
175	но что такое	1	2
176	мы имеем право	1	2
177	примером может служить	1	2
178	оставляя в стороне	1	2
179	том чтобы выяснить	1	2
180	в известной мере	2	2
181	бы то ни	1	2
182	из того что	1	2
183	в истории русской	1	2
184	и в том	4	2
185	собственном смысле слова	1	2
186	если мы теперь	1	2
187	в сущности уже	1	2
188	в самом процессе	1	2
189	т е не	2	2
190	языка в отличие	1	2
191	а так как	2	2
192	он должен быть	1	2
193	как мы знаем	1	2
194	только после того	2	2
195	что это только	1	2
196	в общем смысле	1	2
197	все же только	1	2
198	не до конца	2	2
199	в другом месте	2	2
200	с течением времени	7	2
201	том или ином	2	2
202	его грамматическую систему	1	2
203	прежде всего в	1	2
204	можно сказать что	3	2
205	которые хотя и	1	2
206	и той же	2	2
207	по сравнению с	4	2
208	на язык как	1	2
209	того чтобы быть	1	2
210	вовсе не только	2	2
211	том-то и дело	1	2
212	и в особенности	4	2
213	внимание на те	1	2
214	самого по себе	1	2
215	но дело не	2	2
216	в большей степени	2	2
217	не что иное	5	2
218	в какой они	1	2
219	может быть не	1	2
220	это еще не	2	2
221	одной и той	2	2
222	мы имеем в	1	2
223	тем или иным	2	2
224	в широком смысле	7	2
225	языка но и	1	2
226	что иное как	5	2
227	знания о языке	1	2
228	что история языка	1	2
229	т е то	1	2
230	в самом широком	1	2
231	идет речь в	1	2
232	также и в	3	2
233	потому что они	1	2
234	может быть и	2	2
235	это очевидно для	1	1
236	достаточно для того	1	1
237	вопросу о возможности	1	1
238	точки зрения например	1	1
239	всяком случае гораздо	1	1
240	истории русского языка	1	1
241	это однако не	2	1
242	что оно имеет	1	1
243	между ними и	2	1
244	об отношениях между	1	1
245	с этим и	1	1
246	все то что	1	1
247	приходится иметь дело	1	1
248	почву культурной истории	1	1
249	которая как мы	1	1
250	пояснений понятно что	1	1
251	не иначе как	1	1
252	т д а	2	1
253	в области изучения	1	1
254	право смотреть на	1	1
255	целого ряда других	1	1
256	никак не может	1	1
257	искать ответа на	1	1
258	язык может быть	1	1
259	языка на котором	1	1
260	том отношении что	3	1
261	в известных пределах	1	1
262	от истории и	1	1
263	как явлению природы	1	1
264	естественно не мог	1	1
265	на том что	2	1
266	том что если	1	1
267	язык можно и	1	1
268	не в этом	1	1
269	совсем другое дело	1	1
270	если можно говорить	1	1
271	одна от другой	2	1
272	если же мы	1	1
273	и науки о	1	1
274	дело лишь с	1	1
275	один из моих	1	1
276	лишь к тому	1	1
277	только в применении	2	1
278	она есть не	1	1
279	не сам по	1	1
280	наряду с этим	1	1
281	язык в его	1	1
282	но уже и	1	1
283	к своему предмету	1	1
284	влечет за собой	2	1
285	до наших дней	2	1
286	что действительно в	1	1
287	сводится лишь к	1	1
