N	3gram	Vinokur_Ku	Istorich
1	и т д	21	142
2	в этих случаях	1	47
3	с другой стороны	12	46
4	до сих пор	5	30
5	в этом случае	4	29
6	с одной стороны	2	28
7	так же как	3	27
8	мы знаем что	2	26
9	в том что	23	25
10	не может быть	5	24
11	вместе с тем	3	23
12	но все же	3	23
13	тем не менее	9	23
14	точно так же	4	22
15	о том что	6	22
16	мы имеем в	1	19
17	не только в	4	19
18	в связи с	4	17
19	о том как	3	15
20	в данном случае	1	15
21	после того как	2	15
22	по отношению к	8	14
23	на то что	3	14
24	мы увидим что	2	13
25	как мы видели	1	12
26	в тех случаях	2	11
27	не что иное	2	11
28	всех этих случаях	1	11
29	во всех этих	1	11
30	т е в	3	11
31	что иное как	2	11
32	как и в	1	10
33	можно было бы	11	10
34	тех случаях когда	2	10
35	что и в	1	10
36	более или менее	3	9
37	в таких случаях	3	9
38	и вместе с	1	9
39	на этот вопрос	3	8
40	и то что	1	8
41	мере того как	3	8
42	по мере того	3	8
43	в зависимости от	7	8
44	еще не все	1	8
45	в большинстве случаев	2	7
46	дело не в	3	7
47	смысле этого слова	2	7
48	с представлением о	1	7
49	с тем что	1	7
50	во всяком случае	8	7
51	потому что он	1	7
52	на том что	1	6
53	и здесь мы	1	6
54	к тому же	1	6
55	но это не	1	6
56	т д все	1	6
57	этой точки зрения	4	6
58	с этой точки	3	6
59	том что в	1	5
60	для того чтобы	21	5
61	должны были бы	1	5
62	в отличие от	3	5
63	в том чтобы	9	5
64	до наших дней	1	5
65	т д и	3	5
66	есть не что	1	5
67	так и в	2	5
68	здесь можно было	1	5
69	на самом деле	3	5
70	мы имеем здесь	1	5
71	влечет за собой	1	4
72	так или иначе	3	4
73	что представление о	1	4
74	то это значит	1	4
75	и может быть	1	4
76	только то что	1	4
77	с точки зрения	16	4
78	на его пути	1	4
79	т е с	1	4
80	состоит в том	4	4
81	это еще не	1	4
82	тем что он	1	4
83	сюда же относится	1	4
84	то же что	1	4
85	иметь в виду	1	4
86	по себе не	1	4
87	поставить вопрос о	2	4
88	и тем не	4	4
89	сами по себе	2	4
90	ни один из	1	4
91	в это время	1	4
92	можно сказать что	2	4
93	и в особенности	1	4
94	есть случаи когда	1	4
95	но они не	1	4
96	все то что	1	3
97	никак не может	1	3
98	что в данном	1	3
99	и то же	1	3
100	в иных случаях	3	3
101	что в этом	1	3
102	и тем самым	1	3
103	до того что	1	3
104	к тому что	2	3
