N	4gram	Losev_Dial	Formalny
1	в то же время	3	20
2	бы то ни было	1	7
3	и пр и пр	1	7
4	и в то же	2	6
5	с одной стороны и	1	5
6	в связи с этим	1	5
7	на самом же деле	1	3
8	во что бы то	1	3
9	с точки зрения самого	1	3
10	и во всяком случае	1	3
11	что бы то ни	1	3
12	и то и другое	1	3
13	бы то ни стало	1	3
14	но в то же	1	3
15	с этой точки зрения	4	2
16	что в данном случае	1	2
17	в том смысле что	1	2
18	сам по себе а	1	2
19	одних и тех же	2	2
20	иметь в виду что	1	2
21	не говоря уже о	6	2
22	мы имеем в виду	1	2
23	в зависимости от характера	1	2
24	не в том что	4	2
25	и в том что	1	1
26	это и случилось с	1	1
27	но даже и на	1	1
28	не что иное как	6	1
29	во-первых с точки зрения	1	1
30	он не может быть	1	1
31	с той или иной	1	1
32	одно и то же	2	1
33	т д таким образом	1	1
34	conditio sine qua non	1	1
35	не имеет никакого отношения	3	1
36	ровно ничего не говорят	1	1
37	в том отношении что	1	1
38	ни в чем не	1	1
39	столько же сколько и	1	1
40	ни в коем случае	4	1
41	одной и той же	4	1
42	в том что они	1	1
43	рассматривать с точки зрения	1	1
44	тем не менее в	1	1
45	жизни того или иного	1	1
46	и т д таким	1	1
47	оценивается с точки зрения	2	1
48	не чем иным как	1	1
49	быть во что бы	1	1
50	в самом деле что	2	1
51	в коем случае не	4	1
52	одной стороны и на	1	1
53	коем случае не может	1	1
54	и при этом условии	1	1
55	т е таких которые	1	1
56	которые сами по себе	1	1
57	он может и должен	1	1
58	в ней и в	1	1
59	и тем не менее	2	1
60	что это не просто	1	1
61	есть не что иное	3	1
