1	в то же	10	19
2	то же время	9	18
3	там же с	29	10
4	и т д	4	10
5	в том что	29	8
6	о том что	22	6
7	но в то	2	5
8	по крайней мере	4	4
9	дело в том	13	4
10	с самого начала	3	3
11	и все же	2	3
12	и в то	5	3
13	в году в	6	3
14	в том же	4	3
15	что все это	1	3
16	том что в	6	3
17	точно так же	7	3
18	не значит что	1	2
19	о свободе воли	2	2
20	письма т ii	6	2
21	а может быть	1	2
22	так и в	2	2
23	не только в	5	2
24	то есть не	1	2
25	от апреля года	1	2
26	в самом деле	3	2
27	человека и его	1	2
28	в таком случае	2	2
29	во всяком случае	12	2
30	на этот вопрос	1	2
31	в году он	5	2
32	можно сказать что	4	2
33	на первом плане	5	2
34	и в году	3	2
35	в связи с	12	2
36	в данном случае	6	2
37	та же самая	1	2
38	и многое другое	1	2
39	марта года в	2	2
40	и не может	1	2
41	в отличие от	6	2
42	может быть назван	1	2
43	он еще не	1	2
44	но это не	3	2
45	если не считать	1	2
46	в свою очередь	3	2
47	т ii с	7	2
48	тем не менее	18	2
49	том же году	1	2
50	не может быть	10	2
51	с другой стороны	6	2
52	в известном смысле	1	2
53	что у него	2	2
54	никогда не было	1	2
55	не что иное	4	1
56	в первую очередь	3	1
57	той или иной	1	1
58	возвращении в петербург	1	1
59	что он как	2	1
60	же у него	1	1
61	и отнюдь не	1	1
62	апреля года в	2	1
63	как и его	1	1
64	в эти годы	7	1
65	за то что	2	1
66	не был бы	1	1
67	остался у него	1	1
68	же время с	1	1
69	не мог не	1	1
70	оставляет без внимания	1	1
71	он в сущности	1	1
72	имел в виду	2	1
73	по возвращении в	2	1
74	тем самым свое	1	1
75	важную роль в	1	1
76	до сих пор	2	1
77	утверждал что в	1	1
78	и должно быть	1	1
79	правды и добра	1	1
80	все же не	1	1
81	то что в	5	1
82	вместе с тем	10	1
83	и далеко не	1	1
84	в бытность свою	2	1
85	на другой день	1	1
86	отнюдь не был	1	1
87	за три года	1	1
88	в году когда	1	1
89	то есть о	2	1
90	у него была	2	1
91	а вместе с	1	1
92	вот в чем	1	1
93	как нечто внешнее	1	1
94	не может не	2	1
95	если он хочет	1	1
96	и тем не	2	1
97	и прежде всего	2	1
98	от октября года	1	1
99	в конце жизни	8	1
100	в основном с	1	1
101	в настоящее время	6	1
102	и как бы	1	1
103	и в том	5	1
104	в мае года	1	1
105	да и в	2	1
106	в котором все	2	1
107	нет никакой разницы	1	1
108	политической экономии и	1	1
109	и тут же	1	1
110	это есть отношение	1	1
111	он говорит о	1	1
112	к жизни в	1	1
113	в чем не	1	1
114	всей жизни и	1	1
115	и в этом	6	1
116	самом же деле	3	1
117	бросается в глаза	2	1
118	ни в чем	2	1
119	о жизни и	1	1
120	и что в	2	1
121	я никогда не	1	1
122	все это у	1	1
123	прежде всего на	1	1
124	чем отличается от	1	1
125	как и всякая	1	1
126	является как бы	1	1
127	но все это	1	1
128	некоторое представление о	1	1
129	хотя бы и	3	1
130	выше мы уже	3	1
131	но на этот	2	1
132	подробнее об этом	1	1
133	на самом же	3	1
134	он принадлежит к	1	1
135	для него все	1	1
136	что иное как	4	1
137	в этой области	2	1
138	так же как	2	1
139	все это признаки	1	1
140	в разные стороны	1	1
141	имеют для них	1	1
142	нет ничего кроме	1	1
143	может быть в	1	1
144	фактов его биографии	1	1
145	в целом и	1	1
146	что он был	1	1
147	же самое время	1	1
148	в виду что	1	1
149	не только с	1	1
150	о том как	1	1
151	фет а а	1	1
152	те и другие	1	1
153	это значит что	7	1
154	он не может	1	1
155	и те и	1	1
156	дело не в	1	1
157	к тому же	11	1
158	был склонен к	1	1
159	есть единство и	2	1
160	хотя и не	3	1
161	а с другой	3	1
162	в отрыве от	1	1
