N	3gram	Vinokur_St	Mirosoze
1	не может быть	5	28
2	в том что	29	9
3	но он не	1	9
4	а не в	1	9
5	для того чтобы	13	7
6	в высшей степени	1	7
7	и в этом	4	6
8	вместе с тем	2	6
9	о том что	19	6
10	до сих пор	12	5
11	в отношении к	1	5
12	и вместе с	1	5
13	что и в	4	5
14	но и в	2	5
15	после того как	5	5
16	может быть и	2	5
17	что он не	5	4
18	по отношению к	3	4
19	в конце концов	2	4
20	никогда не было	1	4
21	и в самом	3	4
22	на то что	5	4
23	в то время	2	4
24	потому что он	1	4
25	можно было бы	8	4
26	то время как	1	4
27	он никогда не	1	3
28	как будто бы	1	3
29	плоть от плоти	1	3
30	для него не	1	3
31	потому что она	1	3
32	том что он	6	3
33	и никогда не	1	3
34	не может не	1	3
35	к тому что	4	3
36	но это не	1	3
37	и не было	1	3
38	по сравнению с	1	3
39	что в россии	2	3
40	так же как	5	3
41	в значительной степени	2	3
42	не до конца	2	3
43	же как и	1	3
44	во всяком случае	8	3
45	я никогда не	1	3
46	также и в	1	3
47	как и в	2	3
48	это не значит	3	2
49	смысле этого слова	1	2
50	не только в	4	2
51	как и во	1	2
52	и на этом	1	2
53	хотя бы и	2	2
54	он не может	1	2
55	нельзя было бы	1	2
56	в его время	1	2
57	начале xix века	1	2
58	том что в	4	2
59	но также и	5	2
60	в россии в	1	2
61	в которых он	1	2
62	в них нет	1	2
63	что это не	2	2
64	в наше время	1	2
65	имел в виду	1	2
66	было не по	1	2
67	и не может	1	2
68	в этих словах	2	2
69	потому что не	1	2
70	я хотел бы	1	2
71	тем что в	2	2
72	и те же	1	2
73	и только в	3	2
74	он не только	2	2
75	в том смысле	4	2
76	лишь те которые	1	2
77	может не быть	1	2
78	на протяжении всей	1	2
79	в начале xix	1	2
80	всякий раз когда	1	2
81	в русской истории	1	2
82	он не знает	1	2
83	у нас не	1	2
84	что в нем	2	2
85	т е в	3	2
86	в этом отношении	13	2
87	ни в чем	1	2
88	он был очень	1	1
89	но ведь это	1	1
90	и характер его	1	1
91	в вопросе о	1	1
92	мере в какой	3	1
93	а может быть	1	1
94	это тем более	1	1
95	быть и речи	1	1
96	не потому ли	2	1
97	том смысле что	2	1
98	и в этих	1	1
99	в той мере	2	1
100	в его собственной	2	1
101	и т п	11	1
102	влагает в уста	1	1
103	на том что	1	1
104	как о системе	1	1
105	должно было бы	1	1
106	одни и те	1	1
107	в самом деле	7	1
108	не значит что	3	1
109	но я не	2	1
110	это бы еще	1	1
111	не знает и	1	1
112	он отразился в	1	1
113	но и с	2	1
114	при котором не	1	1
115	но и он	1	1
116	во втором случае	2	1
117	что у него	1	1
118	может быть результатом	1	1
119	на этом основании	1	1
120	во многих отношениях	1	1
121	сам по себе	1	1
122	если и можно	1	1
123	не в том	3	1
124	в письме к	5	1
125	не верил в	1	1
126	в том случае	1	1
127	что он сам	1	1
128	а между тем	2	1
129	как в самом	1	1
130	хотя бы даже	1	1
131	что он в	1	1
132	речь идет о	3	1
133	в зависимости от	2	1
134	вместо того чтобы	1	1
135	не могла бы	1	1
136	как и всякая	1	1
137	том что этот	1	1
138	не похож на	1	1
139	даже и в	1	1
140	в отличие от	1	1
141	и в других	1	1
142	той мере в	2	1
143	но даже и	1	1
144	и по отношению	1	1
145	в котором она	1	1
146	самого себя и	1	1
147	время т е	1	1
148	чем у пушкина	2	1
149	не только имеет	1	1
150	с другой стороны	8	1
151	вряд ли можно	2	1
152	и в том	3	1
153	в той же	2	1
154	и речи о	1	1
155	но не менее	1	1
156	что в то	1	1
157	раз когда в	1	1
158	был свободен от	1	1
159	сих пор не	1	1
160	того что для	1	1
161	за то что	5	1
162	в которой все	1	1
163	и могут быть	1	1
164	той или иной	1	1
165	вообще не существует	2	1
166	все-таки не было	1	1
167	в каком-то более	1	1
168	но и это	1	1
169	с точки зрения	10	1
170	с того что	2	1
171	ему и в	1	1
172	в чем же	1	1
173	тому что у	1	1
174	со всеми его	1	1
175	а иногда и	2	1
176	в ту же	1	1
177	этап в развитии	1	1
178	но нужно сказать	1	1
179	и не в	1	1
180	и в тех	1	1
181	в иных случаях	2	1
182	нужно сказать что	5	1
183	в то же	5	1
184	трудно было бы	1	1
185	не хочет знать	1	1
186	вовсе не так	1	1
187	на этот счет	1	1
188	что и у	1	1
189	то же время	5	1
190	но в отношении	1	1
191	на самом деле	7	1
192	я не могу	2	1
193	может быть никакого	1	1
194	когда говорил о	1	1
195	того как он	1	1
196	потому что ведь	1	1
197	выйти за пределы	1	1
198	жизни и смерти	1	1
199	или лучше сказать	2	1
200	только потому что	2	1
201	во всех этих	1	1
202	это прежде всего	2	1
203	сомневаться в том	2	1
204	хотя бы в	1	1
205	такое отношение к	1	1
206	между тем в	1	1
207	а вовсе не	1	1
208	что в своей	1	1
209	с одной стороны	2	1
210	у нас нет	7	1
211	на эту тему	4	1
