N	4gram	Vygotskiy_	Stilisti
1	в то же время	2	7
2	одно и то же	1	5
3	одной и той же	5	4
4	все больше и больше	2	2
5	не что иное как	2	2
6	одном и том же	1	2
7	но для того чтобы	1	2
8	одни и те же	3	2
9	и для того чтобы	1	2
10	точном смысле этого слова	1	2
11	вместе с тем и	1	2
12	в зависимости от того	1	2
13	одну и ту же	1	2
14	мы никогда не сумеем	1	2
15	в связи с этим	1	2
16	есть не что иное	1	2
17	само по себе не	1	1
18	как говорит один из	1	1
19	говорит один из героев	1	1
20	к одному и тому	1	1
21	которые в действительной жизни	1	1
22	от тех или иных	1	1
23	мы никогда не найдем	1	1
24	в те времена когда	1	1
25	убедиться в том что	1	1
26	все сильнее и сильнее	1	1
27	в таких словах как	1	1
28	то же самое и	2	1
29	но вместе с тем	1	1
30	и не может быть	1	1
31	приходится иметь дело с	3	1
32	при этом не только	1	1
33	и т.д что же	1	1
34	одному и тому же	1	1
35	одним и тем же	1	1
36	только благодаря тому что	1	1
37	и не было бы	1	1
38	одного и того же	1	1
39	в собственном смысле слова	2	1
40	ни на минуту не	1	1
