N	3gram	Tiupa_Hudo	Freidism
1	с точки зрения	3	15
2	не может быть	4	14
3	по отношению к	10	11
4	в самом деле	2	10
5	в том что	8	9
6	и прежде всего	2	7
7	в то же	7	6
8	то же время	7	6
9	может быть и	2	6
10	можно сказать что	3	5
11	в свою очередь	2	4
12	во внешнем мире	2	4
13	тем не менее	3	4
14	в зависимости от	1	4
15	по ту сторону	1	4
16	в таком случае	2	4
17	не могут быть	1	4
18	все то что	1	3
19	только то что	1	3
20	для того чтобы	5	3
21	о том что	1	3
22	бы то ни	2	3
23	в жизни человека	1	3
24	внутренней и внешней	2	3
25	прежде всего к	1	3
26	но в то	1	3
27	в конечном счете	5	3
28	он не только	1	2
29	может быть это	1	2
30	в этом смысле	3	2
31	заключается в том	1	2
32	его роли в	1	2
33	тех же самых	1	2
34	то или иное	1	2
35	а с другой	2	2
36	том что она	1	2
37	в таких случаях	1	2
38	в отличие от	7	2
39	жизни человека и	1	2
40	и по отношению	1	2
41	том что он	2	2
42	то ни было	2	2
43	к тому что	2	2
44	все что может	1	2
45	это и есть	1	2
46	с одной стороны	3	2
47	то же самое	1	2
48	быть не может	1	1
49	что он не	1	1
50	отношений внешнего мира	1	1
51	в этом случае	1	1
52	мы нигде не	1	1
53	и со всеми	1	1
54	в широком и	1	1
55	внешнем мире и	1	1
56	но в отличие	1	1
57	того или иного	4	1
58	должен быть положен	1	1
59	и др в	1	1
60	той или иной	5	1
61	он еще не	1	1
62	таком случае это	1	1
63	между субъективной и	1	1
64	является как бы	1	1
65	за пределы всего	1	1
66	субъективной и объективной	1	1
67	себе а в	1	1
68	до известной степени	2	1
69	больше и больше	1	1
70	точки зрения не	1	1
71	только в условиях	1	1
72	между собой в	1	1
73	мы видим в	1	1
74	лежат в основе	1	1
75	в противоречие с	1	1
76	позицию по отношению	1	1
77	по крайней мере	1	1
78	и для других	1	1
79	в данный момент	2	1
80	пределы всего что	1	1
81	высшей ценностью и	1	1
82	в себя и	1	1
83	для него не	1	1
84	имеем в виду	3	1
85	обратим внимание на	1	1
86	одной из своих	1	1
87	то что может	1	1
88	во внутренней речи	1	1
89	в себе и	1	1
90	как бы в	1	1
91	и его роли	1	1
92	в коем случае	2	1
93	из этих двух	1	1
94	в свое время	1	1
95	всех без исключения	3	1
96	в чем состоит	1	1
97	отличие от обычного	1	1
98	в то время	1	1
99	на всех людей	1	1
100	и то же	3	1
101	в одной из	1	1
102	в особенности в	1	1
103	в себе самом	1	1
104	не что иное	1	1
105	иметь в виду	1	1
106	ни в коем	2	1
107	одно и то	3	1
108	таким образом что	1	1
109	при этом как	1	1
110	имея в виду	1	1
111	для искусства в	1	1
112	так же как	1	1
113	так и его	1	1
114	можно говорить о	1	1
115	точки зрения в	1	1
116	и в то	2	1
117	и внутренней речи	1	1
118	есть не что	1	1
119	но не в	1	1
120	как и ее	1	1
121	на первый взгляд	1	1
122	в хх веке	1	1
123	на время в	1	1
124	что иное как	1	1
125	личности а не	1	1
126	едва ли не	1	1
127	на этом пути	1	1
128	мы имеем в	3	1
129	из того что	1	1
130	таким образом и	1	1
131	отношению к его	1	1
132	является одним из	1	1
133	все без исключения	1	1
134	тот или иной	3	1
135	в основе своей	2	1
136	коем случае не	2	1
137	в настоящее время	1	1
138	шире и глубже	1	1
139	это было бы	1	1
