N	2gram	Losev_Vesc	VerxiiNi
1	и в	44	26
2	таким образом	16	22
3	с тем	8	18
4	в этом	17	15
5	вместе с	4	15
6	точки зрения	10	13
7	как бы	19	12
8	в том	15	11
9	не только	48	10
10	и с	11	10
11	может быть	37	10
12	из этих	1	10
13	что в	11	9
14	так как	17	9
15	связи с	1	9
16	но и	19	9
17	магической силы	1	9
18	в общем	1	8
19	и у	4	8
20	и не	57	8
21	главным образом	3	8
22	с другой	8	8
23	но не	9	8
24	с одной	3	7
25	но все	3	7
26	том что	13	7
27	потому что	25	7
28	одной стороны	3	7
29	а с	3	7
30	то что	47	7
31	но в	8	7
32	из них	7	7
33	к нему	3	7
34	так и	4	6
35	в конце	3	6
36	несмотря на	6	6
37	религиозного сознания	2	6
38	все это	7	6
39	что и	11	6
40	в отношении	7	6
41	представление о	1	6
42	все эти	5	6
43	все же	18	6
44	к тому	3	6
45	о том	11	6
46	во всяком	4	6
47	и потому	8	6
48	всяком случае	2	6
49	мы должны	5	6
50	с точки	6	6
51	в себе	23	6
52	того же	5	6
53	и к	1	5
54	до сих	1	5
55	в его	5	5
56	тому же	1	5
57	более или	4	5
58	не имеет	2	5
59	с другом	2	5
60	или менее	4	5
61	сих пор	1	5
62	по крайней	10	5
63	того чтобы	4	5
64	для того	3	5
65	так же	4	5
66	лишь в	1	5
67	отношение к	4	5
68	одной из	1	5
69	в силу	4	5
70	друг с	2	5
71	а не	34	5
72	и для	13	5
73	крайней мере	10	5
74	никогда не	5	5
75	в самом	13	4
76	что оно	10	4
77	ничем не	4	4
78	то есть	2	4
79	и по	1	4
80	то же	12	4
81	из которых	3	4
82	только в	23	4
83	в этих	1	4
84	должен был	1	4
85	с другими	8	4
86	учение о	2	4
87	что он	7	4
88	и вместе	1	4
89	в которых	1	4
90	к своим	1	4
91	в смысле	22	4
92	в котором	4	4
93	в течение	1	4
94	и тогда	7	4
95	он не	4	4
96	и что	22	4
97	далеко не	2	4
98	а в	6	4
99	в этой	4	4
100	бога и	1	4
101	и от	4	4
102	не может	44	4
103	что все	2	4
104	на этот	1	4
105	в виде	3	4
106	в то	11	4
107	и только	11	4
108	в нем	6	4
109	в так	1	4
110	уже с	1	3
111	и другие	2	3
112	на западе	1	3
113	с этой	6	3
114	при этом	1	3
115	для него	8	3
116	из всех	1	3
117	что это	18	3
118	тем не	11	3
119	и если	5	3
120	в качестве	4	3
121	в результате	9	3
122	то с	3	3
123	с материей	1	3
124	так или	5	3
125	и даже	12	3
126	если бы	8	3
127	в которой	5	3
128	или иначе	5	3
129	с ней	2	3
130	на нее	2	3
131	с самого	1	3
132	в таком	1	3
133	случае не	3	3
134	в связи	1	3
135	ясно что	10	3
136	и как	12	3
137	как о	5	3
138	же как	3	3
139	но по	1	3
140	если в	1	3
141	не менее	11	3
142	из которого	1	3
143	и таким	2	3
144	в других	1	3
145	а так	3	3
146	и нет	3	3
147	что эти	2	3
148	можно сказать	8	3
149	но с	2	3
150	хотя бы	9	3
151	так что	9	3
152	у них	2	3
153	когда он	2	3
154	в одном	6	3
155	большей частью	1	3
156	не вполне	2	3
157	всегда и	1	3
158	и о	4	3
159	культуры и	1	3
160	в своем	9	3
161	уже не	15	3
162	подойти к	1	3
163	к этому	2	3
164	конце концов	2	3
165	того что	16	3
166	бы то	12	2
