N	3gram	Trubetskoy	Hudozhes
1	по отношению к	1	10
2	в том что	3	8
3	в то же	2	7
4	в отличие от	1	7
5	то же время	2	7
6	с другой стороны	1	6
7	более или менее	5	6
8	той или иной	2	5
9	для того чтобы	5	5
10	состоит в том	1	5
11	так или иначе	3	4
12	не может быть	1	4
13	мы имеем в	1	3
14	с точки зрения	6	3
15	имеем в виду	1	3
16	в том числе	5	3
17	тем не менее	3	3
18	можно сказать что	2	3
19	одного и того	1	3
20	и того же	1	3
21	в связи с	3	3
22	с одной стороны	7	3
23	в слове о	1	2
24	в свою очередь	1	2
25	бы то ни	2	2
26	до известной степени	1	2
27	этой точки зрения	2	2
28	с этой точки	2	2
29	в самом деле	1	2
30	в таком случае	1	2
31	слове о полку	1	2
32	том числе и	4	2
33	и в то	1	2
34	а с другой	5	2
35	тем или иным	1	2
36	то ни было	2	2
37	о полку игореве	1	2
38	может быть и	2	2
39	точно так же	3	1
40	может и не	1	1
41	жизни то есть	1	1
42	неизбежно заключает в	1	1
43	в одном и	1	1
44	и потому что	2	1
45	те и другие	2	1
46	и том же	1	1
47	вследствие того что	1	1
48	к чему не	1	1
49	в соответствии с	1	1
50	на задний план	1	1
51	заключает в себе	2	1
52	по крайней мере	5	1
53	к новой жизни	1	1
54	о том что	4	1
55	то или иное	2	1
56	есть как бы	2	1
57	случае мы имеем	1	1
58	каждая из которых	1	1
59	и те и	2	1
60	как видно из	1	1
61	тем и другим	1	1
62	в настоящее время	1	1
63	не совпадает с	1	1
64	в то время	1	1
65	при этом не	1	1
66	каждая из этих	1	1
67	именно потому что	1	1
68	области духовной культуры	2	1
69	иметь в виду	1	1
70	при этом может	1	1
71	но в то	1	1
72	так же как	3	1
73	в том или	1	1
74	речь идет о	1	1
75	во всей своей	1	1
76	а в том	1	1
77	к тому же	4	1
78	своей индивидуальности и	1	1
79	в первую очередь	1	1
80	более высокое место	1	1
81	как и ее	1	1
82	в области духовной	1	1
83	то же самое	2	1
84	и в сущности	1	1
85	что даже в	1	1
86	том или ином	1	1
87	еще и потому	1	1
88	ни к чему	1	1
89	только то что	1	1
90	как бы в	1	1
91	одном и том	1	1
92	это и есть	1	1
93	того чтобы такое	1	1
94	и в этой	1	1
