N	3gram	Bakhtin_Pr	EvropaiE
1	с точки зрения	6	16
2	в то же	3	15
3	то же время	3	14
4	и в то	2	8
5	с одной стороны	3	8
6	в том что	3	6
7	одной стороны и	1	6
8	для того чтобы	2	5
9	того или иного	2	4
10	той или иной	2	4
11	не только в	2	4
12	то ни было	2	4
13	бы то ни	3	4
14	и в этом	1	4
15	в применении к	3	3
16	можно было бы	3	3
17	в известной степени	2	3
18	в этом смысле	3	3
19	хотя бы и	1	3
20	можно сказать что	2	3
21	и прежде всего	5	3
22	в этом отношении	2	3
23	так и в	2	2
24	дело идет о	1	2
25	и в частности	2	2
26	мы можем сказать	2	2
27	но в то	1	2
28	не может быть	11	2
29	на то что	1	2
30	в большинстве случаев	5	2
31	в данном случае	4	2
32	по себе не	1	2
33	по сравнению с	1	2
34	хотя бы в	1	2
35	имеет место в	2	2
36	то что в	1	2
37	в свою очередь	1	2
38	с другой стороны	4	2
39	или хотя бы	1	2
40	не говоря уже	1	2
41	и т д	1	1
42	хотя и не	1	1
43	в противном случае	3	1
44	она никогда не	1	1
45	культуры и в	1	1
46	следует отметить что	1	1
47	есть ли это	1	1
48	имеют дело с	1	1
49	отметить что в	1	1
50	и с точки	1	1
51	то есть в	1	1
52	если так то	1	1
53	но и во	1	1
54	дело в том	1	1
55	смысле этого слова	1	1
56	в лучшем случае	2	1
57	то или иное	2	1
58	к тому что	1	1
59	но и в	2	1
60	том смысле что	1	1
61	но если так	1	1
62	можем сказать что	1	1
63	в той области	1	1
64	и тем самым	2	1
65	то время как	1	1
66	в том смысле	1	1
67	в отличие от	5	1
68	несмотря на то	1	1
69	не может в	1	1
70	в основных чертах	1	1
71	и происходит в	1	1
72	о которых мы	1	1
73	не более как	1	1
74	не могут быть	2	1
75	мы сказали бы	1	1
76	не есть ли	1	1
77	с тем что	1	1
78	не входя в	1	1
79	ней в ее	1	1
80	выходит за пределы	1	1
81	в связи с	1	1
82	и не в	1	1
83	в некоторых случаях	1	1
84	в том же	2	1
85	та или иная	1	1
86	хотя бы только	1	1
87	только в пределах	1	1
88	в нем и	1	1
89	известной степени и	1	1
90	то есть к	1	1
91	говоря уже о	1	1
92	в то время	1	1
93	также и в	1	1
94	в значительной степени	1	1
95	чтобы войти в	1	1
96	на этот вопрос	1	1
97	одной стороны в	1	1
98	а также и	1	1
99	может быть и	1	1
