N	2gram	Medvedev_F	slovoVRo
1	и в	54	92
2	и т	22	82
3	т п	11	72
4	может быть	30	59
5	и его	27	59
6	в нем	25	59
7	и не	34	51
8	не только	14	44
9	не может	26	41
10	но и	18	39
11	до конца	9	37
12	литературного языка	3	37
13	в этом	39	36
14	а не	11	34
15	во всех	9	32
16	точки зрения	21	30
17	так и	24	30
18	языка и	13	29
19	могут быть	7	29
20	и др	8	29
21	в пределах	13	29
22	в его	30	27
23	в роман	1	27
24	слова в	2	26
25	языка в	8	25
26	все это	11	25
27	как бы	10	24
28	слова и	5	24
29	слово в	2	24
30	то же	16	23
31	и на	10	22
32	в сущности	3	21
33	как в	12	21
34	не в	16	21
35	вовсе не	18	21
36	в процессе	17	20
37	в то	14	20
38	его слово	1	19
39	прежде всего	34	19
40	как мы	10	19
41	с ним	3	18
42	как и	18	18
43	язык и	8	18
44	же время	13	18
45	себя в	1	18
46	или иной	1	18
47	таким образом	28	17
48	оно не	6	17
49	и даже	7	17
50	все же	8	17
51	в основе	7	17
52	в истории	10	17
53	все эти	12	17
54	в большинстве	6	17
55	при этом	14	16
56	в них	4	16
57	к своему	1	16
58	отличие от	2	16
59	но в	9	16
60	в той	3	15
61	и с	17	15
62	с точки	17	15
63	литературный язык	6	15
64	той или	1	15
65	там где	3	15
66	романа и	1	14
67	только в	6	14
68	в отличие	2	14
69	узком смысле	1	14
70	так сказать	6	14
71	в узком	1	14
72	в особенности	7	13
73	отношении к	2	13
74	в слове	4	13
75	на фоне	7	13
76	это не	4	13
77	общего языка	1	13
78	с другой	8	13
79	с его	12	13
80	точка зрения	3	13
81	поэтического слова	3	13
82	рядом с	1	13
83	и для	5	13
84	и к	7	12
85	в отношении	3	12
86	еще не	6	12
87	во всяком	6	12
88	художественного изображения	1	12
89	слово как	1	12
90	никогда не	6	12
91	и потому	9	12
92	или в	2	12
93	точек зрения	1	12
94	а в	11	12
95	отношение к	4	12
96	и наконец	7	12
97	один из	4	11
98	роман и	2	11
99	в этих	3	11
100	большинстве случаев	5	11
101	с ними	1	11
102	для него	9	11
103	с одной	5	11
104	языка как	11	11
105	язык в	2	11
106	на его	2	11
107	одной стороны	5	11
108	слова как	2	11
109	в языке	5	10
110	и их	13	10
111	и все	9	10
112	уже не	9	10
113	все они	1	10
114	лишь в	15	10
115	т д	11	10
116	в своем	12	10
117	может не	1	10
118	в том	17	10
119	с другими	11	10
120	она не	8	10
121	языку и	1	10
122	в себе	4	10
123	далеко не	2	10
124	в него	2	10
125	всех этих	6	10
126	пределах одного	1	9
127	в основном	3	9
128	романа в	1	9
129	более или	7	9
130	в своей	16	9
131	конечно не	5	9
132	сказать что	3	9
133	языка а	4	9
134	на почве	20	9
135	этом случае	1	9
136	так как	4	9
137	здесь в	2	9
138	его в	5	9
139	у толстого	2	9
140	одна из	2	9
141	в их	16	9
142	в смысле	2	9
143	или менее	7	9
144	и других	4	9
145	он не	8	9
146	языком и	2	9
147	быть и	5	9
148	одним из	1	9
149	и от	9	9
150	но не	5	9
151	с ее	7	9
152	к нему	3	9
153	более того	6	9
154	в самом	17	8
155	для нас	1	8
156	не на	3	8
157	не могут	8	8
158	свой язык	1	8
159	может стать	1	8
160	зависимости от	5	8
161	в поэтическом	6	8
162	в значительной	3	8
163	язык не	1	8
164	установка на	3	8
165	все время	7	8
166	для понимания	1	8
167	с этим	6	8
168	словом в	1	8
169	в зависимости	4	8
170	всяком случае	6	8
171	п в	2	8
172	входит в	8	8
173	в ней	15	8
174	во всем	3	7
175	от него	2	7
176	же и	2	7
177	еще более	6	7
178	кроме того	3	7
179	язык как	8	7
180	но все	4	7
181	смысла и	3	7
182	о нем	1	7
183	например в	1	7
184	том что	3	7
185	перед нами	3	7
186	но здесь	1	7
187	и иных	2	7
188	известной степени	4	7
189	значительной степени	3	7
190	на своем	3	7
191	но именно	2	7
192	слово и	2	7
193	здесь не	5	7
194	друг друга	4	7
195	стиля и	2	7
196	того же	1	7
197	слова от	1	7
198	по преимуществу	6	7
199	мышления и	2	7
200	у него	1	7
201	не было	7	7
202	связи с	12	7
203	и непосредственно	4	7
204	в таком	2	7
205	у тургенева	2	7
206	удельный вес	1	7
207	мы уже	1	7
208	его не	2	7
209	также и	1	7
210	ту же	1	7
211	за пределы	2	7
212	поэтическое слово	1	7
213	жизни и	10	7
214	в целом	7	7
215	что в	10	6
216	и здесь	8	6
217	даже в	2	6
218	в одном	2	6
219	ни в	3	6
220	другой стороны	5	6
221	по себе	10	6
222	конечно и	1	6
223	взаимодействии с	3	6
224	именно в	12	6
225	подхода к	4	6
226	одновременно и	1	6
227	поэтического стиля	2	6
228	роль в	2	6
229	большей или	1	6
230	со всею	5	6
231	языка то	2	6
232	можно сказать	2	6
233	по своим	1	6
234	в свою	8	6
235	наконец в	3	6
236	этого языка	2	6
237	говорить о	4	6
238	слов и	1	6
239	и там	1	6
240	в контексте	2	6
241	как к	5	6
242	связан с	1	6
243	в качестве	2	6
244	xix века	1	6
245	бы и	1	6
246	лежит в	1	6
247	а также	1	6
248	становления и	3	6
249	мира и	1	6
250	единство и	2	6
251	на этом	2	6
252	хотя бы	10	6
253	между тем	4	6
254	стороны и	4	6
255	в новое	2	6
256	к языку	1	6
257	нем и	2	6
258	или меньшей	1	6
259	он в	3	6
260	которые в	1	6
261	ничего не	5	6
262	эпохи и	2	6
263	в чисто	1	6
264	романе и	1	5
265	должна быть	11	5
266	не как	7	5
267	и чисто	2	5
268	в результате	8	5
269	него нет	1	5
270	в рамки	1	5
271	и форм	2	5
272	к его	3	5
273	они не	7	5
274	по отношению	4	5
275	вместе с	8	5
276	своего предмета	1	5
277	не менее	12	5
278	о том	1	5
279	но оно	1	5
280	его и	2	5
281	не является	3	5
282	в противовес	2	5
283	в данном	2	5
284	и более	4	5
285	мы не	6	5
286	для того	3	5
287	с помощью	13	5
288	только на	8	5
289	этого жанра	1	5
290	связанных с	2	5
291	языка не	2	5
292	речи в	1	5
293	авантюрного романа	1	5
294	той же	2	5
295	отношению к	4	5
296	поэтического языка	63	5
297	а вовсе	2	5
298	в эпохи	1	5
299	но он	2	5
300	в дальнейшем	3	5
301	как такового	8	5
302	между этими	2	5
303	остается в	1	5
304	в поэзии	5	5
305	уже в	1	5
306	хотя и	3	5
307	этом отношении	7	5
308	и этим	2	5
309	с их	2	5
310	как его	3	5
311	идеологического становления	2	5
312	или даже	3	5
313	на роман	1	5
314	должен быть	5	5
315	в других	5	5
