N	2gram	Nazirov_Tv	Poddanst
1	не только	16	17
2	и в	40	14
3	и не	12	12
4	в области	1	11
5	в этом	11	10
6	в отношении	1	10
7	н а	1	10
8	в том	13	9
9	то же	19	9
10	в качестве	2	9
11	но в	11	9
12	хотя бы	5	8
13	в пределах	1	8
14	только в	7	7
15	же время	18	7
16	в обстановке	1	7
17	в то	23	7
18	в ней	2	6
19	xix века	13	6
20	быть может	3	6
21	было бы	2	6
22	но и	10	6
23	в смысле	1	6
24	может быть	11	5
25	отношении к	2	5
26	с другой	4	5
27	не в	3	5
28	п о	1	5
29	и о	2	5
30	в которых	3	5
31	а н	1	5
32	а я	3	5
33	в русской	5	4
34	и к	1	4
35	что в	17	4
36	в котором	8	4
37	по себе	2	4
38	на путях	1	4
39	россии из	1	4
40	и если	3	4
41	и потому	4	4
42	мы должны	1	4
43	в с	2	4
44	европейской культуры	1	4
45	не может	9	4
46	а в	10	4
47	то что	9	4
48	как бы	26	4
49	если бы	4	4
50	в своем	4	4
51	л и	1	4
52	же в	1	4
53	том что	14	4
54	наряду с	6	3
55	в себе	3	3
56	россия должна	1	3
57	с одной	2	3
58	мы не	3	3
59	это не	9	3
60	одной стороны	1	3
61	между тем	2	3
62	хотя и	5	3
63	т е	1	3
64	с тем	1	3
65	потому что	10	3
66	прежде всего	10	3
67	вслед за	2	3
68	сводится к	2	3
69	тем самым	10	3
70	сами по	2	3
71	в россии	5	3
72	заключается в	1	3
73	но не	7	3
74	могут быть	4	3
75	я и	3	3
76	р а	1	3
77	и т	14	3
78	и как	5	3
79	с ними	3	3
80	столь же	2	3
81	в нем	4	3
82	и без	2	3
83	тот же	3	3
84	с этим	2	2
85	во всех	2	2
86	м а	1	2
87	сказывается в	1	2
88	и это	2	2
89	и других	5	2
90	в полной	1	2
91	и мы	1	2
92	было в	2	2
93	если в	3	2
94	xix век	2	2
95	и вот	2	2
96	время в	3	2
97	том числе	1	2
98	еще более	3	2
99	начала и	1	2
100	эта идея	2	2
101	на этих	2	2
102	в ее	3	2
103	и тем	2	2
104	того что	3	2
105	никак не	1	2
106	как раз	2	2
107	в недрах	1	2
108	в частности	4	2
109	в его	19	2
110	и право	1	2
111	xix веке	3	2
112	не о	1	2
113	а не	9	2
114	все это	14	2
115	в которую	2	2
116	говорить о	1	2
117	для них	2	2
118	заключает в	1	2
119	может и	1	2
120	и есть	2	2
121	стороны и	1	2
122	сколько бы	1	2
123	и и	1	2
124	в русском	1	2
125	в виде	4	2
126	в них	1	2
127	не было	3	2
128	к чему	1	2
129	и с	9	2
130	в начале	2	2
131	как на	1	2
132	в а	1	2
133	мысль о	3	2
134	в сфере	2	2
135	главным образом	1	2
136	именно в	6	2
137	должно быть	1	2
