N	2gram	Trubetskoy	RusskieA
1	и в	14	79
2	в том	17	64
3	том что	9	59
4	что в	4	57
5	не только	9	41
6	во время	2	38
7	так как	4	34
8	в этом	17	33
9	состоит в	2	32
10	как бы	4	31
11	но и	10	31
12	в других	2	30
13	как и	4	28
14	и на	5	28
15	может быть	9	28
16	одна из	3	24
17	о том	7	23
18	и т	3	23
19	при этом	5	22
20	это не	1	20
21	а в	5	20
22	как мы	1	20
23	из них	3	19
24	все это	6	18
25	с тем	6	17
26	таким образом	11	17
27	то что	13	17
28	вместе с	4	17
29	об этом	1	17
30	потому что	5	17
31	во многих	2	16
32	мы не	1	16
33	один из	1	15
34	и с	7	14
35	не менее	1	14
36	тем не	1	14
37	как это	1	14
38	и что	2	14
39	и не	19	14
40	для нас	2	14
41	уже не	2	13
42	к этому	1	13
43	в некоторых	2	13
44	так что	2	13
45	и по	3	13
46	в которых	1	13
47	еще не	3	13
48	не может	22	13
49	тем что	3	12
50	между собой	5	12
51	этом случае	3	12
52	в виде	3	12
53	но это	2	11
54	а на	1	11
55	что на	1	11
56	все же	4	10
57	так например	1	10
58	это делалось	1	10
59	том чтобы	3	10
60	его в	4	10
61	между тем	5	10
62	что и	3	10
63	в течение	2	10
64	так и	1	10
65	или в	3	10
66	по существу	5	10
67	и других	1	10
68	то же	11	9
69	что они	3	9
70	с ней	1	9
71	и все	1	9
72	данном случае	3	9
73	том же	2	9
74	но в	2	9
75	в русском	1	9
76	но не	4	9
77	в этих	2	8
78	представление о	1	8
79	что по	1	8
80	так же	2	8
81	связи с	3	8
82	на себя	2	8
83	во всех	5	8
84	что это	3	8
85	их в	2	8
86	в россии	6	8
87	того чтобы	8	8
88	того что	3	8
89	ее в	2	8
90	в данном	7	8
91	через них	1	8
92	для того	6	8
93	в руках	1	7
94	настоящее время	2	7
95	в своем	6	7
96	на них	1	7
97	к нему	2	7
98	не в	4	7
99	в свете	1	7
100	а с	2	7
101	было бы	5	7
102	главным образом	3	7
103	только в	5	7
104	из этих	3	7
105	а не	2	7
106	до конца	1	7
107	в настоящее	2	7
108	не можем	2	7
109	и как	3	7
110	мы должны	7	7
111	по этому	2	7
112	как будто	2	7
113	для этого	3	7
114	же как	1	6
115	к тому	7	6
116	не всегда	1	6
117	только на	2	6
118	в качестве	3	6
119	в разные	1	6
120	в таком	2	6
121	тому что	2	6
122	на земле	4	6
123	должно было	1	6
124	и у	1	6
125	многих случаях	1	6
126	должны были	1	6
127	в этой	4	6
128	в нем	5	6
129	с ними	1	6
130	приводит к	4	6
131	и более	2	6
132	друг друга	3	6
133	в их	4	6
134	все эти	2	6
135	связаны с	1	6
136	она не	2	6
137	но она	2	6
138	и их	1	6
139	и о	2	6
140	и к	6	5
141	в разных	1	5
142	только для	2	5
143	тогда как	2	5
144	с этим	2	5
145	вопрос о	5	5
146	входит в	1	5
147	с другой	1	5
148	к ним	1	5
149	не было	3	5
150	в связи	1	5
151	мы уже	2	5
152	можно было	4	5
153	чаще всего	1	5
154	в то	10	5
155	прежде всего	8	5
156	тогда когда	4	5
157	с ним	2	5
158	для них	3	5
159	что он	6	5
160	то и	1	5
161	в свою	1	5
162	к себе	2	5
163	но если	3	5
164	и для	6	5
165	в его	4	5
166	на самом	6	5
167	или даже	1	5
168	и потому	3	5
169	отнюдь не	7	5
170	этих случаях	1	5
171	во всем	4	4
172	только тогда	1	4
173	не столько	1	4
174	их не	2	4
175	в своих	6	4
176	но все	1	4
177	именно в	3	4
178	во всяком	9	4
179	на этой	2	4
180	в котором	2	4
181	чтобы они	1	4
182	от них	1	4
183	не просто	2	4
184	влияние на	1	4
185	что у	1	4
186	несмотря на	3	4
187	а за	1	4
188	которое в	1	4
189	не был	1	4
190	под именем	1	4
191	здесь мы	1	4
192	этот вопрос	2	4
193	природы и	1	4
194	что для	3	4
195	могут быть	1	4
196	и от	2	4
197	за ним	1	4
198	если в	6	4
199	и при	6	4
200	не на	1	4
201	вряд ли	3	4
202	в основе	1	4
203	где есть	1	4
204	этого слова	1	4
205	всяком случае	6	4
206	и многие	1	4
207	нас не	1	4
208	его и	2	4
209	в таких	2	4
210	такой же	1	4
211	по своему	1	4
212	в ней	2	4
213	связано с	1	4
214	к ней	1	4
215	и тогда	2	4
216	таким же	3	4
217	иное как	1	4
218	все что	4	3
219	к другу	1	3
220	же и	1	3
221	которые не	1	3
222	совершенно очевидно	2	3
223	церковь и	1	3
224	связь с	1	3
225	более или	4	3
226	на которых	1	3
227	или другие	1	3
228	видно из	1	3
229	в одно	1	3
230	как только	1	3
231	на первый	1	3
232	от этого	1	3
233	он был	1	3
234	представления о	1	3
235	в различных	1	3
