N	3gram	Bakhtin_Fr	Stilisti
1	в то же	13	9
2	для того чтобы	5	7
3	то же время	13	7
4	с точки зрения	4	5
5	в свою очередь	2	4
6	той или иной	2	4
7	и той же	2	4
8	о своей жизни	1	4
9	одной и той	2	4
10	с самого начала	1	4
11	и так далее	1	4
12	прежде всего в	1	4
13	но и в	4	3
14	во всех своих	1	3
15	как мы уже	8	3
16	на самом деле	5	3
17	в конце концов	3	3
18	как мы видели	4	3
19	тех или иных	2	3
20	не только в	3	3
21	в этом случае	1	3
22	и т.п и	1	3
23	но все же	2	3
24	в той же	5	3
25	мы видели что	1	2
26	само собой разумеется	1	2
27	есть не что	1	2
28	все то что	2	2
29	и тем же	1	2
30	мы видим что	2	2
31	не может быть	2	2
32	по отношению к	2	2
33	о том что	3	2
34	может быть понято	1	2
35	можно сказать что	2	2
36	имели в виду	1	2
37	не так как	1	2
38	быть понято и	1	2
39	связи с этим	1	2
40	не что иное	1	2
41	смысле этого слова	2	2
42	но в то	7	2
43	мы не знаем	1	2
44	и в то	2	2
45	в точном смысле	1	2
46	как мы увидим	1	2
47	в связи с	5	2
48	что иное как	1	2
49	и т.п но	1	2
50	и на его	1	2
51	в этом отношении	4	2
52	в значительной степени	2	2
53	и в области	1	2
54	и т.п это	1	1
55	роль и в	1	1
56	так и от	1	1
57	в том что	2	1
58	в одном из	1	1
59	мы в нем	1	1
60	но быть может	1	1
61	и в романе	2	1
62	о которой мы	1	1
63	это как бы	1	1
64	в конечном счете	1	1
65	дело не с	1	1
66	речи и как	1	1
67	в большинстве случаев	3	1
68	черт знает что	1	1
69	но все эти	1	1
70	и в особенности	1	1
71	наконец и это	1	1
72	придется иметь дело	1	1
73	их как бы	1	1
74	и в отношении	1	1
75	в другом месте	1	1
76	в собственном смысле	1	1
77	до наших дней	5	1
78	хотя бы и	1	1
79	как и в	2	1
80	нам придется иметь	1	1
81	по мере их	1	1
82	и во всех	1	1
83	и не было	2	1
84	на протяжении почти	1	1
85	и здесь остается	1	1
86	то же событие	1	1
87	и наконец с	1	1
88	по ту сторону	1	1
89	более или менее	1	1
90	по сравнению с	2	1
91	таким образом в	1	1
92	но даже и	2	1
93	одного и того	1	1
94	не вошел в	1	1
95	которая могла бы	1	1
96	на площади в	1	1
97	эту тему в	1	1
98	из них в	1	1
99	до сих пор	6	1
100	с помощью которого	1	1
101	одним и тем	1	1
102	так и по	2	1
103	и так называемые	1	1
104	само по себе	1	1
105	как мы видим	2	1
106	между этими двумя	1	1
107	слов и выражений	3	1
108	вполне понятно что	3	1
109	мы имеем в	2	1
110	но в этой	1	1
111	даже и в	2	1
112	же как мы	1	1
113	только на его	1	1
114	нетрудно заметить что	1	1
115	людей но в	1	1
116	были обычны в	1	1
117	и того же	1	1
118	членов общества так	1	1
119	это чрезвычайно важно	1	1
120	в высшей степени	1	1
121	как раз и	1	1
122	тем что он	1	1
123	мы говорили выше	1	1
124	человека все эти	1	1
125	мы увидим дальше	3	1
126	не нуждается в	1	1
127	в нем и	1	1
128	в нашем смысле	1	1
129	с другой стороны	5	1
130	в виду прежде	2	1
131	только тогда когда	1	1
132	это прежде всего	1	1
133	виду прежде всего	2	1
134	нет и не	1	1
135	чрезвычайно важно для	1	1
136	так как в	1	1
137	на эту тему	1	1
138	все что было	1	1
139	т.п то есть	1	1
140	можно было бы	2	1
141	и т.п то	1	1
142	в последнем счете	1	1
143	и не может	1	1
144	и в этом	1	1
145	прежде всего на	1	1
146	могла бы нам	1	1
