N	3gram	Propp_Morf	VelikijI
1	в первый раз	1	3
2	к тому что	4	3
3	и т д	60	2
4	в том что	4	2
5	это еще не	2	2
6	вместо того чтобы	1	2
7	том что он	1	2
8	так как не	1	2
9	в этом нет	1	1
10	во что бы	1	1
11	что бы то	1	1
12	т д и	1	1
13	все это мы	1	1
14	мы видим что	11	1
15	это одна из	1	1
16	как и в	3	1
17	на составные части	2	1
18	не могут быть	4	1
19	иногда может и	1	1
20	как бы в	1	1
21	но все же	4	1
22	с другой стороны	5	1
23	бы то ни	3	1
24	и есть то	1	1
25	после того как	1	1
26	на новый лад	1	1
27	то ни стало	1	1
