N	2gram	Propp_Isto	EvropaiE
1	и в	43	37
2	в пределах	5	25
3	точки зрения	3	23
4	что в	29	21
5	не только	28	18
6	с точки	1	17
7	в то	2	16
8	то же	11	15
9	хотя бы	3	15
10	в качестве	4	14
11	и не	16	14
12	но и	24	14
13	в своем	2	14
14	но в	15	14
15	в этом	25	12
16	в том	13	11
17	в области	1	11
18	так и	6	10
19	в себе	2	9
20	т е	36	9
21	прежде всего	3	9
22	только в	8	9
23	так же	16	9
24	не может	8	9
25	отнюдь не	1	9
26	с одной	2	8
27	в ее	1	8
28	в своей	4	8
29	одной стороны	2	8
30	между тем	2	8
31	было бы	5	8
32	к тому	9	8
33	так как	13	7
34	того что	8	7
35	а также	5	7
36	как и	9	7
37	между прочим	4	7
38	по своему	1	7
39	также и	1	7
40	с другой	10	7
41	нам кажется	1	7
42	с этой	3	6
43	и даже	4	6
44	и на	7	6
45	том что	12	6
46	вовсе не	3	6
47	во всех	1	6
48	может быть	22	6
49	стороны и	3	6
50	то что	20	6
51	как бы	5	6
52	на то	4	6
53	в виде	2	5
54	этой точки	1	5
55	не в	9	5
56	но не	10	5
57	к которым	3	5
58	от этого	1	5
59	со стороны	3	5
60	и потому	2	5
61	в течение	6	5
62	же как	8	5
63	в частности	6	5
64	как мы	11	5
65	одной из	1	5
66	столь же	1	5
67	но если	2	5
68	и по	6	5
69	в самом	1	4
70	мы не	3	4
71	даже в	4	4
72	для нас	6	4
73	не на	2	4
74	чем в	1	4
75	в некотором	3	4
76	именно в	1	4
77	по себе	3	4
78	не имеет	3	4
79	в каком	1	4
80	тем более	1	4
81	вопрос о	4	4
82	как это	5	4
83	несмотря на	1	4
84	к ней	4	4
85	в ней	3	4
86	сказать что	5	4
87	можно сказать	3	4
88	во многих	2	4
89	независимо от	3	4
90	и к	4	3
91	говорит о	1	3
92	но на	1	3
93	северной америке	1	3
94	можно ли	3	3
95	она в	1	3
96	из всех	1	3
97	в определенном	1	3
98	можно считать	1	3
99	ее в	3	3
100	что и	17	3
101	мы можем	10	3
102	можно было	3	3
103	на себя	5	3
104	и некоторые	3	3
105	тем что	8	3
106	данного народа	1	3
107	в таком	1	3
108	вообще не	2	3
109	большинстве случаев	3	3
110	как в	6	3
111	в которых	7	3
112	с другом	2	3
113	на своем	1	3
114	в них	6	3
115	во всяком	2	3
116	во все	4	3
117	в данном	7	3
118	ли это	2	3
119	в свою	5	3
120	не дает	3	3
121	представляет собой	6	3
122	связано с	4	3
123	потому что	8	3
124	и тем	2	3
125	во второй	2	3
126	когда он	2	3
