N	4gram	Tiupa_Narr	Dialekti
1	не что иное как	2	18
2	в то же время	3	14
3	есть не что иное	1	11
4	и в то же	1	6
5	с этой точки зрения	1	4
6	ничем не отличается от	1	4
7	ни на что не	1	4
8	не может быть без	1	3
9	но о том что	1	2
10	поскольку речь идет о	1	2
11	есть так или иначе	1	2
12	в том что именно	1	2
13	дело в том что	1	2
14	не с точки зрения	1	2
15	о том что у	1	2
16	именно в том что	2	1
17	не было и не	1	1
18	в качестве одного из	1	1
19	то или иное состояние	1	1
20	в том что в	1	1
21	бы то ни было	3	1
22	же как и в	1	1
23	не о том что	1	1
24	том или ином отношении	1	1
25	точно так же как	2	1
26	как мы увидим впоследствии	1	1
27	сам по себе а	1	1
28	в том что он	1	1
29	на ту или иную	1	1
30	и с точки зрения	1	1
