N	4gram	Vygotskiy_	DiskursI
1	в то же время	1	8
2	состоит в том что	2	7
3	с одной стороны и	1	5
4	дело в том что	2	5
5	одного и того же	2	4
6	в том что в	2	3
7	одно и то же	3	3
8	мысль о том что	1	2
9	ни о чем не	1	2
10	одной и той же	4	2
11	бы то ни было	1	2
12	одним и тем же	3	2
13	именно в том что	1	1
14	не что иное как	2	1
15	сам по себе не	1	1
16	с одной стороны это	1	1
17	о том что на	1	1
18	и именно в этом	1	1
19	уверенность в том что	1	1
20	сами по себе не	1	1
21	в одной и той	1	1
22	в том что с	1	1
23	когда она еще не	1	1
24	говорить не только о	1	1
25	ни в чем не	1	1
26	в том что всякое	1	1
27	как будто бы противоречит	1	1
28	в том именно и	1	1
29	и в том случае	1	1
30	том что он не	1	1
31	заключается в том что	6	1
32	в том что он	2	1
33	в прямой зависимости от	1	1
34	мы имеем дело с	1	1
35	никак не могут быть	1	1
36	с одной стороны он	2	1
37	состоит именно в том	1	1
38	в этом отношении на	1	1
39	все дело в том	1	1
40	в том что лирика	1	1
41	в том или ином	1	1
