N	2gram	Tiupa_Teor	VelikijI
1	и не	17	20
2	и в	24	16
3	свободы и	1	12
4	так как	1	9
5	то что	6	9
6	в истории	1	8
7	еще не	6	8
8	и потому	3	7
9	что они	2	7
10	а не	14	7
11	на земле	1	7
12	человека и	2	6
13	не есть	1	6
14	о счастье	1	5
15	хотя и	4	5
16	того что	5	5
17	все это	2	5
18	по пути	4	5
19	как бы	8	5
20	на себя	2	5
21	в мире	26	5
22	но и	14	5
23	все что	1	4
24	в котором	1	4
25	в этом	12	4
26	потому что	3	4
27	в его	12	4
28	свою личность	1	4
29	во мне	2	4
30	так и	14	4
31	это еще	1	4
32	говорить о	4	4
33	и есть	1	4
34	смысла жизни	1	4
35	что не	1	4
36	мировой жизни	1	4
37	что все	1	4
38	как и	6	4
39	что он	4	4
40	и я	1	4
41	в нем	7	4
42	во всех	3	3
43	что в	10	3
44	и против	1	3
45	за ним	1	3
46	в конце	2	3
47	должно быть	1	3
48	этого мира	1	3
49	если не	1	3
50	в том	20	3
51	тому что	2	3
52	личности и	4	3
53	не в	9	3
54	и что	4	3
55	что и	2	3
56	ни в	5	3
57	превращается в	2	3
58	в этих	4	3
59	в них	2	3
60	оно не	2	3
61	не было	1	3
62	лишь в	10	3
63	к чему	2	3
64	и будет	1	3
65	в жизни	3	3
66	по этому	1	3
67	их в	3	3
68	в своей	8	3
69	с его	6	3
70	к бытию	1	3
71	от этого	1	3
72	не имеет	1	3
73	восстает против	1	3
74	и для	3	3
75	жизни и	1	3
76	в чем	2	3
77	все эти	3	3
78	тот же	1	3
79	но в	12	3
80	к тому	4	3
81	никогда не	4	3
82	людей в	1	3
83	от него	1	2
84	что от	1	2
85	один из	2	2
86	освобождения от	1	2
87	послужить материалом	1	2
88	не могли	2	2
89	личности а	1	2
90	более чем	1	2
91	когда я	1	2
92	не так	1	2
93	того чтобы	5	2
94	это не	4	2
95	между тем	5	2
96	не только	24	2
97	для него	5	2
98	человека как	1	2
99	ивана карамазова	1	2
100	с ним	1	2
101	является в	1	2
102	не будет	3	2
103	ее в	2	2
104	для нас	1	2
105	и то	3	2
106	не с	3	2
107	прежде всего	3	2
108	можно было	1	2
109	в форме	4	2
110	а между	1	2
111	вслед за	3	2
112	и это	2	2
113	и теперь	1	2
114	только в	9	2
115	а с	3	2
116	личность как	1	2
117	ведет по	2	2
118	а в	15	2
119	в прошлом	1	2
120	и сам	4	2
121	я думаю	1	2
122	но не	13	2
123	тем что	1	2
124	тот кто	2	2
125	по которым	1	2
126	и свободы	1	2
127	духа и	1	2
128	могут быть	5	2
129	значения и	2	2
130	с тем	1	2
131	к нам	2	2
132	одна из	1	2
133	не могут	2	2
134	да и	1	2
135	том что	11	2
136	своей свободы	1	2
137	от свободы	2	2
138	в себя	5	2
139	уже не	6	2
140	мира в	3	2
141	от своей	1	2
142	свобода и	1	1
143	жизни но	2	1
144	и мир	1	1
145	с которыми	1	1
146	в самом	7	1
