N	3gram	Vinokur_Vv	Freidism
1	с точки зрения	4	15
2	не может быть	10	14
3	по отношению к	4	11
4	в самом деле	6	10
5	в том что	15	9
6	как мы видели	3	8
7	во всяком случае	5	8
8	и прежде всего	1	7
9	в то же	6	6
10	то же время	6	6
11	может быть и	2	6
12	с самого начала	1	5
13	можно сказать что	3	5
14	как мы уже	2	5
15	в свою очередь	2	4
16	тем не менее	9	4
17	сам по себе	2	4
18	на самом деле	1	4
19	в зависимости от	3	4
20	в данном случае	4	4
21	в таком случае	1	4
22	не могут быть	2	4
23	в этом отношении	4	4
24	все то что	1	3
25	только то что	1	3
26	мы уже знаем	2	3
27	для того чтобы	22	3
28	о том что	13	3
29	в собственном смысле	3	3
30	до сих пор	7	3
31	что же касается	2	3
32	и той же	2	3
33	бы то ни	1	3
34	на этот вопрос	5	3
35	но в общем	1	3
36	прежде всего к	1	3
37	одной и той	2	3
38	но в то	3	3
39	а потому и	1	3
40	быть и речи	1	3
41	но во всяком	1	3
42	таким образом вся	1	3
43	и тем не	3	2
44	но вместе с	2	2
45	одним из наиболее	1	2
46	в применении к	6	2
47	в этом смысле	10	2
48	заключается в том	3	2
49	в чем же	3	2
50	то или иное	1	2
51	хотя бы и	2	2
52	его отношение к	1	2
53	вовсе не в	2	2
54	в конце концов	2	2
55	но если мы	1	2
56	говорить о том	1	2
57	в таких случаях	1	2
58	по меньшей мере	2	2
59	зависимости от того	1	2
60	в отличие от	4	2
61	жизни и творчества	2	2
62	том что он	1	2
63	то ни было	1	2
64	то обстоятельство что	1	2
65	к тому что	1	2
66	все что может	1	2
67	в другом месте	2	2
68	с одной стороны	4	2
69	к этому времени	2	2
70	заключается в следующем	1	2
71	это прежде всего	1	2
72	а также и	2	2
73	то же самое	3	2
74	со стороны содержания	1	1
75	и т д	39	1
76	на этой почве	2	1
77	в этом случае	6	1
78	объясняется и то	1	1
79	собственном смысле слова	1	1
80	не может служить	2	1
81	свои корни в	1	1
82	на которые она	1	1
83	не менее существует	2	1
84	того или иного	1	1
85	как будто бы	2	1
86	и др в	1	1
87	той или иной	3	1
88	еще не исчерпывается	1	1
89	вообще не существует	1	1
90	ними и в	1	1
91	развития человеческой личности	1	1
92	но не может	2	1
93	ответить на этот	1	1
94	точки зрения представляется	1	1
95	все зависит от	1	1
96	т д таким	1	1
97	но и за	1	1
98	он сам об	1	1
99	но и в	1	1
100	от того что	1	1
101	как мы знаем	1	1
102	по крайней мере	4	1
103	не менее среди	1	1
104	по сравнению с	4	1
105	поставил себе задачей	1	1
106	что таким путем	1	1
107	имеется в виду	1	1
108	если же мы	1	1
109	во всех его	1	1
110	и что поэтому	1	1
111	имеем в виду	1	1
112	не остается ничего	1	1
113	обратим внимание на	2	1
114	и без того	1	1
115	и изучение этих	2	1
116	в гораздо большей	1	1
117	во всех отношениях	1	1
118	всего к тому	1	1
119	в целом ряде	2	1
120	в том же	1	1
121	из этих двух	1	1
122	к выводу что	6	1
123	в свое время	3	1
124	только в этом	1	1
125	на вопрос о	4	1
126	и то же	2	1
127	сам об этом	1	1
128	в следующем в	1	1
129	них не было	1	1
130	у них не	1	1
131	же время служит	1	1
132	науки в настоящее	1	1
133	каждое из этих	1	1
134	находит свое выражение	1	1
135	не было бы	1	1
136	именно в этой	1	1
137	вообще не может	2	1
138	это как будто	1	1
139	а только по	1	1
140	в особенности в	1	1
141	не что иное	5	1
142	а между тем	2	1
143	остается тот же	1	1
144	прежде всего должен	1	1
145	дело в том	3	1
146	а есть только	1	1
147	можно назвать в	1	1
148	и в дальнейшем	1	1
149	ответ на этот	2	1
150	одно и то	2	1
151	в этом пункте	1	1
152	как мы видим	1	1
153	имея в виду	1	1
154	увидим что в	1	1
155	не похожи на	1	1
156	уже и в	1	1
157	так же как	1	1
158	целом ряде других	1	1
159	д таким образом	1	1
160	между ними в	1	1
161	том что с	1	1
162	только потому что	1	1
163	смысле этого слова	2	1
164	в этом опыте	1	1
165	то увидим что	1	1
166	том что в	1	1
167	мы вкладываем в	1	1
168	и никогда не	1	1
169	можно говорить о	3	1
170	совсем не то	1	1
171	один из крупнейших	1	1
172	есть не что	3	1
173	и об отношении	1	1
174	всяком случае не	2	1
175	так как в	1	1
176	и не могут	2	1
177	и со стороны	2	1
178	нужно сказать что	1	1
179	и тогда когда	1	1
180	же как он	1	1
181	того что может	1	1
182	и все прочие	1	1
183	во второй половине	2	1
184	на время в	1	1
185	такой точки зрения	1	1
186	но теперь мы	1	1
187	что иное как	5	1
188	на определенной ступени	1	1
189	он поставил себе	1	1
190	но все же	4	1
191	все это не	1	1
192	в котором они	1	1
193	на этом пути	1	1
194	только с помощью	1	1
195	в виду их	1	1
196	в различных проявлениях	1	1
197	мы имеем в	1	1
198	точки зрения на	1	1
199	из того что	1	1
200	приходит к выводу	1	1
201	как уже сказано	1	1
202	не то что	1	1
203	со стороны формы	1	1
204	представляет собой нечто	1	1
205	собственном смысле этого	1	1
206	можно было бы	4	1
207	имеет своей целью	1	1
208	в настоящее время	1	1
