N	4gram	Vygotskiy_	KFilosof
1	один и тот же	2	3
2	уже не может быть	1	2
3	бы то ни было	1	2
4	в то же время	2	2
5	в том случае когда	1	1
6	то же самое что	2	1
7	какого бы то ни	1	1
8	не само по себе	1	1
9	само по себе а	1	1
10	несмотря на то что	2	1
11	для берегов отчизны дальной	1	1
12	значит ли это что	1	1
13	может быть дано только	2	1
14	дело в том что	1	1
15	только тогда когда оно	1	1
16	во всех остальных областях	1	1
17	и тем не менее	2	1
18	одного и того же	1	1
19	в целом не может	1	1
20	но для того чтобы	1	1
