N	3gram	Savitsky_P	Formalny
1	с точки зрения	3	40
2	не может быть	1	29
3	то же время	7	20
4	в то же	7	20
5	и т д	1	19
6	во всяком случае	1	16
7	в настоящее время	1	13
8	в большинстве случаев	1	9
9	с другой стороны	1	9
10	и не может	1	9
11	для того чтобы	1	8
12	вместе с тем	1	8
13	с одной стороны	3	8
14	в применении к	1	7
15	более или менее	1	7
16	сами по себе	3	7
17	и в этом	1	7
18	в том что	4	6
19	и в то	2	6
20	одной стороны и	2	5
21	в этом смысле	1	5
22	в отличие от	1	5
23	не в том	1	4
24	с тем же	1	4
25	но и в	2	4
26	бы она ни	1	4
27	настоящее время в	1	4
28	в том числе	2	3
29	сменяют друг друга	1	3
30	друг с другом	1	3
31	том числе и	1	3
32	можно говорить о	1	3
33	в ней и	1	3
34	главным образом на	1	3
35	и в частности	1	3
36	но в то	1	3
37	и не менее	1	3
38	в собственном смысле	1	2
39	хотя бы и	1	2
40	именно потому что	1	2
41	в отношении к	5	2
42	и тем самым	1	2
43	в отдельности и	1	2
44	и пр в	1	2
45	но в этом	1	2
46	да и не	1	2
47	в отрыве от	1	2
48	и в какой	1	2
49	не только в	4	2
50	так же как	1	2
51	или хотя бы	1	2
52	тот или иной	1	2
53	как она есть	1	1
54	и пр при	1	1
55	не входят в	1	1
56	сводится к следующему	1	1
57	по сравнению с	1	1
58	и чем глубже	1	1
59	гоголь и достоевский	1	1
60	но для каждого	1	1
61	в частности в	1	1
62	мы знаем что	1	1
63	в других же	1	1
64	прежде всего мы	1	1
65	к следующему в	1	1
66	можно думать что	1	1
67	в россии и	1	1
68	что в этом	1	1
69	до тех пор	1	1
70	г и о	2	1
71	за то что	1	1
72	чуть ли не	1	1
73	в различных формах	1	1
74	только это не	1	1
75	экономического и политического	3	1
76	в гораздо большей	4	1
77	во всей полноте	1	1
78	она может и	1	1
79	гораздо большей степени	4	1
80	этой последней в	1	1
81	в которых совершается	1	1
82	не было бы	1	1
83	заключается в том	2	1
84	как одна из	1	1
85	как бы она	1	1
86	между тем в	1	1
87	же время в	1	1
88	и потому в	2	1
89	та или иная	1	1
90	все это в	1	1
91	бы оно ни	1	1
