N	3gram	Bakhtin_Pr	Narrotol
1	в том что	6	18
2	в данном случае	1	17
3	не только в	1	13
4	в отличие от	1	11
5	по отношению к	5	11
6	к тому же	1	9
7	о том что	3	9
8	не может быть	8	8
9	тем не менее	2	8
10	в соответствии с	2	8
11	той или иной	2	8
12	то же время	8	8
13	в то же	8	8
14	в этом отношении	1	8
15	и тем самым	1	6
16	состоит в том	1	6
17	мы имеем дело	1	6
18	можно сказать что	6	6
19	но при этом	1	5
20	но и в	2	5
21	имеем дело с	1	5
22	к тому что	1	4
23	в равной степени	1	4
24	во всяком случае	1	4
25	и не может	6	3
26	до сих пор	8	3
27	в этом и	1	3
28	в зависимости от	3	3
29	не было и	1	3
30	в связи с	1	3
31	то же самое	1	3
32	а также и	3	3
33	на то что	2	3
34	к себе самому	6	3
35	на себя внимание	2	3
36	с точки зрения	13	3
37	дело в том	3	3
38	и то что	1	3
39	в той или	1	2
40	все то что	2	2
41	и в то	3	2
42	далеко не всегда	1	2
43	более или менее	3	2
44	и то же	1	2
45	в таком случае	1	2
46	сами по себе	1	2
47	в себе самом	2	2
48	а между тем	2	2
49	здесь не в	1	2
50	первого и второго	1	2
51	не могло быть	1	2
52	чем иным как	1	2
53	как если бы	1	2
54	и т.п и	1	2
55	не входит в	1	2
56	как своего рода	2	2
57	хотя и не	3	2
58	не в его	1	2
59	смысле можно сказать	1	2
60	времени и пространства	2	2
61	все же не	1	2
62	одно и то	1	2
63	во втором эпизоде	1	2
64	можно было бы	2	2
65	так же как	1	2
66	отношению к ним	1	2
67	в начале рассказа	1	2
68	тем или иным	1	2
69	по своей природе	3	2
70	что иное как	1	2
71	как бы в	2	2
72	к себе и	1	2
73	не могли бы	1	1
74	потому что я	1	1
75	с другими людьми	1	1
76	в художественной литературе	1	1
77	через смерть в	1	1
78	и тот же	1	1
79	но именно оно	1	1
80	в меньшей степени	1	1
81	в письме к	1	1
82	со всеми своими	1	1
83	и к себе	1	1
84	мы уже знаем	1	1
85	далеко не исчерпывается	1	1
86	в той же	1	1
87	не превращается в	1	1
88	то что он	1	1
89	его развития в	1	1
90	в большинстве случаев	9	1
91	он уже не	1	1
92	даже в самых	1	1
93	в этом смысле	5	1
94	по сравнению с	6	1
95	с большей или	1	1
96	для проникновения в	1	1
97	во всех его	2	1
98	в предыдущей главе	1	1
99	в результате которого	1	1
100	что они не	1	1
101	и это вполне	1	1
102	включают в себя	1	1
103	в том числе	15	1
104	было и не	1	1
105	об этом не	1	1
106	человеческой мысли о	1	1
107	друг от друга	2	1
108	но они не	1	1
109	на пороге его	1	1
110	как бы не	1	1
111	перед нами простой	1	1
112	так или иначе	1	1
113	но именно поэтому	1	1
114	так и в	2	1
115	друг с другом	6	1
116	одна из многочисленных	1	1
117	себе самому и	1	1
118	в обоих случаях	1	1
119	в его жизни	1	1
120	одно без другого	1	1
121	он несет в	1	1
122	в строгом смысле	2	1
123	по мере усиления	1	1
124	прямо или косвенно	1	1
125	большей или меньшей	6	1
126	каждого из этих	1	1
127	можем вернуться к	1	1
128	а во второй	1	1
129	особое место среди	1	1
130	все это типичные	1	1
131	то есть последних	1	1
132	том что на	1	1
133	и в других	1	1
134	не сводятся к	1	1
135	того о чем	1	1
136	так как это	1	1
137	и даже не	1	1
138	в целом и	1	1
139	как раз и	1	1
140	а не в	1	1
141	перед нами два	1	1
142	что с точки	1	1
143	это своего рода	2	1
144	мере того как	1	1
145	до второй половины	1	1
146	том числе и	13	1
147	на иных основаниях	1	1
148	с другой стороны	3	1
149	и совершенно не	1	1
150	то есть от	2	1
151	да и не	1	1
152	хотя оно и	1	1
153	не то что	3	1
154	в чем же	1	1
155	сих пор еще	2	1
156	и т.п то	1	1
157	или хотя бы	1	1
158	одним и тем	1	1
159	может быть только	1	1
160	и т.п это	2	1
161	жизни то есть	1	1
162	он сам себя	1	1
163	то что было	1	1
164	есть не что	1	1
165	в этих случаях	1	1
166	то есть в	5	1
167	как бы из	1	1
168	они могут быть	1	1
169	никогда не бывает	1	1
170	и тем же	1	1
171	рассказа один из	1	1
172	только в двух	1	1
173	мы еще вернемся	4	1
174	по крайней мере	2	1
175	то есть все	1	1
176	в мире а	1	1
177	в мировой литературе	1	1
178	точка зрения как	1	1
179	один и тот	1	1
180	и в самом	1	1
181	могло бы стать	1	1
182	чтение евангелия в	1	1
183	как и в	4	1
184	как один из	1	1
185	в одном высказывании	1	1
186	только в сознании	1	1
187	того и другого	2	1
188	в соответствии со	1	1
189	и тем более	1	1
190	о бессмертии души	1	1
191	границы между ними	1	1
192	одного из этих	1	1
193	то есть с	2	1
194	которое могло бы	1	1
195	на этот вопрос	1	1
196	в большей или	5	1
197	хотя они и	1	1
198	лишь то что	1	1
199	пространство и время	2	1
200	по-своему то есть	1	1
201	вовсе еще не	1	1
202	как и на	1	1
203	я не могу	1	1
204	не что иное	1	1
205	и с точки	1	1
206	как и все	1	1
207	на протяжении всего	1	1
208	себе и к	1	1
209	тем более от	1	1
210	и все его	1	1
211	жизни и смерти	2	1
212	мы не знаем	1	1
213	не подлежит сомнению	1	1
214	жизни как она	1	1
215	с самого начала	4	1
216	в жанровом отношении	4	1
217	у него нет	1	1
218	не может обойтись	1	1
219	речи и мышления	1	1
220	и вся его	1	1
221	к роману и	1	1
222	и не могло	1	1
223	нового времени и	1	1
224	как он сам	1	1
225	не исключает возможности	1	1
226	дистанцию по отношению	1	1
227	то что я	1	1
228	то что мы	1	1
229	в следующей главе	1	1
230	по мере того	1	1
231	нет и не	3	1
232	может быть и	2	1
