N	3gram	Savitsky_E	PoTuStor
1	с точки зрения	16	6
2	не может быть	2	3
3	в большинстве случаев	2	3
4	в этом смысле	3	3
5	по сравнению с	2	3
6	во всяком случае	3	3
7	можно сказать что	3	3
8	мы можем сказать	2	2
9	так же как	5	2
10	не могут быть	1	2
11	в переводе на	1	2
12	и в этом	4	2
13	нам кажется что	2	2
14	так и в	2	1
15	и на своем	2	1
16	в том что	6	1
17	друг с другом	3	1
18	в известных пределах	2	1
19	так и с	1	1
20	уже и теперь	1	1
21	каких бы то	2	1
22	мы не можем	1	1
23	рано или поздно	2	1
24	и та же	1	1
25	дело в том	1	1
26	переводе на язык	1	1
27	той или иной	4	1
28	прежде всего к	2	1
29	в основных чертах	1	1
30	было связано с	1	1
31	можно ли признать	1	1
32	во многих случаях	1	1
33	существует только в	1	1
34	в применении к	3	1
35	в известной степени	3	1
36	можно было бы	3	1
37	можем сказать что	1	1
38	и прежде всего	3	1
39	в данном случае	2	1
40	может быть речи	1	1
41	те же законы	1	1
42	в том смысле	1	1
43	и ту же	1	1
44	он не дает	1	1
45	через некоторое время	1	1
46	же как и	3	1
47	то ни было	4	1
48	и того же	1	1
49	лучшим доказательством правильности	1	1
50	этой точки зрения	5	1
51	мы увидим что	1	1
52	одну и ту	1	1
53	одна и та	1	1
54	с этой точки	5	1
55	для того чтобы	5	1
56	в нем и	1	1
57	с одной стороны	8	1
58	говорить о том	1	1
59	и даже более	1	1
60	в этом отношении	3	1
61	связи с этим	1	1
62	бы то ни	4	1
63	чтобы войти в	1	1
64	вопрос можно ли	1	1
65	одного и того	1	1
66	в связи с	1	1
