N	3gram	Bakhtin_Fr	Mirosoze
1	в том что	4	9
2	но он не	1	9
3	это и есть	1	9
4	и в этой	2	6
5	и в этом	1	6
6	о том что	4	6
7	есть прежде всего	1	6
8	друг к другу	1	6
9	есть не только	1	5
10	до сих пор	3	5
11	что и в	1	5
12	но и в	2	5
13	но в нем	2	5
14	мы увидим что	1	5
15	к человеку и	1	5
16	прежде всего в	4	5
17	после того как	6	5
18	по отношению к	3	4
19	в конце концов	5	4
20	не в силах	1	4
21	никогда не было	1	4
22	и в самом	1	4
23	в то время	1	4
24	не что иное	1	4
25	потому что он	1	4
26	можно было бы	2	4
27	что иное как	1	4
28	один из самых	1	4
29	она никогда не	1	3
30	плоть от плоти	1	3
31	кровь от крови	1	3
32	том что он	1	3
33	это не было	1	3
34	есть не что	1	3
35	и потому не	1	3
36	от плоти и	1	3
37	плоти и кровь	1	3
38	на поверхности земли	1	3
39	и кровь от	1	3
40	как и все	1	3
41	в значительной степени	3	3
42	в нем самом	1	3
43	выходит за пределы	1	3
44	с тем что	1	3
45	во всяком случае	1	3
46	как и в	2	3
47	в самом центре	1	2
48	смысле этого слова	1	2
49	человек не есть	1	2
50	не только в	1	2
51	как и во	1	2
52	все это уже	1	2
53	в его время	1	2
54	именно потому что	1	2
55	было для него	1	2
56	и во всем	1	2
57	том что в	1	2
58	в которых он	1	2
59	в самом себе	1	2
60	и у него	1	2
61	к нему все	1	2
62	в разных местах	1	2
63	от него и	1	2
64	имел в виду	1	2
65	как и всегда	1	2
66	в этих словах	1	2
67	и во всяком	1	2
68	мы еще вернемся	2	2
69	тем что в	1	2
70	в себе и	1	2
71	он был также	1	2
72	никто не может	2	2
73	что в нем	1	2
74	по своей природе	1	2
75	она не имеет	1	2
76	как бы в	1	2
77	в этом отношении	3	2
78	он знает только	1	1
79	ничего не остается	1	1
80	в тот момент	1	1
81	была еще вполне	1	1
82	с ним как	1	1
83	еще нигде не	1	1
84	жизни существует только	1	1
85	новых и новых	1	1
86	было сказано но	1	1
87	человека и человеческого	1	1
88	ее всю но	1	1
89	говорят о том	1	1
90	во всех его	3	1
91	в xix веке	1	1
92	и у других	1	1
93	в глубине его	1	1
94	и по своим	1	1
95	в самом деле	3	1
96	что все это	2	1
97	он говорит что	1	1
98	это не есть	1	1
99	не знает и	1	1
100	у него в	2	1
101	мира в этом	1	1
102	остается до конца	1	1
103	в строгом смысле	1	1
104	но и с	2	1
105	и есть то	2	1
106	к которой он	1	1
107	и в последней	1	1
108	что у него	2	1
109	сам по себе	2	1
110	и связанной с	1	1
111	дано в этой	1	1
112	не потому что	1	1
113	в себе самом	1	1
114	а также в	1	1
115	не может знать	1	1
116	и должна быть	1	1
117	и все основные	1	1
118	то же что	1	1
119	речь идет о	1	1
120	и в словах	1	1
121	вместо того чтобы	2	1
122	спуска в преисподнюю	1	1
123	также о том	1	1
124	в землю и	1	1
125	в этом мире	1	1
126	и тем самым	1	1
127	они как и	1	1
128	по ту сторону	1	1
129	центральное место в	1	1
130	и по отношению	2	1
131	роль в истории	1	1
132	в себе в	1	1
133	от бога в	1	1
134	во время самого	1	1
135	по прямой линии	1	1
136	что в сложном	1	1
137	жизни а для	1	1
138	с другой стороны	2	1
139	то он должен	1	1
140	в самом человеке	2	1
141	и потому они	1	1
142	в чистилище и	1	1
143	и в том	1	1
144	в той же	5	1
145	жизнь и судьба	2	1
146	и не быть	1	1
147	к нему и	1	1
148	человеческая природа в	1	1
149	за то что	4	1
150	но он был	1	1
151	а в конце	1	1
152	той или иной	1	1
153	не только для	1	1
154	те которые были	1	1
155	что в конце	1	1
156	но если он	1	1
157	он должен быть	1	1
158	одним из самых	2	1
159	с точки зрения	4	1
160	один из источников	1	1
161	в чем же	2	1
162	и землю и	1	1
163	со всеми его	3	1
164	и огромное большинство	1	1
165	имеем в виду	2	1
166	еще вернемся в	1	1
167	в ту же	1	1
168	в ад в	1	1
169	и не в	1	1
170	а следовательно и	2	1
171	еще не было	1	1
172	хотя и в	2	1
173	нужно сказать что	3	1
174	во всем и	1	1
175	самом себе в	1	1
176	в то же	12	1
177	всего того что	1	1
178	не в этом	1	1
179	отношения к самому	1	1
180	мир к человеку	1	1
181	что и у	2	1
182	то же время	12	1
183	человека человек не	1	1
184	на самом деле	1	1
185	и непонятный для	1	1
186	того как он	2	1
187	одного из самых	1	1
188	в самом первоначальном	1	1
189	жизни и смерти	3	1
190	человека и в	1	1
191	свое завершение в	1	1
192	в мировой литературе	1	1
193	то есть во	1	1
194	мы имеем в	2	1
195	во всех этих	1	1
196	это прежде всего	3	1
197	с самим собой	1	1
198	не без основания	1	1
199	в нем все	1	1
200	того же самого	1	1
201	та или иная	1	1
202	в нем и	1	1
203	с одной стороны	3	1
204	в узком и	1	1
205	всякую вещь и	1	1
206	жизни и от	1	1
207	себе в своем	1	1
