N	2gram	Losev_Dial	Marksizm
1	точки зрения	25	69
2	может быть	30	64
3	и в	35	63
4	и не	51	55
5	как бы	19	53
6	не может	16	47
7	с точки	18	46
8	и пр	7	42
9	и его	6	41
10	в этом	18	39
11	таким образом	5	38
12	как мы	5	32
13	не только	26	29
14	то же	21	28
15	в нем	25	28
16	но и	17	27
17	связи с	3	25
18	самом деле	6	25
19	в самом	6	24
20	как и	10	24
21	прежде всего	14	24
22	только в	7	23
23	так и	18	23
24	в том	20	22
25	то что	25	22
26	а не	24	22
27	– в	11	21
28	при этом	2	20
29	так сказать	1	20
30	для него	2	20
31	если мы	3	20
32	на почве	2	19
33	не в	12	19
34	если бы	12	19
35	том что	18	19
36	в его	4	19
37	в ее	3	18
38	и для	2	18
39	но в	8	18
40	вовсе не	19	18
41	все же	9	17
42	это –	38	17
43	в сущности	2	17
44	ни было	2	16
45	слова и	1	16
46	и как	14	16
47	в то	10	16
48	во всех	3	15
49	в связи	3	15
50	отнюдь не	13	15
51	что он	16	15
52	же время	9	15
53	– не	17	15
54	в данном	5	14
55	хотя бы	6	14
56	в смысле	5	14
57	– это	14	14
58	в своей	9	13
59	– и	5	13
60	так же	6	13
61	что в	19	13
62	и здесь	1	13
63	не является	3	13
64	того чтобы	1	13
65	было бы	14	13
66	ничего не	19	13
67	мы не	1	13
68	для того	2	12
69	того же	1	12
70	в результате	2	12
71	выражение в	1	12
72	между тем	3	12
73	он не	5	12
74	в основе	4	12
75	является не	3	12
76	а в	8	12
77	к нему	12	11
78	мы уже	8	11
79	и что	17	11
80	и от	5	11
81	как система	1	11
82	до сих	4	11
83	и все	11	11
84	как в	3	11
85	еще не	4	11
86	друг друга	1	11
87	так как	24	11
88	на самом	5	11
89	все эти	4	11
90	в ней	4	11
91	сих пор	4	11
92	именно в	4	10
93	во всяком	5	10
94	самого начала	2	10
95	с другой	10	10
96	сказать что	19	10
97	к этому	2	10
98	никогда не	18	10
99	в своем	7	10
100	его в	3	10
101	в таком	4	10
102	одна из	1	10
103	– как	6	10
104	в каждом	4	10
105	здесь мы	1	10
106	совершенно не	13	10
107	конечно не	9	10
108	здесь в	3	10
109	и потому	6	10
110	с самого	2	10
111	отличие от	1	10
112	быть и	7	9
113	к тому	6	9
114	одного и	1	9
115	только на	3	9
116	точка зрения	3	9
117	в себе	23	9
118	и следовательно	7	9
119	и это	6	9
120	а как	1	9
121	что это	21	9
122	ни в	20	9
123	слово –	1	9
124	не имеет	15	9
125	и более	7	9
126	отношении к	3	9
127	это не	18	9
128	в истории	1	9
129	и эта	3	9
130	же самое	3	9
131	кроме того	2	8
132	мысли и	3	8
133	не как	4	8
134	другой стороны	7	8
135	но что	10	8
136	и даже	23	8
137	и с	10	8
138	психики и	1	8
139	мы знаем	1	8
140	что и	7	8
141	у него	2	8
142	не было	7	8
143	что не	13	8
144	тому что	4	8
145	ясно что	11	8
146	мы можем	5	8
147	или же	1	8
148	не будет	2	8
149	за пределы	4	8
150	столь же	1	8
151	в отношении	5	8
152	в каком	10	8
153	к другому	1	8
154	перед нами	3	8
155	чем же	1	8
156	с этим	5	8
157	в их	5	8
158	и их	5	8
159	в науке	3	8
160	и ее	1	8
161	или иной	4	8
162	на то	5	8
163	от него	4	7
164	следует что	2	7
165	в этих	6	7
166	не существует	8	7
167	в котором	5	7
168	и значение	1	7
169	он сам	6	7
170	как раз	7	7
171	в качестве	2	7
172	бы в	3	7
173	в этой	3	7
174	могут быть	6	7
175	оно может	1	7
176	там где	1	7
177	с ними	4	7
178	может стать	1	7
179	его –	1	7
180	вполне понятно	1	7
181	по себе	39	7
182	восприятия чужой	1	7
183	той же	1	7
184	о том	8	7
185	того что	6	7
186	далеко не	2	7
187	место в	1	7
188	в той	4	6
189	по мере	3	6
190	от одного	1	6
191	теперь мы	1	6
192	в корне	2	6
193	уже не	3	6
194	одной стороны	3	6
195	в другом	6	6
196	в различных	2	6
197	как оно	1	6
198	для понимания	1	6
199	она может	1	6
200	как такое	1	6
201	с одной	4	6
202	с другими	2	6
203	здесь же	1	6
204	между ними	1	6
205	не есть	67	6
206	– с	1	6
207	из одного	1	6
208	всяком случае	3	6
209	должны быть	2	6
210	то есть	1	6
211	должна быть	5	6
212	смысле слова	1	6
213	от своего	1	6
214	зависимости от	2	6
215	ничего общего	4	6
216	в организме	1	6
217	и между	1	6
218	что же	5	6
219	тем же	3	6
220	слово и	1	6
221	тот же	1	6
222	он и	2	6
223	все это	14	6
224	сознания и	8	6
225	в какой	3	6
226	лишь с	1	6
227	вопрос о	3	6
228	мы должны	6	6
229	из этих	2	6
230	лишь как	3	6
231	же в	2	6
232	не к	2	6
233	еще более	3	5
234	формы в	1	5
235	о чем	4	5
236	самом же	2	5
237	в одном	4	5
238	в виду	9	5
239	не менее	5	5
240	связано с	2	5
241	понятно что	2	5
242	был бы	1	5
243	на границе	1	5
244	как на	1	5
245	от того	2	5
246	себя в	2	5
247	и выражения	1	5
248	по преимуществу	1	5
249	на язык	1	5
250	должно быть	7	5
251	необходимо чтобы	2	5
252	что такое	13	5
253	– вот	3	5
254	как же	8	5
255	все время	4	5
256	от этого	5	5
257	жизни в	1	5
258	и у	2	5
259	той или	11	5
260	но как	7	5
261	и тем	2	5
262	и является	2	5
263	же он	2	5
264	в конце	5	5
265	следовательно не	2	5
266	то в	8	5
267	и внешнего	8	5
268	оно ни	1	5
269	вместе с	3	5
270	да и	11	5
271	слова о	1	5
272	и вот	10	5
273	ее в	2	5
274	связана с	1	5
275	хотя и	4	5
276	из него	1	5
277	точку зрения	3	5
278	в душе	8	5
279	форм и	2	5
280	значение в	1	5
281	этом отношении	2	5
282	отсюда следует	1	5
283	– его	1	5
284	то мы	2	5
285	таком случае	2	5
286	или в	2	5
287	но не	9	5
288	менее всего	1	5
289	– то	4	5
290	по смыслу	2	5
291	тем более	2	5
292	к одному	1	5
293	же деле	2	5
294	она не	10	5
295	ведь если	1	5
296	конечно совершенно	1	5
297	в особенности	6	5
298	и к	8	4
299	же и	11	4
300	только что	5	4
301	в них	4	4
302	но все	5	4
303	тем что	2	4
304	из всего	2	4
305	он является	1	4
306	нем нет	3	4
307	к другой	1	4
308	он был	1	4
309	говорит что	3	4
310	следующим образом	1	4
311	в зависимости	2	4
312	во всей	1	4
313	к ее	1	4
314	из них	5	4
315	что они	8	4
316	него как	1	4
317	и он	6	4
318	она и	2	4
319	несмотря на	12	4
320	что все	2	4
321	не знает	2	4
322	в которой	3	4
323	что она	18	4
324	но для	2	4
325	но ведь	2	4
326	формы а	1	4
327	при чтении	1	4
328	сознания как	1	4
329	его значение	1	4
330	в других	1	4
331	но к	2	4
332	стремится к	2	4
333	не дает	1	4
334	но при	1	4
335	между двумя	1	4
336	так что	21	4
337	если же	2	4
338	все те	1	4
339	в тех	2	4
340	он –	22	4
341	из этого	2	4
342	его к	1	4
343	независимо от	2	4
344	от нее	1	4
345	внутреннего и	11	4
346	уже знаем	4	4
347	мы замечаем	2	4
348	не могут	4	4
349	со всеми	2	4
350	между внутренним	1	4
351	допустим что	1	4
352	и действительно	1	4
353	значения и	1	4
354	к его	2	4
355	эта последняя	1	4
356	нет ничего	1	4
357	бы и	4	4
358	в становлении	2	4
359	перейдем к	1	4
360	именно на	1	4
361	и до	2	4
362	что здесь	4	4
363	нет и	2	4
364	мог бы	3	4
365	но именно	1	4
366	в чужую	1	4
367	и то	15	4
368	только с	3	4
369	формы как	1	4
370	нас не	2	4
371	уже в	5	4
372	не будем	1	4
373	это и	6	4
374	в определенном	2	4
375	можно сказать	10	4
376	как она	7	4
377	или даже	1	4
378	к своему	1	4
379	в одной	4	4
380	выражение и	1	4
381	и внешним	1	4
382	другими словами	2	4
383	как он	5	4
384	относится к	2	4
385	стороны и	4	4
386	в каких	2	4
387	одного из	1	4
388	и самого	1	4
389	лежащая в	3	4
390	выражения в	2	4
391	в узком	2	4
392	жизни и	9	4
393	в области	2	4
394	нуждается в	6	4
395	эти два	4	4
396	– лишь	1	4
397	мы сказали	1	4
398	они являются	1	3
399	физиологических процессов	1	3
400	дана как	2	3
401	даже в	6	3
402	оно уже	1	3
403	в своих	1	3
404	оно –	4	3
405	форму и	2	3
406	с тем	2	3
407	мы только	1	3
408	так в	1	3
409	ними как	1	3
410	на первый	2	3
411	отражается в	1	3
412	в дальнейшем	6	3
413	и история	1	3
414	или вернее	1	3
415	– а	1	3
416	мы увидим	2	3
417	даже и	3	3
418	в руках	1	3
419	одной и	1	3
420	но они	2	3
421	говорить о	9	3
422	является как	2	3
423	всегда и	4	3
424	не становится	1	3
425	места для	1	3
426	увидим в	1	3
427	момент в	2	3
428	науке о	1	3
429	с ним	9	3
430	друг с	2	3
431	в системе	2	3
432	конкретной исторической	1	3
433	мы видим	6	3
434	все его	3	3
435	от его	1	3
436	здесь нет	1	3
437	– к	2	3
438	тем не	3	3
439	не о	5	3
440	или хотя	2	3
441	дано в	1	3
442	в живом	1	3
443	действительности и	4	3
444	чтобы понять	3	3
445	это вполне	1	3
446	данный момент	1	3
447	ли это	4	3
448	все остальные	1	3
449	более или	5	3
450	как это	8	3
451	что эта	5	3
452	одно и	8	3
453	не приходится	1	3
454	и та	8	3
455	по своей	5	3
456	не касается	1	3
457	могла бы	2	3
458	общего с	6	3
459	в систему	1	3
460	и др	2	3
461	и есть	20	3
462	и пытается	1	3
463	в данный	1	3
464	в какой-то	1	3
465	нее не	1	3
466	были бы	3	3
467	не так	1	3
468	вступить в	1	3
469	и этот	1	3
470	в последнем	1	3
471	они и	1	3
472	если он	1	3
473	почти не	3	3
474	же –	4	3
475	тогда когда	6	3
476	не идет	2	3
477	и при	3	3
478	учение о	11	3
479	и философии	2	3
480	они –	1	3
481	из которых	1	3
482	имеет место	1	3
483	не на	1	3
484	можно было	5	3
485	от их	2	3
486	поэтому и	3	3
487	все то	1	3
488	имеет значение	1	3
489	– все	8	3
490	еще в	2	3
491	но вот	5	3
492	и они	3	3
493	в которых	2	3
494	приводит к	1	3
495	со стороны	2	3
496	– мы	6	3
497	слова для	1	3
498	еще и	4	3
499	ни к	2	3
500	его и	1	3
501	то он	2	3
502	физиологический процесс	1	3
503	потому что	23	3
504	нет никакой	2	3
505	более и	2	3
506	и той	1	3
507	он может	3	3
508	здесь не	1	3
509	но если	6	3
510	главным образом	2	3
511	у них	3	3
512	но это	12	3
513	подойти к	1	3
514	своей душе	1	3
515	находятся в	1	3
516	что оно	9	3
517	они не	3	3
518	явлений –	1	3
519	того как	3	3
520	и сама	1	3
521	из основных	1	3
522	зрения самого	2	3
523	бы на	1	3
524	она будет	1	3
525	для данной	1	3
526	– что	2	3
527	с их	2	3
528	однако не	1	3
529	ведь это	3	3
530	и непосредственно	1	3
531	или иначе	3	3
532	на нее	2	3
533	в ту	1	3
534	на науку	1	3
535	говорить об	1	3
536	резко и	1	3
537	есть только	9	3
538	на все	2	3
539	один и	1	3
540	только и	5	3
541	по самой	1	3
542	с другом	2	3
543	в виде	2	3
544	должен быть	2	3
545	или менее	5	3
