N	2gram	Medvedev_S	EvropaiC
1	таким образом	2	34
2	в том	5	31
3	и в	3	24
4	том что	2	20
5	все эти	1	19
6	то что	2	18
7	не может	1	18
8	может быть	2	17
9	все же	1	15
10	в этом	5	13
11	все это	7	13
12	между тем	1	12
13	по отношению	2	11
14	но и	2	11
15	отношению к	2	11
16	не только	3	10
17	так и	1	10
18	как и	1	10
19	из себя	1	10
20	как бы	2	10
21	что в	2	9
22	в результате	2	9
23	не в	3	9
24	и не	1	9
25	и что	2	9
26	а между	1	8
27	что он	1	7
28	о том	1	7
29	в этой	1	7
30	в силу	1	7
31	по существу	2	7
32	для этого	1	7
33	с ним	1	6
34	только в	2	6
35	от друга	1	6
36	в мире	1	6
37	друг от	1	6
38	еще не	2	6
39	должна быть	2	6
40	с другой	1	6
41	в то	1	6
42	между собою	1	5
43	тех кто	1	5
44	в его	3	5
45	что это	1	5
46	у него	1	5
47	его в	1	5
48	именно в	1	5
49	на все	1	5
50	далеко не	2	5
51	что все	1	5
52	столь же	1	5
53	как будто	2	5
54	в целом	1	5
55	иначе говоря	1	4
56	этой области	1	4
57	в виде	1	4
58	связи с	1	4
59	будет тем	1	4
60	в конце	2	4
61	между собой	1	4
62	а с	1	4
63	хотя бы	1	4
64	мы должны	1	4
65	в области	1	4
66	конце концов	2	4
67	то же	2	4
68	никогда не	1	4
69	и по	1	3
70	с одной	1	3
71	даже в	1	3
72	для нас	3	3
73	прежде всего	1	3
74	же не	1	3
75	в этих	1	3
76	очевидно что	2	3
77	в связи	1	3
78	настоящее время	1	3
79	что таким	1	3
80	может не	1	3
81	тем более	2	3
82	и потому	1	3
83	всему этому	1	3
84	в данном	1	3
85	развиваться в	1	3
86	может служить	1	3
87	это не	1	3
88	конечно не	1	3
89	а в	1	3
90	было бы	2	3
91	образом в	1	3
92	но не	1	3
93	бы в	1	3
94	в настоящее	1	3
95	и наконец	1	3
96	представить себе	1	2
97	что эти	1	2
98	не без	1	2
99	те же	1	2
100	но как	1	2
101	не от	1	2
102	исторического развития	2	2
103	том и	1	2
104	не было	1	2
105	все то	1	2
106	вовсе не	1	2
107	и будет	1	2
108	в процессе	1	2
109	тому что	1	2
110	между ними	1	2
111	они не	1	2
112	в них	1	2
113	во всяком	1	2
114	и более	1	2
115	в котором	1	2
116	и только	3	2
117	всяком случае	1	2
118	одной стороны	1	2
119	только тогда	1	2
120	только то	1	2
121	же время	1	2
122	со своими	1	2
123	на первый	1	2
124	что она	1	2
125	в частности	2	2
126	в сущности	1	2
127	и его	1	2
128	отнюдь не	1	2
129	тем же	1	2
130	пришлось бы	1	2
131	что на	1	2
132	науки о	1	1
133	один из	1	1
134	и должны	1	1
135	на тех	1	1
136	зависит от	1	1
137	нет а	1	1
138	мы не	1	1
139	время в	1	1
140	тогда и	1	1
141	в своей	1	1
142	поставить и	1	1
143	эти вопросы	1	1
144	или нет	1	1
145	никак не	1	1
146	данный субъект	1	1
147	в область	1	1
148	своих мыслей	1	1
149	как же	3	1
150	том именно	1	1
151	только когда	1	1
152	этом не	1	1
153	так наз	1	1
154	тем что	1	1
155	я и	1	1
156	и как	1	1
157	данный человек	1	1
158	только для	1	1
159	благодаря тому	1	1
160	же теперь	1	1
161	по крайней	1	1
162	перед нами	1	1
163	разрешить все	1	1
164	остается в	1	1
165	в каждом	1	1
166	это и	2	1
167	еще и	1	1
168	ни на	1	1
169	и история	1	1
170	и понимает	1	1
171	жизни он	1	1
172	она должна	1	1
173	ним все	1	1
174	в лучшем	1	1
175	психологии и	1	1
176	и заключается	2	1
177	или не	1	1
178	это по	1	1
179	развития и	1	1
180	вступает в	1	1
181	связь между	1	1
182	на основании	1	1
183	говорит за	1	1
184	и затем	1	1
185	точке зрения	1	1
186	же самое	1	1
187	быть не	1	1
188	никаких положительных	1	1
189	главным образом	2	1
190	конечно только	1	1
191	и благодаря	1	1
192	бы он	1	1
193	благодаря этому	1	1
194	но именно	1	1
195	к которому	2	1
196	для методологии	1	1
197	что без	1	1
198	их на	1	1
199	лучшем случае	1	1
200	крайней мере	1	1
201	ничего не	1	1
