N	3gram	Tiupa_Disk	Dialekti
1	с точки зрения	3	46
2	по крайней мере	3	26
3	в том что	18	25
4	не может быть	5	18
5	тем не менее	1	16
6	сам по себе	1	16
7	то же время	9	15
8	в то же	7	14
9	в таком случае	1	14
10	и то же	2	12
11	с другой стороны	4	12
12	о том что	8	12
13	одно и то	2	12
14	на то что	1	11
15	в самом деле	1	10
16	по себе не	2	9
17	содержит в себе	3	9
18	и не только	2	9
19	подобно тому как	4	9
20	это и есть	1	9
21	только то что	2	8
22	или по крайней	1	8
23	та или иная	1	8
24	в этом смысле	1	8
25	можно сказать что	3	7
26	говоря уже о	2	7
27	не в том	3	7
28	сами по себе	2	7
29	в связи с	1	7
30	той или иной	6	7
31	не говоря уже	2	7
32	только потому что	1	6
33	более или менее	2	6
34	и прежде всего	2	6
35	и в то	2	6
36	что не есть	1	6
37	как и все	1	6
38	во всяком случае	2	6
39	с одной стороны	12	6
40	тем более не	1	5
41	на самом деле	1	5
42	и даже не	1	5
43	в нем нет	1	5
44	до сих пор	1	5
45	одной стороны и	3	4
46	ни в чем	1	4
47	в данном случае	6	4
48	к тому же	4	4
49	не только о	1	4
50	как раз и	1	4
51	то же самое	2	4
52	из того что	1	4
53	а не только	2	4
54	может и не	1	4
55	равно как и	1	4
56	и может быть	3	4
57	может быть в	1	4
58	того и другого	1	4
59	и тем более	1	4
60	с той или	2	4
61	не могут быть	1	4
62	в этом отношении	4	4
63	в той или	1	3
64	тех или иных	1	3
65	и как бы	5	3
66	как будто бы	2	3
67	из двух или	1	3
68	он не может	1	3
69	не может существовать	1	3
70	одно из двух	1	3
71	но все же	1	3
72	и не может	3	3
73	того или иного	2	3
74	ту или иную	1	3
75	как и в	3	3
76	о том как	1	3
77	не только в	2	3
78	речь идет о	2	3
79	с самого начала	2	3
80	что он не	1	2
81	но все эти	1	2
82	как и вообще	1	2
83	том что в	3	2
84	в силу своей	2	2
85	времени и пространства	2	2
86	хотя бы и	1	2
87	дело не в	1	2
88	не только его	1	2
89	далеко не всегда	1	2
90	друг от друга	1	2
91	в качестве примера	2	2
92	в обоих случаях	1	2
93	ни о чем	2	2
94	легко заметить что	1	2
95	но для этого	1	2
96	в чем не	1	2
97	но также и	1	2
98	не было и	1	2
99	можно говорить о	1	2
100	прежде всего это	1	2
101	отношения к этому	1	2
102	перед нами не	1	2
103	в чистом виде	1	2
104	о мире как	1	2
105	она еще не	1	2
106	и не быть	1	2
107	не могу не	1	2
108	в свою очередь	3	2
109	к чему не	1	2
110	еще не есть	1	2
111	и в особенности	2	2
112	в это время	1	2
113	не в состоянии	1	2
114	в тех или	1	2
115	тот или иной	2	2
116	другой стороны в	1	2
117	же время и	2	2
118	дело в том	3	2
119	не должно быть	1	2
120	это понятие как	1	2
121	в себе не	2	2
122	и то что	2	2
123	и в том	1	2
124	на первый взгляд	1	2
125	ни к чему	1	2
126	мы имеем дело	3	2
127	она отличается от	1	1
128	никак не могут	1	1
129	чего не было	1	1
130	по своей собственной	1	1
131	говорит не о	1	1
132	точка зрения на	1	1
133	он как бы	1	1
134	еще не знает	1	1
135	такой же мере	1	1
136	до известной степени	2	1
137	которое несмотря на	1	1
138	в пределах одной	1	1
139	во главе с	1	1
140	но они же	1	1
141	к одному и	1	1
142	что в одном	1	1
143	и в другом	1	1
144	так и от	1	1
145	должны быть еще	1	1
146	может и быть	1	1
147	было и не	1	1
148	между мифом и	2	1
149	нет различия между	2	1
150	сказать и о	2	1
151	потому что в	2	1
152	не стремится к	1	1
153	по природе своей	6	1
154	что не только	1	1
155	друг на друга	1	1
156	если бы я	1	1
157	во втором случае	1	1
158	на этом основании	1	1
159	говорить не только	1	1
160	но при этом	3	1
161	в том случае	1	1
162	из них в	1	1
163	ее может быть	1	1
164	к своему собственному	1	1
165	в такой же	1	1
166	в этом пункте	1	1
167	и есть само	1	1
168	исходя из того	1	1
169	в этом мире	2	1
170	что в них	2	1
171	в отличие от	12	1
172	а в том	2	1
173	может быть названа	1	1
174	далеко еще не	3	1
175	должны быть отнесены	1	1
176	а со стороны	1	1
177	возможна только в	2	1
178	и все прочие	1	1
179	перед нами два	1	1
180	в конечном счете	2	1
181	а с другой	4	1
182	несмотря на все	1	1
183	но и к	1	1
184	и не дает	1	1
185	между внутренним и	1	1
186	имея в виду	1	1
187	не могли быть	1	1
188	и не стоит	1	1
189	это ведет к	1	1
190	в своем значении	1	1
191	внимание на то	1	1
192	как таковой в	1	1
193	в том и	1	1
194	необходимость не только	1	1
195	одной из сторон	1	1
196	но прежде всего	1	1
197	вместе с тем	1	1
198	не может избежать	1	1
199	вместе с нами	1	1
200	а не в	2	1
201	том и в	1	1
202	потому что каждый	1	1
203	большей или меньшей	2	1
204	при более глубоком	1	1
205	при всей своей	2	1
206	требует для себя	1	1
207	в том чтобы	2	1
208	как учение о	1	1
209	может быть ни	1	1
210	заключается в том	1	1
211	и тому же	1	1
212	а не как	2	1
213	не заметить что	1	1
214	а иногда и	1	1
215	и именно в	1	1
216	как точка зрения	1	1
217	в разные эпохи	1	1
218	по большей части	1	1
219	каждый из них	2	1
220	не есть она	1	1
221	внутренним и внешним	1	1
222	и видно что	1	1
223	том или ином	1	1
224	в свое время	3	1
225	не претендует на	2	1
226	что же касается	4	1
227	которых не может	1	1
228	всем потому что	1	1
229	что с ними	1	1
230	что ни один	1	1
231	и что это	1	1
232	в полной мере	1	1
233	только в том	2	1
234	как в мифе	1	1
235	может и должен	1	1
236	мифа так и	1	1
237	в себя и	1	1
238	имеем дело не	2	1
239	а потом и	2	1
240	ставит себя в	1	1
241	хотя бы на	1	1
242	добра и зла	1	1
243	включает в себя	1	1
244	именно в этом	1	1
245	это еще не	2	1
246	то все же	1	1
247	события а не	1	1
248	такова же и	1	1
249	он сам в	1	1
250	в этом заключается	1	1
251	но и о	1	1
252	в одно и	2	1
253	не только потому	1	1
254	так и его	1	1
255	во всех этих	1	1
256	которое может быть	2	1
257	одному и тому	1	1
258	в этом случае	3	1
259	что каждый из	1	1
260	именно в том	1	1
261	с самых ранних	1	1
262	с ней и	1	1
263	том что он	1	1
264	есть она сама	1	1
265	в первую очередь	3	1
266	то чего не	1	1
267	в нем только	1	1
268	в новое время	1	1
269	том случае если	1	1
270	легко может быть	1	1
271	обратим внимание на	1	1
272	как того требует	1	1
273	сюда же относятся	1	1
274	может и даже	1	1
275	у пушкина и	1	1
276	то что они	1	1
277	прежде всего в	2	1
278	в другом случае	1	1
279	в основе своей	4	1
280	а не от	1	1
