N	3gram	Savitsky_P	KFilosof
1	не может быть	1	11
2	с точки зрения	3	10
3	в этом смысле	1	3
4	не было бы	1	3
5	и в этом	1	3
6	в том что	4	2
7	в то же	7	2
8	ни к чему	1	2
9	то же время	7	2
10	в своем бытии	1	2
11	вместе с тем	1	1
12	во всяком случае	1	1
13	с разных точек	1	1
14	в большинстве случаев	1	1
15	и именно в	1	1
16	же время есть	1	1
17	во всей полноте	1	1
18	хотя бы и	1	1
19	для того чтобы	1	1
20	сводится к следующему	1	1
21	знать что и	1	1
22	не в том	1	1
23	в настоящее время	1	1
24	нет сомнения что	1	1
25	весь мир в	1	1
26	всей полноте и	1	1
27	но в то	1	1
28	само по себе	1	1
29	в этом мире	1	1
30	и тем самым	1	1
31	и в то	2	1
32	и то что	1	1
33	но в этом	1	1
34	нужно помнить что	2	1
35	значило бы что	1	1
36	в нем в	1	1
37	в известном смысле	1	1
38	все это в	1	1
39	бы оно ни	1	1
