N	2gram	Tiupa_Disk	SlovoVZh
1	не может	17	16
2	может быть	29	14
3	точки зрения	6	14
4	как бы	9	13
5	и его	4	13
6	таким образом	4	12
7	и в	27	12
8	отношению к	13	11
9	по отношению	13	11
10	в нашем	2	11
11	и не	25	10
12	если бы	1	9
13	прежде всего	17	8
14	сказать что	4	7
15	художественного произведения	1	7
16	в ней	2	6
17	слова и	2	6
18	с помощью	1	6
19	в том	29	6
20	в процессе	6	6
21	только в	9	6
22	в нем	16	6
23	при этом	22	6
24	к содержанию	3	6
25	и др	3	5
26	можно сказать	7	5
27	героя и	2	5
28	хотя бы	3	5
29	должна быть	2	5
30	то же	12	5
31	к предмету	1	5
32	а не	35	5
33	в виду	2	5
34	то что	10	5
35	в жизни	2	5
36	как и	27	5
37	как в	16	5
38	отнюдь не	11	5
39	том что	27	5
40	и следовательно	1	5
41	но в	15	5
42	никогда не	3	5
43	в самом	4	4
44	и к	4	4
45	высказывания как	1	4
46	в литературе	2	4
47	и на	8	4
48	не только	36	4
49	и является	1	4
50	на самом	1	4
51	за пределы	2	4
52	от того	1	4
53	его в	1	4
54	мы все	2	4
55	с другой	14	4
56	не в	8	4
57	дело в	3	4
58	отношение к	6	4
59	что не	4	4
60	так и	14	4
61	уже не	7	4
62	жизни и	2	4
63	в этом	29	4
64	все же	8	4
65	к нему	1	4
66	как к	2	3
67	и с	2	3
68	до сих	1	3
69	это как	1	3
70	и более	1	3
71	в котором	7	3
72	и по	2	3
73	мы не	2	3
74	или не	2	3
75	между тем	5	3
76	для него	9	3
77	отношении к	1	3
78	не должна	1	3
79	того что	4	3
80	быть и	2	3
81	когда он	3	3
82	тем не	1	3
83	в некоторых	1	3
84	все это	2	3
85	он должен	1	3
86	ни в	7	3
87	в пределах	4	3
88	по себе	3	3
89	в них	6	3
90	в каком	1	3
91	социального взаимодействия	2	3
92	в творчестве	4	3
93	самом деле	2	3
94	только на	2	3
95	но для	2	3
96	в себе	22	3
97	слово в	1	3
98	все эти	2	3
99	о том	12	3
100	в своей	10	3
101	и герой	3	3
102	здесь не	1	3
103	не менее	6	3
104	из этого	1	3
105	художественного творчества	1	3
106	в такой	1	3
107	да и	2	3
108	но и	22	3
109	бы мы	1	3
110	точек зрения	1	3
111	точка зрения	3	3
112	на границе	1	3
113	и ее	5	3
114	и наконец	2	3
115	сих пор	1	3
116	и вообще	2	3
117	формы и	1	3
118	не к	3	3
119	внутренней речи	5	3
120	еще не	20	3
121	в особенности	5	2
122	что в	8	2
123	этих двух	1	2
124	истории литературы	1	2
125	но это	3	2
126	и потому	3	2
127	действия и	1	2
128	вместе со	1	2
129	и другие	1	2
130	продукт социального	1	2
131	и то	4	2
132	опираясь на	1	2
133	мы можем	1	2
134	героя или	1	2
135	в данном	9	2
136	в то	8	2
137	по природе	6	2
138	и поэтическое	1	2
139	с жизненным	1	2
140	разрыв между	1	2
141	данном случае	6	2
142	творящего и	1	2
143	в момент	2	2
144	высказывания с	2	2
145	в основном	1	2
146	зависит от	2	2
147	с одной	12	2
148	совпадает с	4	2
149	уже в	2	2
150	высказывания и	3	2
151	там где	1	2
152	форма высказывания	2	2
153	в его	9	2
154	с этой	2	2
155	она не	1	2
156	это не	5	2
157	одной стороны	12	2
158	автора и	1	2
159	как уже	5	2
160	дело с	2	2
161	с точки	3	2
162	мы имеем	4	2
163	на него	2	2
164	тем как	1	2
165	в себя	7	2
166	автором и	1	2
167	в формах	2	2
168	и слово	1	2
169	как это	2	2
170	те же	1	2
171	но все	2	2
172	но зато	2	2
173	если же	1	2
174	содержания и	1	2
175	одно и	2	2
176	общения и	4	2
177	и что	2	2
178	общения не	2	2
179	что и	5	2
180	в форме	2	2
181	же самое	2	2
182	о ком	1	2
183	на примере	3	2
184	другой стороны	5	2
185	но отнюдь	2	2
186	слушателя в	1	2
187	и вполне	1	2
188	и те	1	2
189	как не	3	2
190	в этих	4	2
191	тому же	5	2
192	оно не	2	2
193	а к	3	2
194	и притом	1	2
195	нас же	1	2
196	эта возможность	1	2
197	к ним	3	2
198	как на	1	2
199	слова но	1	2
200	выбор слова	1	2
201	и все	5	2
202	но не	17	2
203	быть только	1	2
204	речи в	2	2
205	его как	3	2
206	не есть	3	2
207	определяет и	1	2
208	могут быть	5	2
209	и оценки	1	2
210	значения и	1	2
211	с другими	1	2
212	живого общения	1	2
213	до конца	2	2
214	не остается	1	2
215	стороны и	3	2
216	в своем	11	2
217	за его	2	2
218	в какой	2	2
219	имеет место	4	2
220	вместе с	3	2
221	между ними	1	2
222	место в	2	2
223	к его	5	2
224	может стать	1	2
225	лежит на	2	2
226	такой же	1	2
227	оценки и	1	2
228	до известной	2	2
229	с его	9	2
230	себя и	2	2
231	на все	1	2
232	его к	1	2
233	является для	1	2
234	известной степени	3	2
235	к этому	4	2
236	бы не	1	2
237	между собой	2	2
238	каждый момент	1	2
239	он не	4	2
240	в условиях	1	2
241	независимо от	1	2
242	на материале	1	2
243	в чем	2	2
244	высказывание может	1	2
245	частной жизни	4	2
246	едва ли	2	2
247	ничего не	1	2
248	жизнью и	1	2
249	возможна только	2	2
250	более того	2	2
251	или иным	1	1
252	вырастает из	1	1
253	и мир	1	1
254	ситуации и	2	1
255	мы обратимся	1	1
256	в русской	4	1
257	к одному	2	1
258	то в	1	1
259	одним и	1	1
260	именно такой	1	1
261	события и	1	1
262	во всяком	3	1
263	высказывания по	1	1
264	это и	2	1
265	литературы в	2	1
266	моменты жизни	1	1
267	что они	1	1
268	его и	1	1
269	даже наиболее	1	1
270	вообще по	1	1
271	ситуации в	1	1
272	в искусстве	1	1
273	во всех	6	1
274	не зная	1	1
275	которого и	1	1
276	события а	2	1
277	восприятия и	1	1
278	не является	5	1
279	а с	8	1
280	произведении как	1	1
281	если оно	1	1
282	для говорящих	1	1
283	и он	2	1
284	уже сказано	1	1
285	явно не	1	1
286	это делает	1	1
287	может с	1	1
288	по преимуществу	2	1
289	общения в	3	1
290	было в	4	1
291	к социальному	1	1
292	с самого	2	1
293	зрения на	3	1
294	выходит за	1	1
295	опирается на	2	1
296	основе своей	4	1
297	для художественного	2	1
298	на этом	3	1
299	не отвечает	1	1
300	них в	2	1
301	которой он	1	1
302	от целого	1	1
303	не имеют	2	1
304	и было	3	1
305	не подлежащее	2	1
306	то есть	29	1
307	поскольку мы	1	1
