N	3gram	Bakhtin_fo	Dialekti
1	и т д	3	75
2	это значит что	2	47
3	с точки зрения	9	46
4	сама по себе	1	26
5	в том что	4	25
6	не может быть	4	18
7	то же время	13	15
8	в то же	10	14
9	и то же	4	12
10	с другой стороны	1	12
11	о том что	2	12
12	одно и то	4	12
13	ровно ничего не	1	12
14	в самом деле	1	10
15	и в этом	2	9
16	и не только	2	9
17	в то время	3	8
18	и та же	2	8
19	то время как	2	8
20	одна и та	2	8
21	та или иная	1	8
22	можно сказать что	1	7
23	сами по себе	2	7
24	в связи с	12	7
25	той или иной	3	7
26	и в частности	2	7
27	для того чтобы	11	6
28	в зависимости от	1	6
29	и прежде всего	4	6
30	и в то	7	6
31	во всяком случае	1	6
32	с одной стороны	3	6
33	может быть и	4	6
34	тем более не	1	5
35	на самом деле	1	5
36	по сравнению с	3	5
37	в конце концов	1	5
38	в нем нет	2	5
39	к тому что	1	5
40	на первый план	2	5
41	до сих пор	4	5
42	в виду что	2	5
43	есть прежде всего	1	5
44	что в нем	1	5
45	одной стороны и	2	4
46	это не значит	1	4
47	мы уже знаем	1	4
48	и т п	18	4
49	ни в чем	3	4
50	с этой точки	1	4
51	так же как	2	4
52	этой точки зрения	1	4
53	может быть только	3	4
54	в данном случае	2	4
55	к тому же	2	4
56	не может не	1	4
57	как раз и	2	4
58	то же самое	1	4
59	но это значит	1	4
60	равно как и	4	4
61	и может быть	1	4
62	связи с этим	4	4
63	как бы ни	1	4
64	пространства и времени	5	4
65	не могут быть	1	4
66	в этом отношении	5	4
67	в той или	2	3
68	и как бы	2	3
69	же что и	3	3
70	когда мы говорим	1	3
71	одних и тех	2	3
72	это вовсе не	1	3
73	и говорить о	1	3
74	но все же	3	3
75	мы находим в	1	3
76	все это не	1	3
77	так как все	1	3
78	в данный момент	1	3
79	как и в	3	3
80	вещей и явлений	6	3
81	и тех же	2	3
82	о том как	2	3
83	в себе и	1	3
84	но в то	2	3
85	не только в	6	3
86	с самого начала	3	3
87	и должно быть	2	3
88	же как и	2	3
89	так что в	1	3
90	личности и ее	1	3
91	это учение о	1	3
92	лежит в основе	2	3
93	но все эти	2	2
94	том что все	1	2
95	том что в	1	2
96	времени и пространства	4	2
97	и вот когда	1	2
98	в жизни и	1	2
99	тогда когда оно	1	2
100	с нею в	1	2
101	друг от друга	2	2
102	не вызывает никаких	1	2
103	в нем не	3	2
104	и пр и	1	2
105	со всеми ее	1	2
106	друг с другом	5	2
107	прежде всего необходимо	4	2
108	теперь мы должны	1	2
109	и вместе с	1	2
110	нечего и говорить	1	2
111	как мы это	1	2
112	в чем не	3	2
113	не было и	2	2
114	точки зрения в	1	2
115	руки и ноги	1	2
116	они вовсе не	1	2
117	что в основе	1	2
118	так как он	2	2
119	мы будем говорить	2	2
120	возможно лишь в	1	2
121	или хотя бы	1	2
122	в свою очередь	1	2
123	друг к другу	2	2
124	это не имеет	1	2
125	и в особенности	5	2
126	в это время	1	2
127	мы уже сказали	4	2
128	конечно прежде всего	1	2
129	в себе самом	1	2
130	к выводу что	1	2
131	бы она ни	2	2
