N	3gram	Bakhtin_sl	Freidism
1	с точки зрения	11	15
2	не может быть	11	14
3	по отношению к	2	11
4	в том что	4	9
5	как мы видели	2	8
6	во всяком случае	7	8
7	и прежде всего	1	7
8	в то же	15	6
9	то же время	15	6
10	может быть и	2	6
11	в большинстве случаев	11	5
12	с самого начала	1	5
13	можно сказать что	1	5
14	как мы уже	4	5
15	мы можем сказать	1	5
16	в свою очередь	3	4
17	с помощью которых	1	4
18	и до конца	1	4
19	мы увидим что	1	4
20	тем не менее	2	4
21	в зависимости от	4	4
22	в данном случае	3	4
23	в чем не	1	4
24	не могут быть	3	4
25	на первый план	1	4
26	в этом отношении	2	4
27	ни в чем	1	4
28	в последнем счете	1	4
29	все то что	1	3
30	для того чтобы	1	3
31	выйти за пределы	1	3
32	о том что	2	3
33	в собственном смысле	2	3
34	до сих пор	4	3
35	и той же	1	3
36	во всех своих	1	3
37	бы то ни	1	3
38	и притом в	1	3
39	так и в	5	3
40	мы видели что	1	3
41	узком смысле слова	1	3
42	одной и той	1	3
43	но в то	6	3
44	но во всяком	1	3
45	а вовсе не	4	3
46	мы не можем	1	3
47	и не может	2	3
48	точка зрения на	3	2
49	от точки зрения	1	2
50	равно как и	1	2
51	в применении к	1	2
52	и может быть	1	2
53	он не только	1	2
54	снова и снова	1	2
55	в чем же	1	2
56	то или иное	1	2
57	ни в какой	1	2
58	обстоит дело и	2	2
59	хотя бы и	5	2
60	его отношение к	1	2
61	вовсе не в	1	2
62	а следовательно и	2	2
63	в какой степени	1	2
64	все снова и	1	2
65	свою точку зрения	1	2
66	конечно не приходится	1	2
67	в узком смысле	13	2
68	и связанных с	2	2
69	его жизни и	1	2
70	и все его	1	2
71	у нас в	1	2
72	в отличие от	12	2
73	том что он	1	2
74	таким образом в	4	2
75	то ни было	1	2
76	выходит за пределы	3	2
77	связанные с этими	2	2
78	к тому что	2	2
79	самом же деле	1	2
80	значение во всех	1	2
81	не укладывается в	2	2
82	на самом же	1	2
83	с одной стороны	7	2
84	в его целом	1	2
85	во всех областях	4	2
86	связанных с ними	1	2
87	смысл и значение	1	2
88	а также и	3	2
89	и т д	7	1
90	на этой почве	1	1
91	он никогда не	2	1
92	что он не	1	1
93	в этом случае	4	1
94	и те же	1	1
95	сих пор не	2	1
96	могут быть и	4	1
97	общие для всех	1	1
98	остановимся на нескольких	1	1
99	а как бы	1	1
100	того или иного	2	1
101	не приходится однако	1	1
102	той или иной	13	1
103	но прежде всего	1	1
104	вместе с ним	1	1
105	он еще не	1	1
106	по аналогии с	1	1
107	в направлении к	1	1
108	но и по	1	1
109	и даже не	1	1
110	в предшествующей главе	2	1
111	он не пытается	1	1
112	и свободно переходит	1	1
113	приемов могут быть	1	1
114	до известной степени	3	1
115	и наконец в	2	1
116	и связанное с	1	1
117	только одна из	1	1
118	точки зрения не	1	1
119	в пределах того	4	1
120	оставаясь в пределах	1	1
121	только в условиях	1	1
122	в пределах одной	3	1
123	но и в	2	1
124	между собой в	1	1
125	между отдельными моментами	1	1
126	по крайней мере	1	1
127	его роль в	1	1
128	потому не может	1	1
129	на фоне современного	1	1
130	во всех его	8	1
131	выходят за пределы	1	1
132	и связанная с	2	1
133	имеем в виду	1	1
134	однако и здесь	1	1
135	а иногда и	1	1
136	форма и содержание	1	1
137	и в отношении	1	1
138	и о своем	1	1
139	одни и те	1	1
140	целого но и	1	1
141	в целом ряде	1	1
142	формы и степени	1	1
143	может войти в	1	1
144	дело и со	1	1
145	и не было	1	1
146	моментов и оттенков	1	1
147	в свое время	1	1
148	конечно не в	1	1
149	но чаще всего	1	1
150	зрения не только	1	1
151	с ним в	1	1
152	достаточно указать на	1	1
153	и его содержание	1	1
154	только с точки	1	1
155	в то время	2	1
156	же время это	1	1
157	чаще всего они	1	1
158	и то же	2	1
159	говорит о том	1	1
160	там где нет	1	1
161	прямого и непосредственного	1	1
162	и здесь оно	2	1
163	своего исторического существования	1	1
164	в нем происходит	1	1
165	со всех сторон	1	1
166	но повторяем в	1	1
167	хотя и не	1	1
168	в основных философских	1	1
169	находит свое выражение	1	1
170	друг с другом	2	1
171	и в окружающей	1	1
172	которая могла бы	1	1
173	в одной плоскости	1	1
174	в особенности в	1	1
175	может быть конечно	1	1
176	в нем может	1	1
177	точек зрения оценок	1	1
178	а между тем	2	1
179	направлении к нему	1	1
180	как в самом	1	1
181	дело в том	1	1
182	и на протяжении	1	1
183	иметь в виду	1	1
184	только для сознания	1	1
185	она не может	1	1
186	одно и то	2	1
187	как мы видим	1	1
188	все его моменты	1	1
189	в основе этой	1	1
190	в стакане воды	1	1
191	мы не знаем	2	1
192	настолько велико что	1	1
193	иметь дело с	2	1
194	каждого из этих	1	1
195	не выходит за	3	1
196	мы все время	1	1
197	во всех этих	2	1
198	том что в	1	1
199	и в то	6	1
200	какой степени не	1	1
201	и как мы	1	1
202	так и по	1	1
203	не только не	2	1
204	в своем собственном	1	1
