N	4gram	Bakhtin_Fr	StatiiOP
1	дело в том что	2	9
2	в то же время	13	9
3	в то время как	1	5
4	одним и тем же	1	3
5	в данном случае в	1	2
6	в том числе и	3	2
7	и в то же	2	2
8	о том что в	1	2
9	но в то же	7	2
10	все более и более	1	2
11	бы то ни было	1	2
12	во всяком случае в	1	2
13	в той или иной	2	2
14	до сих пор еще	2	1
15	и в данном случае	1	1
16	до наших дней еще	1	1
17	сказать несколько слов о	1	1
18	в настоящее время можно	1	1
19	но даже и в	1	1
20	всегда в той или	1	1
21	как будто бы склонен	1	1
22	то же время оно	1	1
23	с полным правом можно	1	1
24	в чем же состоит	1	1
25	в связи с этим	1	1
26	за то что тот	2	1
27	до сих пор в	1	1
28	говорит об этом в	1	1
29	но это вовсе не	1	1
30	но на самом деле	1	1
31	гораздо больше чем кажется	1	1
32	одной и той же	2	1
33	во всей мировой литературе	1	1
34	в них все же	1	1
35	свидетельствует о том что	1	1
36	для этого прежде всего	1	1
37	то же время не	1	1
38	в том же году	1	1
39	для правильного понимания всего	1	1
40	до сих пор не	1	1
41	этого прежде всего необходимо	1	1
