N	2gram	Tiupa_Narr	VeschiIm
1	и не	34	57
2	не только	50	48
3	то что	14	48
4	не может	16	46
5	и в	22	45
6	и есть	1	40
7	и т	3	39
8	может быть	24	39
9	т д	1	38
10	а не	27	37
11	что я	4	26
12	потому что	7	25
13	не просто	2	24
14	было бы	2	24
15	только в	23	23
16	по себе	4	23
17	что она	3	23
18	в себе	14	23
19	сказать что	5	22
20	и что	1	22
21	как бы	11	20
22	что это	4	19
23	с нею	2	19
24	но и	39	19
25	и ее	3	19
26	в этом	23	18
27	все же	10	18
28	есть только	1	18
29	так как	1	17
30	что мы	2	17
31	прежде всего	7	17
32	таким образом	5	16
33	того что	7	16
34	как раз	9	16
35	от всего	1	15
36	как и	15	15
37	уже не	11	15
38	в том	20	15
39	в ней	5	15
40	имя и	1	15
41	но это	2	14
42	и то	3	14
43	не в	12	14
44	в самом	8	13
45	не будет	2	13
46	том что	15	13
47	и для	4	13
48	это и	2	13
49	в себя	3	13
50	то ни	1	13
51	что в	6	12
52	и с	3	12
53	бы то	1	12
54	то же	12	12
55	и даже	4	12
56	о том	5	12
57	еще не	6	12
58	точки зрения	8	12
59	она есть	1	12
60	ничего не	8	12
61	что они	1	12
62	что иное	1	12
63	ни было	1	12
64	совершенно не	1	12
65	что и	3	12
66	и как	4	12
67	если она	3	12
68	иное как	1	12
69	содержит в	1	11
70	не менее	6	11
71	себя в	4	11
72	еще и	1	11
73	тем не	7	11
74	ни в	1	11
75	что не	2	11
76	вовсе не	2	11
77	также и	4	11
78	в то	9	11
79	и только	2	11
80	по крайней	1	10
81	в чем	3	10
82	крайней мере	1	10
83	ясно что	2	10
84	с ее	3	10
85	с ним	6	9
86	в результате	4	9
87	со стороны	14	9
88	то и	3	9
89	хотя бы	4	9
90	нисколько не	1	9
91	как вещь	1	9
92	в своем	7	9
93	должно быть	1	9
94	это не	6	9
95	у нас	4	9
96	но что	1	9
97	бы в	2	9
98	ли это	1	9
99	она не	2	9
100	другими словами	1	9
101	так что	1	9
102	но не	7	9
103	на то	4	9
104	и его	12	9
105	как с	1	8
106	должна быть	2	8
107	если бы	9	8
108	с тем	1	8
109	что он	7	8
110	отличается от	1	8
111	по сравнению	1	8
112	но в	10	8
113	мы не	5	8
114	мы имеем	6	8
115	для него	8	8
116	в ее	4	8
117	все это	1	8
118	со своим	2	8
119	с другими	1	8
120	в отношении	1	8
121	его в	1	8
122	указывает на	1	8
123	и потому	2	8
124	не с	1	8
125	даже не	1	8
126	с другой	6	8
127	можно сказать	11	8
128	отнюдь не	6	8
129	с этой	3	7
130	в сущности	2	7
131	то не	1	7
132	оно не	4	7
133	самом деле	4	7
134	все эти	3	7
135	тем что	1	7
136	сравнению с	1	7
137	в действительности	2	7
138	относится к	1	7
139	и тогда	2	7
140	слова и	1	7
141	можно ли	1	7
142	мог бы	1	7
143	никак не	5	7
144	или не	5	7
145	я не	5	7
146	и тем	9	7
147	ни от	2	7
148	а в	19	7
149	из них	4	7
150	необходимо чтобы	1	7
151	в той	4	6
152	для себя	3	6
153	их в	4	6
