N	2gram	Medvedev_V	Istorich
1	и в	26	181
2	и т	25	160
3	т д	16	142
4	т е	18	133
5	может быть	23	115
6	не только	26	114
7	что он	4	111
8	мы имеем	3	102
9	что в	11	90
10	но и	10	85
11	в этом	29	81
12	то что	7	73
13	таким образом	32	72
14	вместе с	8	71
15	и не	20	67
16	мы видим	1	65
17	все же	6	65
18	в этих	1	64
19	еще не	2	63
20	не может	17	61
21	так же	3	57
22	то же	10	56
23	никогда не	5	56
24	в том	15	53
25	том что	8	53
26	а в	3	52
27	с другой	11	52
28	потому что	1	52
29	и что	1	51
30	что и	3	51
31	мы видели	3	49
32	а не	7	48
33	о том	10	48
34	его в	3	47
35	не в	6	47
36	другой стороны	8	46
37	но в	2	44
38	это не	7	43
39	и его	6	43
40	мы знаем	3	42
41	в нем	7	42
42	только в	8	42
43	показывает что	2	42
44	как в	1	42
45	или в	3	39
46	тем что	1	38
47	в его	15	38
48	для нас	1	38
49	как и	7	37
50	уже не	1	37
51	он не	2	37
52	так и	6	37
53	знаем что	2	36
54	что они	3	35
55	с тем	4	35
56	мы не	1	35
57	все эти	8	35
58	не всегда	2	34
59	связи с	5	34
60	но не	2	34
61	а именно	1	34
62	у него	6	34
63	во время	4	34
64	видим что	1	34
65	же как	2	33
66	об этом	9	33
67	сих пор	2	32
68	в качестве	12	32
69	один из	6	31
70	прежде всего	13	31
71	то это	2	31
72	с этим	3	30
73	с одной	2	30
74	до сих	2	30
75	при помощи	3	30
76	этом случае	1	29
77	но все	1	29
78	одной стороны	2	29
79	как мы	1	29
80	но это	1	29
81	и другие	1	28
82	что она	2	28
83	например в	3	28
84	здесь можно	1	27
85	могут быть	8	27
86	в образе	2	27
87	того что	3	27
88	в ином	1	27
89	как он	3	27
90	как это	12	26
91	на него	2	26
92	и др	10	26
93	в ней	2	26
94	вопрос о	1	25
95	в дальнейшем	1	25
96	и он	3	25
97	не менее	2	24
98	к этому	9	24
99	было бы	8	24
100	того как	2	24
101	в виде	1	24
102	если бы	3	24
103	что мы	2	24
104	представлений о	1	23
105	их в	7	23
106	как бы	5	23
107	и это	1	23
108	показывают что	5	23
109	в этой	4	23
110	имеем в	1	23
111	не будем	1	23
112	все это	13	23
113	когда он	4	23
114	в частности	12	23
115	и по	3	22
116	с ним	1	22
117	связано с	1	21
118	в другом	2	21
119	в одном	5	21
120	сказать что	5	21
121	в связи	4	21
122	здесь не	1	21
123	к тому	5	21
124	они не	2	21
125	ее в	4	21
126	это представление	1	21
127	из них	11	20
128	из этих	7	20
129	она не	3	20
130	одна из	4	20
131	в свете	1	20
132	очень часто	1	20
133	в силу	14	20
134	видели что	3	20
135	а затем	2	19
136	так например	2	19
137	что у	3	19
138	но он	1	19
139	есть и	1	19
140	на то	2	19
141	и как	3	19
142	после того	2	19
143	после этого	2	18
144	в то	6	18
145	что этот	1	18
146	не все	1	18
147	в данном	1	18
148	вовсе не	3	18
149	в них	5	17
150	нас к	1	17
151	очень много	1	17
152	том как	3	17
153	по существу	4	17
154	дело не	1	17
155	во всех	7	16
156	этот вопрос	3	16
157	всех этих	3	16
158	в котором	3	16
159	не вполне	2	16
160	и все	1	16
161	со стороны	1	16
162	перед нами	5	16
163	связана с	2	16
164	даже в	5	15
165	в пределах	5	15
166	что при	2	15
167	в особенности	2	15
168	и то	1	15
169	в своей	4	15
170	в которых	3	15
171	данном случае	1	15
172	его и	1	15
173	и эти	1	15
174	как будто	1	15
175	и даже	2	15
176	на его	1	15
177	и тем	1	15
178	он в	2	15
179	друг друга	1	15
180	в целом	5	15
181	с этой	1	14
182	от него	1	14
183	по отношению	7	14
184	находится в	1	14
185	можно было	2	14
186	в него	1	14
187	и ее	4	14
188	одной из	2	14
189	на вопрос	2	14
190	у нас	3	14
191	должна быть	2	14
192	и есть	5	14
193	из которых	2	14
194	увидим ниже	1	14
195	с того	1	14
196	а также	1	14
197	отношение к	1	14
198	отношению к	7	14
199	на себя	1	14
200	и наконец	2	14
201	в своем	8	13
202	время как	1	13
203	по себе	2	13
204	то время	1	13
205	и для	2	13
206	в себе	6	13
207	в таких	1	13
208	и у	2	13
209	на этом	2	13
210	в форме	3	13
211	и от	3	13
212	с ними	4	13
213	не имеет	1	13
214	в книге	2	13
215	его не	3	13
216	и если	1	13
217	кроме того	1	12
218	хотя бы	20	12
219	утверждать что	5	12
220	в основном	7	12
221	ответ на	1	12
222	о нем	1	12
223	в их	5	12
224	к ней	1	12
225	к этой	1	12
226	одним из	5	12
227	что не	3	12
228	между прочим	2	12
229	ни один	8	12
230	чаще всего	1	12
231	в более	1	12
232	это происходит	1	12
233	и их	3	12
234	точки зрения	3	11
235	должны быть	2	11
236	главным образом	7	11
237	только с	2	11
238	уже в	1	11
239	же в	7	11
240	происходит в	1	11
241	по мере	1	11
242	если он	1	11
243	хотя и	2	11
244	в большом	1	11
245	относится к	2	11
246	этого не	1	11
247	человека в	2	11
248	е в	2	11
249	далеко не	3	11
250	и к	3	10
251	не как	1	10
252	к ним	2	10
253	от них	2	10
254	не было	7	10
255	в которой	2	10
256	материалы показывают	1	10
257	а с	1	10
258	на основе	5	10
259	вслед за	3	10
260	связанных с	1	10
261	он и	2	10
262	связаны с	1	10
