N	2gram	Nazirov_Tr	IolandNe
1	и с	7	3
2	что в	4	2
3	он не	2	2
4	творчества достоевского	1	2
5	ничего не	2	2
6	и не	7	2
7	в этом	9	2
8	все эти	3	1
9	и о	1	1
10	мертвого дома	2	1
11	это было	1	1
12	из мертвого	2	1
13	для него	3	1
14	вплоть до	1	1
15	тем что	2	1
16	не случайно	2	1
17	только что	1	1
18	от нее	1	1
19	когда его	1	1
20	не так	2	1
21	теперь я	1	1
22	и др	1	1
23	о жизни	2	1
24	пушкина и	1	1
25	в целом	4	1
26	более чем	1	1
27	он с	1	1
28	я не	4	1
29	с литературными	1	1
30	и оскорбленных	17	1
31	могло бы	1	1
32	то и	2	1
33	знать и	1	1
34	и еще	1	1
35	что при	1	1
36	и сам	3	1
37	того что	1	1
38	стало быть	1	1
39	ненависть к	2	1
40	из подполья	1	1
41	по поводу	2	1
42	а также	1	1
43	так и	5	1
44	униженных и	16	1
45	того чтобы	1	1
46	бы в	1	1
47	с жизнью	1	1
48	а по	1	1
49	и в	18	1
50	видит в	1	1
51	что роман	1	1
52	это был	2	1
53	никогда не	2	1
54	все это	4	1
55	и дети	2	1
56	на котором	1	1
57	из униженных	1	1
58	эпизод с	3	1
59	в них	1	1
60	во многом	1	1
