N	4gram	Losev_Dial	PoTuStor
1	ни в чем не	1	3
2	и в этом смысле	2	2
3	мы уже знаем что	2	1
4	то же самое и	1	1
5	по сравнению с ней	1	1
6	одних и тех же	1	1
7	но мы уже знаем	1	1
8	вместе с ним и	1	1
9	а на самом деле	1	1
10	нечего и говорить о	1	1
11	не что иное как	4	1
12	ни в коем случае	1	1
13	одна и та же	5	1
14	не говорит и о	1	1
15	дело в том что	1	1
16	говорить о том что	1	1
17	так же как и	1	1
18	мы можем сказать что	3	1
19	в связи с этим	2	1
20	ничего не говорит и	1	1
21	и говорить о том	1	1
