N	3gram	Berdyaev_V	Tragedij
1	так и в	1	3
2	в том что	2	2
3	но все же	1	2
4	не в силах	2	2
5	и не случайно	1	2
6	том что он	2	1
7	все это мы	1	1
8	бы и не	2	1
9	а между тем	2	1
10	за то что	3	1
11	в конце концов	1	1
12	вместо того чтобы	2	1
13	и вместе с	1	1
14	в этом мире	1	1
15	и теперь еще	1	1
16	по сравнению с	1	1
17	в xx веке	1	1
18	что я не	1	1
19	не могут быть	1	1
20	хотя бы и	1	1
21	как и в	1	1
22	к людям в	1	1
23	к тому что	3	1
24	и в образе	1	1
25	к личности и	1	1
26	и должна быть	1	1
27	с такой силой	1	1
28	после того как	1	1
29	и в этом	1	1
