N	2gram	Voloshinov	Poddanst
1	не только	1	17
2	и в	3	14
3	и не	1	12
4	то же	1	9
5	же время	1	7
6	в то	1	7
7	в ней	1	6
8	но и	1	6
9	может быть	1	5
10	не может	4	4
11	если бы	1	4
12	сравнении с	1	3
13	с точки	1	3
14	точки зрения	1	3
15	если в	2	2
16	в его	1	2
17	а не	1	2
18	может и	1	2
19	не менее	1	2
20	в выборе	1	2
21	мы видим	1	1
22	и на	1	1
23	может не	1	1
24	конечно и	1	1
25	из этих	1	1
26	в каждом	1	1
27	запада если	1	1
28	к историческому	1	1
29	на нее	1	1
30	русской литературы	1	1
31	эта вторая	1	1
