N	2gram	Bakhtin_sl	VLabPisa
1	таким образом	16	32
2	в этом	21	29
3	не только	37	26
4	и в	69	26
5	и т	56	25
6	творческого процесса	1	23
7	может быть	40	23
8	и не	32	20
9	хотя бы	6	20
10	не может	27	17
11	в процессе	14	17
12	т д	7	16
13	в его	19	15
14	в том	7	15
15	этом отношении	2	14
16	все это	14	13
17	прежде всего	14	13
18	в качестве	4	12
19	вот что	1	12
20	в частности	3	12
21	как это	3	12
22	что в	3	11
23	с другой	8	11
24	из них	3	11
25	то же	17	10
26	не могут	7	10
27	о том	5	10
28	но и	37	10
29	и др	17	10
30	для него	8	9
31	об этом	1	9
32	т п	49	9
33	к этому	3	9
34	могут быть	25	8
35	творчества в	1	8
36	говорит и	2	8
37	другой стороны	5	8
38	только в	9	8
39	на основании	1	8
40	все эти	15	8
41	вместе с	3	8
42	том что	6	8
43	было бы	3	8
44	в своем	9	8
45	произведения и	2	7
46	в основном	7	7
47	это не	8	7
48	говорит о	1	7
49	не было	4	7
50	по отношению	2	7
51	тому что	2	7
52	как и	8	7
53	действительности и	1	7
54	во всех	25	7
55	а не	29	7
56	то что	2	7
57	произведения в	2	7
58	отношению к	2	7
59	же в	2	7
60	в нем	44	7
61	из этих	3	7
62	один из	9	6
63	произведения как	3	6
64	у него	5	6
65	более или	5	6
66	все же	10	6
67	приводит к	2	6
68	это и	1	6
69	бы и	6	6
70	художника в	1	6
71	не в	14	6
72	между тем	5	6
73	так и	22	6
74	художественного произведения	1	6
75	в себе	3	6
76	или менее	5	6
77	в зависимости	4	6
78	том же	4	6
79	и его	45	6
80	в то	17	6
81	утверждать что	1	5
82	художественный образ	3	5
83	даже в	4	5
84	в результате	4	5
85	в их	6	5
86	в них	11	5
87	связи с	4	5
88	одним из	5	5
89	зависимости от	4	5
90	работы над	1	5
91	к тому	3	5
92	перед нами	7	5
93	не является	3	5
94	он говорит	1	5
95	действующих лиц	2	5
96	и при	2	5
97	в одном	4	5
98	в пределах	27	5
99	же время	15	5
100	как бы	16	5
101	в целом	3	5
102	сказать что	4	5
103	в плане	11	5
104	и есть	2	5
105	процессе работы	1	5
106	никогда не	9	5
107	в самом	6	4
108	всего произведения	2	4
109	в ее	2	4
110	как раз	3	4
111	можно сказать	2	4
112	что для	1	4
113	в этой	1	4
114	что все	2	4
115	что он	2	4
116	равно как	1	4
117	в виду	2	4
118	по существу	3	4
119	в романе	64	4
120	с ними	8	4
121	в своей	8	4
122	одном из	1	4
123	роль в	4	4
124	должен быть	3	4
125	с его	8	4
126	чем же	1	4
127	для его	1	4
128	в связи	2	4
129	это только	1	4
130	них не	2	4
131	в сознании	3	4
132	из его	1	4
133	одна из	6	4
134	можно утверждать	1	4
135	отнюдь не	1	4
136	муки слова	1	4
137	и ее	3	4
138	и к	9	3
139	что они	2	3
140	видели что	1	3
141	данного произведения	1	3
142	что оно	4	3
143	и он	1	3
144	этой проблемы	1	3
145	этот процесс	1	3
146	мы имеем	1	3
147	того что	4	3
148	в комнату	1	3
149	но как	2	3
150	со своим	13	3
151	что и	2	3
152	у нас	2	3
153	сводится к	1	3
154	его в	7	3
155	в форме	3	3
156	если бы	1	3
157	или в	10	3
158	на данном	2	3
159	в другую	1	3
160	именно в	5	3
161	в конце	1	3
162	например в	6	3
163	у тургенева	7	3
164	момент в	2	3
165	этого типа	2	3
166	между ними	2	3
167	и как	3	3
168	и художественное	1	3
169	в творческом	1	3
170	в слове	11	3
171	же и	4	3
172	в которых	1	3
173	и отдельных	1	3
174	не столь	2	3
175	большей или	5	3
176	и художественного	1	3
177	мира и	4	3
178	в авторской	1	3
179	вовсе не	16	3
180	бы в	1	3
181	с этим	5	3
182	и мир	9	3
183	а в	10	3
184	что не	1	3
185	как о	2	3
186	в котором	2	3
187	в основных	1	3
188	даже и	4	3
189	она не	8	3
190	в значительной	6	3
191	его не	4	3
192	но даже	1	3
193	того чтобы	1	3
194	для того	2	3
195	так называемые	1	3
196	п в	2	3
197	и их	6	3
198	всех других	1	3
199	как он	2	3
200	далеко не	7	3
201	так же	2	3
202	человека и	3	3
203	при всем	3	3
204	или меньшей	5	3
205	как на	1	3
206	нет и	1	3
207	данного автора	2	3
208	то наконец	1	3
209	образом в	4	3
210	и от	5	3
