N	3gram	Berdyaev_O	OGranits
1	не может быть	2	4
2	в том что	1	2
3	в самом деле	1	2
4	только и делают	1	2
5	еще одну особенность	1	1
6	нигде и никогда	1	1
7	всегда нуждается в	1	1
8	которым можно было	1	1
9	на то что	1	1
10	для того чтобы	3	1
11	том что в	1	1
12	и никогда не	2	1
13	он и не	1	1
14	в другом месте	1	1
15	нужно отметить что	1	1
16	как и в	1	1
17	не только одно	1	1
18	то что в	1	1
19	а вовсе не	1	1
20	почему же не	1	1
21	и в его	1	1
22	в этом отношении	1	1
23	само по себе	1	1
24	прежде всего в	1	1
25	и не может	1	1
