N	3gram	Medvedev_U	TeoriaLi
1	в том что	2	10
2	в то же	3	8
3	то же время	3	8
4	в конечном счете	4	6
5	с другой стороны	3	6
6	более или менее	1	6
7	не может быть	4	5
8	так или иначе	1	5
9	в данном случае	1	5
10	в этом смысле	2	3
11	имеем в виду	1	3
12	можно сказать что	1	3
13	тех или иных	2	3
14	мы имеем в	1	3
15	с одной стороны	1	3
16	в противном случае	2	2
17	в эстетический объект	1	2
18	в самом деле	2	2
19	но в то	1	2
20	и в то	1	2
21	то ни было	3	2
22	не могут быть	2	2
23	бы то ни	3	2
24	в художественном произведении	2	1
25	и некоторыми другими	1	1
26	в широком и	1	1
27	но прежде всего	1	1
28	и прежде всего	1	1
29	входит в эстетический	1	1
30	этом смысле можно	1	1
31	этого термина не	1	1
32	по крайней мере	2	1
33	что такое искусство?	1	1
34	в искусстве от	1	1
35	эстетического объекта и	1	1
36	произведения искусства как	1	1
37	научному анализу и	1	1
38	не только к	1	1
39	том что она	1	1
40	говоря иначе в	1	1
41	для него не	1	1
42	и в частности	2	1
43	а между тем	2	1
44	в первую очередь	1	1
45	по себе еще	1	1
46	в отдельности и	1	1
47	в этом случае	1	1
48	на первый взгляд	1	1
49	то же самое	2	1
50	не входит в	1	1
51	между тем в	1	1
52	а не только	1	1
53	является одним из	1	1
54	искусства в его	1	1
55	в частности с	1	1
56	и в этой	2	1
57	при таком понимании	1	1
58	это было бы	1	1
59	в его эстетической	1	1
