N	2gram	Vygotskiy_	Poddanst
1	не только	16	17
2	и в	65	14
3	и не	20	12
4	в этом	37	10
5	в отношении	1	10
6	в том	46	9
7	то же	17	9
8	в качестве	2	9
9	но в	5	9
10	хотя бы	3	8
11	только в	9	7
12	в обстановке	1	7
13	с к	1	7
14	в то	5	7
15	в ней	23	6
16	р и	2	6
17	было бы	22	6
18	но и	6	6
19	в смысле	1	6
20	может быть	33	5
21	отношении к	1	5
22	с другой	8	5
23	не в	12	5
24	и о	6	5
25	в которых	9	5
26	а я	5	5
27	в русской	4	4
28	и к	5	4
29	что в	36	4
30	в котором	7	4
31	гораздо большей	1	4
32	по себе	5	4
33	и если	13	4
34	и потому	1	4
35	мы должны	3	4
36	на пути	1	4
37	не может	17	4
38	в гораздо	1	4
39	а в	9	4
40	то что	61	4
41	как бы	29	4
42	если бы	22	4
43	а также	1	4
44	в своем	8	4
45	же в	2	4
46	том что	28	4
47	в сравнении	1	3
48	наряду с	4	3
49	в себе	9	3
50	что мы	6	3
51	с одной	7	3
52	мы не	7	3
53	это не	7	3
54	одной стороны	6	3
55	для того	18	3
56	между тем	10	3
57	с точки	11	3
58	хотя и	1	3
59	с тем	14	3
60	потому что	26	3
61	прежде всего	2	3
62	вслед за	4	3
63	сводится к	1	3
64	тем самым	4	3
65	сами по	3	3
66	заключается в	13	3
67	но не	3	3
68	и т	19	3
69	и как	10	3
70	столь же	5	3
71	в порядке	4	3
72	в нем	8	3
73	и без	2	3
74	тот же	5	3
75	точки зрения	19	3
76	с этим	11	2
77	во всех	4	2
78	к началу	1	2
79	именно как	3	2
80	является в	1	2
81	и это	13	2
82	и других	5	2
83	и мы	19	2
84	было в	1	2
85	которую мы	5	2
86	если в	2	2
87	более чем	2	2
88	и вот	6	2
89	время в	5	2
90	еще более	2	2
91	начала и	2	2
92	по сравнению	1	2
93	так называемые	1	2
94	в ее	9	2
95	и тем	4	2
96	того что	9	2
97	никак не	12	2
98	как раз	14	2
99	в частности	3	2
100	в его	11	2
101	не о	1	2
102	а не	11	2
103	для нас	14	2
104	все это	12	2
105	в которую	3	2
106	говорить о	3	2
107	в тот	1	2
108	для них	1	2
109	заключает в	1	2
110	может и	1	2
111	своем значении	1	2
112	и есть	3	2
113	в русском	1	2
114	в виде	5	2
115	в них	4	2
116	не было	4	2
117	к чему	6	2
118	и с	4	2
119	из важнейших	1	2
120	в начале	1	2
121	как на	9	2
122	в общем	4	2
123	мысль о	1	2
124	которое в	1	2
125	главным образом	6	2
126	она ни	1	2
127	именно в	3	2
128	должно быть	1	2
129	в жизни	6	2
130	отношения к	3	2
131	друг другу	2	2
132	во всей	3	2
133	в силу	2	2
134	одна из	6	2
135	между прочим	1	2
136	в мире	3	2
137	например в	5	2
138	не менее	1	2
139	не столько	1	2
