N	4gram	Voloshinov	VLabPisa
1	в то же время	7	5
2	в том числе и	3	2
3	в точном смысле слова	1	2
4	с одной стороны и	1	2
5	и не может быть	5	2
6	в большей или меньшей	1	2
7	приводит к тому что	1	2
8	никогда не может быть	1	1
9	как если бы он	3	1
10	именно в том что	1	1
11	с этой точки зрения	1	1
12	отнюдь не может быть	2	1
13	на то или иное	1	1
14	не чем иным как	1	1
15	если бы он был	2	1
16	в таком случае является	1	1
17	является не чем иным	1	1
18	может быть и речи	4	1
19	но все же и	1	1
20	одно и то же	3	1
21	чем же в таком	1	1
22	не могут быть сведены	1	1
23	говоря уже о том	1	1
24	не может быть сведена	1	1
25	одну и ту же	1	1
26	же в таком случае	1	1
27	может быть сведена к	1	1
28	в той или иной	3	1
29	но в то же	6	1
30	не может быть и	4	1
31	уже о том что	1	1
32	так же как и	2	1
33	нет и не может	2	1
34	быть и речи о	3	1
35	не говоря уже о	1	1
36	не может обойтись без	1	1
37	до сих пор не	1	1
38	для того чтобы понять	2	1
39	с ними в борьбу	1	1
